name,count,followers,likes,engagement,comments
adesignkit,2,16985,710,4.18,7
moussemagazine,2,72193,537,0.74,4
dominiqueissermann,2,28641,1695,5.92,78
liana.bots,2,3492,403,11.54,17
thelionsny,2,136350,570,0.42,10
davie_dave,3,216553,3368,1.56,151
thepositivediaries,2,299750,5758,1.92,46
galeriedujouragnesb,2,1815,144,7.93,2
djscratch,3,154552,1025,0.66,32
mxrvssa,2,237309,11755,4.95,145
bestofbigbang1,2,6783,846,12.47,6
mickjenkins,2,185505,14827,7.99,163
yud6_9,2,353,80,22.66,2
patrickstarrr,5,4094477,169347,4.14,1027
jordynrolling,2,4332,321,7.41,15
iammarleydias,2,43749,3465,7.92,67
shopmedmen,2,46489,604,1.30,29
jleefishing,2,83223,4836,5.81,37
beatricevendramin,2,795824,50772,6.38,428
internationalaroidsociety,3,13090,693,5.29,4
rektmag,2,195248,5286,2.71,31
imtiaz13,2,11414,730,6.40,12
davidson_frere,2,215898,8788,4.07,101
marwankeyrouz,2,29580,1227,4.15,4
sstefni,2,672,95,14.14,7
hellobali.id,2,11742,287,2.44,5
ariellachezardesign,2,56985,865,1.52,19
_kingcozy,2,4497,298,6.63,5
joaoguilherme,2,7535595,191734,2.54,2144
majestyblack,2,27618,749,2.71,10
flawlesslasercenter,2,119884,895,0.75,29
hoodrichkristal,3,3591,301,8.38,11
stephaniesalibaofficial,2,426307,8525,2.00,72
teresapalmer,2,668328,23133,3.46,162
matthew_pollock,2,57431,4634,8.07,47
thepunisher,2,229495,29305,12.77,231
verybritishproblemsofficial,2,75522,1818,2.41,48
gabrieleelli_,2,815,124,15.21,1
mghmghmghm,2,11432,1123,9.82,10
tinygentleasians,2,85988,4274,4.97,244
armandmehidri,2,49799,1747,3.51,31
ignoranza_infinita,2,729494,0,0.00,0
abspetit,2,13085,289,2.21,14
jordibnk,2,3341,286,8.56,4
adamsandler,2,4729171,88847,1.88,577
jakubnowicztattoo,2,134858,3936,2.92,26
annalieseanesbury,2,1304,154,11.81,20
cedarandmoss,2,42994,734,1.71,14
cathrinedoreen,2,116710,4467,3.83,109
mccarthyofficial,3,25451,1988,7.81,27
airwerkscycles,2,3502,95,2.71,1
_iamtiab,2,18387,289,1.57,8
eniwamura,2,19333,1573,8.14,24
ruivalido,2,6327,229,3.62,3
voguejapan,5,887057,2664,0.30,15
bcfmoneyman,2,363081,11639,3.21,2753
djgregstreet,2,201390,299,0.15,15
clearweatherbrand,2,58015,1592,2.74,104
ms.s.cheffing,2,4364,767,17.58,1
kurtomas,2,37934,1795,4.73,23
moustfakhater,2,3053899,32836,1.08,196
mynameisclairejones,3,1365,186,13.63,6
juju_mood,2,41475,507,1.22,3
ewelinaziebaphoto,2,22022,627,2.85,20
cammiescott,2,401382,26112,6.51,140
djschemes,2,31444,170,0.54,9
dose_cafee,2,39410,262,0.66,5
djscheme_,2,10915,669,6.13,21
abelljoka,2,9866,1588,16.10,13
robinrobertsgma,3,376915,9642,2.56,154
tanksgoodnews,4,779689,46472,5.96,422
thepioneerwoman,2,2111060,44958,2.13,578
