name,count,followers,likes,engagement,comments
mishkusk,2,109948,3081,2.80,25
hanako.s_914,2,157,0,0.00,0
bluestonelanecoffee,2,52325,912,1.74,21
michaelvincekim,2,2317,158,6.82,2
naturalrama,2,1748,62,3.55,2
dantom,2,270270,27396,10.14,184
oskarbakke,2,89889,9189,10.22,114
ycljewels,2,33839,370,1.09,2
saekoofficial,4,1304590,20199,1.55,112
bigballerr02,2,274,0,0.00,0
lafemmemerveilleuseinvisible,2,84342,2344,2.78,23
markbittman,2,52904,890,1.68,11
zul_ariffin,2,1969802,63165,3.21,442
gunfer,2,10318,224,2.17,3
thegr8khalid,3,2412396,345474,14.32,2232
queensofthestoneage,2,449883,16616,3.69,215
urfatherfigure,4,161359,18912,11.72,198
wsouthbeach,2,65557,459,0.70,5
docrashh,2,4576,0,0.00,0
ar_ab_32,2,241842,4943,2.04,177
andreas.schreiner,2,3014,115,3.82,1
la.bangerz,2,17232,12,0.07,0
surah0103,2,1947,259,13.30,4
veesback,2,734,0,0.00,0
yuuma0420_yuuma,2,129,15,11.63,0
johnphilp3,4,90998,6420,7.06,72
tylerfeder,2,22882,1105,4.83,14
foodfaithfit,2,76687,1678,2.19,98
reca3000,2,455,0,0.00,0
mishasblog,2,255418,44322,17.35,201
oberfett,3,14471,760,5.25,18
carissawalford,3,50835,986,1.94,24
willpackerproductions,2,45679,1292,2.83,30
dorindamedley,2,474007,8730,1.84,207
stevemadden,4,1905961,16347,0.86,106
francinyehlke,2,2497700,187029,7.49,931
urbanbeautyhair,2,33659,528,1.57,10
tylerdorsey5,2,49395,5036,10.20,27
roxjewelryshop,2,16236,150,0.92,5
infinity_xolv,2,1012,169,16.70,68
careforteaware,2,4332,107,2.47,2
thecirclelondon,2,73788,525,0.71,1
officialshon_4,2,12830,2173,16.94,31
sharing.art,2,531210,5704,1.07,32
marrymerings,3,79311,1919,2.42,11
natgeoyourshot,2,873690,21289,2.44,86
visualsbyrazak,2,2217,237,10.69,7
babochkapics,2,49883,85,0.17,0
desirable_lifestyle,2,119272,1949,1.63,12
shitshowpulps,2,22298,317,1.42,4
mimihandmadeaccessories,2,127,23,18.11,0
foodinlifemagazine,2,34295,122,0.36,0
kevadams,2,5005842,91362,1.83,622
sirzeta,2,49520,3195,6.45,86
im_so_serri,2,131,0,0.00,0
thegirlypearly,2,2769,665,24.02,23
trapicalhouse,2,44220,105,0.24,2
iloveshoes_by_yourbox,2,125252,443,0.35,5
alistair_carr,2,1259,143,11.36,5
billfanpageskarsgard,4,6618,647,9.78,0
buddab32,2,38746,4955,12.79,60
celiapym,2,6426,201,3.13,2
irv_roland,2,9165,330,3.60,12
rbrboxing,2,117571,1871,1.59,127
empire_of_future,2,551480,13600,2.47,52
nar_primal,2,606,95,15.68,3
janis_enamorado,2,5124,1500,29.27,67
sobeautifullyreal,3,328555,5784,1.76,76
alessiapellarini,2,4907,146,2.98,3
meganhassa,2,36964,5835,15.79,84
maloart,2,139791,9029,6.46,47
eitandiamond,2,3280,230,7.01,8
lepiratebeachclub,2,64137,778,1.21,13
abishmathew,2,243183,5208,2.14,36
jordanmergirie,2,740,43,5.81,1
elrafaesparza,2,7753,383,4.94,8
farge_dagny,2,24622,703,2.86,46
nadinevelazquez,2,57534,500,0.87,22
suffomoncloa,2,5602,0,0.00,0
willsveganshoes,4,38700,699,1.81,13
myartsuggs,2,18312,2346,12.81,15
nramsaylevi,2,41959,1130,2.69,25
frenchos,2,86451,2087,2.41,32
donia.samir.ghanem,2,6129812,46570,0.76,368
william__farr,2,3114,72,2.31,2
rieomoto,2,3434,205,5.97,5
chef.sol,2,12927,633,4.90,44
christabitch,2,4156,218,5.25,9
isacsindell,2,2736,308,11.26,17
jbbknives,2,32719,1167,3.57,24
malcolmbrogdon,2,94419,11428,12.10,100
twistflip,2,266320,13941,5.23,60
kalmqueen,2,450,0,0.00,0
marina_estrella1,2,1638,0,0.00,0
bibii63,3,1835533,8525,0.46,343
manyashiki,2,1348,245,18.18,43
joe_sharp,2,507,189,37.28,1
realghostfacekillah,2,529876,6995,1.32,115
rovazzi,2,1541944,64016,4.15,688
thascya,2,155033,6933,4.47,51
peethugg,2,16554,1065,6.43,22
brunabenites,2,25411,537,2.11,8
stellaberkofsky,3,8667,258,2.98,5
shonrp2,3,169435,23582,13.92,712
yukafujiforest,2,16999,2696,15.86,58
joseph.hendo,2,89443,5862,6.55,96
jilzcrackerz,3,26339,294,1.12,11
jenyounan,2,3558,398,11.19,23
murrayandfinn,2,17865,154,0.86,9
flamm,2,11577,240,2.07,11
jessicanedza,2,5733,177,3.09,6
mybooksandbakes,2,337,112,33.23,1
timmysneaks,2,71302,2150,3.02,56
angelroseturner,3,31352,2696,8.60,108
balibagram,2,434,0,0.00,0
matthewstylist,3,30047,370,1.23,16
disneymusic,2,623132,4997,0.80,19
anouskapb,3,101845,3042,2.99,26
poeticallypunk,3,11793,0,0.00,0
prodeez,2,321627,2118,0.66,7
bizjetmobile,2,18986,827,4.36,6
chicwish,3,326741,2312,0.71,20
alexstones87,2,194,0,0.00,0
xman972,2,97522,1098,1.13,13
mep_paris,2,48105,714,1.48,5
rosenbergradio,2,270877,2277,0.84,93
lukekennard5,2,212467,18450,8.68,88
overmystyledbody,2,127029,3511,2.76,170
nathanfielder,2,205887,28956,14.06,880
kelz,2,520324,14582,2.80,164
paul___davies,2,6181,171,2.77,5
mimiikonn,2,1424592,67516,4.74,354
donamaricotaa,2,48568,258,0.53,11
interiorsmagazine,2,108446,1201,1.11,3
tetongravity,2,286605,4465,1.56,17
horrorvacuimunich,2,5176,220,4.25,8
dsr_vlogs,2,1826,269,14.73,2
whowhatwear.uk,2,48978,465,0.95,5
uruglyfatface,2,53779,2183,4.06,2
refikanadol,2,47062,3515,7.47,54
patrickglatthaar,3,6564,274,4.17,12
plstudioltd,2,2880,243,8.44,5
uncle_saeed,3,550424,10379,1.89,332
awardsforgoodboys,2,13164,1202,9.13,29
theluxurysocial,2,75510,NaN,NaN,NaN
toptop.ru,3,170857,1026,0.60,14
mrmvtfit,2,41216,162,0.39,4
remix.footwear,2,30798,172,0.56,4
individualmedleystore,2,55304,394,0.71,8
tecleimert,2,661,60,9.08,4
junkyardgirls,2,72606,703,0.97,1
nant_distillery,2,1730,62,3.58,0
x__antisocial_butterfly__x,2,997769,62279,6.24,593
bailey_illustration,2,23493,0,0.00,0
bvllin.magazine,2,58448,1107,1.89,8
rickeythompson,2,714345,52503,7.35,348
thevisualveggie,2,9329,451,4.83,85
cabelas,2,1025722,9614,0.94,36
cbykarina,2,6133,45,0.73,2
biswakalyanrath,2,121706,7132,5.86,31
davidpaulramsey,2,1250270,94112,7.53,707
bulanbaru,2,42484,1255,2.95,17
theginamellish,2,16313,654,4.01,11
veronicawebb,2,10437,378,3.62,18
_photobylotte,2,22820,1897,8.31,40
unionbindingco,2,181857,4457,2.45,34
weronikazalazinska,2,232650,13956,6.00,76
davissilis,2,1038,58,5.59,2
fishball_sg,3,1280958,81211,6.34,427
zosuen,2,133847,2105,1.57,7
timmklotzek,2,1596,0,0.00,0
slickveez,4,39899,5515,13.82,82
madcrayy,2,7209,960,13.32,30
amandacerny,4,19685367,1053391,5.35,7985
feruartova,2,1969,196,9.95,25
goldennn_xo,2,383313,18863,4.92,103
caseyjamess_,2,38420,4105,10.68,48
djulajewelry,3,196566,839,0.43,10
yellowstonenps,2,568947,21269,3.74,225
euniqueoffiziell,2,59018,8510,14.42,135
nobodyknowzzz,2,24055,1373,5.71,15
zoehoad,2,55822,1349,2.42,16
ryanholiday,2,54621,958,1.75,25
motorcitydrumensemble,2,8142,167,2.05,5
elisebyolsen,2,15818,614,3.88,5
littlehawky,2,2053,89,4.34,7
ghanim92,2,18818,431,2.29,11
twistedmatter,2,35204,784,2.23,5
girltalknetwork,2,149050,824,0.55,71
gwarizm,2,15802,664,4.20,11
chimpsean,2,929,154,16.58,4
saleterre,2,92,35,38.04,2
e.w.simpson,2,581,85,14.63,5
hairbyadir,3,353465,8516,2.41,21
ovoruby,2,538,75,13.94,1
jscottish,2,37310,3425,9.18,87
seewantshop,3,335521,2950,0.88,112
bravogreatphoto,2,369304,3963,1.07,17
shoegallery,2,77979,467,0.60,17
z8rty_news_q8,2,1063367,NaN,NaN,NaN
kosta_williams,2,589388,17038,2.89,256
roots_bk,2,16213,145,0.89,0
olga_trifonova_belka,2,85267,2228,2.61,65
angeleyonke,2,669,16,2.39,0
jillionaire,2,113168,4242,3.75,78
govisitdenmark,3,160816,6503,4.04,44
cucinaparadisoba,2,63918,358,0.56,5
phitzee,2,11671,1096,9.39,125
hanyayanagihara,2,32156,1745,5.43,42
galina_dub,2,3213530,122018,3.80,819
homesweethell,2,197951,5916,2.99,53
kono_in_orlando,2,105649,4873,4.61,102
birkenstock,2,315876,5754,1.82,50
marceloagu,2,5646,106,1.88,3
rovvxhyo,2,1656475,61337,3.70,262
belovedstories,2,103809,2183,2.10,14
graziauk,2,311886,377,0.12,5
kah.who,3,2183,251,11.50,4
success.drive,2,33700,2483,7.37,76
mings_hk,2,3575,30,0.84,1
frackowiakmagdalena,2,413540,7974,1.93,49
the.poor.girls.pantry,2,28767,1769,6.15,30
robingendron,2,932,0,0.00,0
munchinthepool,2,363506,41740,11.48,566
kalelkitten,2,755625,22230,2.94,287
cauemoura,2,950906,59892,6.30,428
barefootblondehair,2,73870,2601,3.52,22
designselfies,2,97337,1129,1.16,9
leandraleal,2,1562649,23652,1.51,519
balenciaga,11,5587414,41536,0.74,344
nicodecastris,2,31651,1736,5.48,25
m0sthated.dom,2,796,60,7.54,1
swirllllllss,2,1440,218,15.14,10
thewarehouse_miami,2,318,69,21.70,2
southbeachhelicopters,2,64826,1273,1.96,39
james_balog,2,93434,1390,1.49,14
befitfoods,2,935232,5920,0.63,39
warprecords,3,88493,630,0.71,6
moustachic,2,24078,634,2.63,22
rebelusian,2,46188,3312,7.17,47
pieronesydney,2,12504,143,1.14,1
collectivco,2,96088,961,1.00,7
chagitshot,2,604,57,9.44,2
somosvevo,2,179038,4350,2.43,534
iamdawnmccoy,2,270287,4622,1.71,108
success.maniacs,2,3714,279,7.51,4
vickymartinberrocal,2,583369,11696,2.00,143
mimialbero,2,131989,3628,2.75,36
jcollins20_,4,58518,8894,15.20,116
shootingthestyle,2,37256,303,0.81,1
lisaloveofficial,3,40023,368,0.92,10
alphachanneling,2,599886,16737,2.79,108
jgalliano,2,573143,16912,2.95,291
fl67no.8ryukei,2,134,3,2.24,2
danejacksonkayak,2,75408,1825,2.42,10
gusdapperton,3,44653,9354,20.95,283
burnerstyle,2,37892,969,2.56,6
atsuko_maeda_official,4,630022,39596,6.28,325
giorgio_mantelli,2,253,64,25.30,1
perrinjames1,3,149212,5446,3.65,51
joesjeans,2,81980,886,1.08,16
exposingfavcelebs,2,120070,0,0.00,0
ainhara,2,231226,4094,1.77,53
leslie.esp,2,342,108,31.58,4
naturalb_eauty,2,243133,1344,0.55,60
nicolephelps,3,39760,771,1.94,25
feed,2,82172,902,1.10,13
poldi_official,2,3370909,27002,0.80,107
themjewelers,2,713463,3584,0.50,14
doyenne,2,1520,79,5.20,5
jonmelson,2,35017,1317,3.76,23
fastfixie,3,81539,2355,2.89,6
beeshaffer,2,114924,4221,3.67,53
katicatronica,2,97824,3128,3.20,17
brycescarlett,2,55674,1384,2.49,23
carrieonliving,2,5017,482,9.61,11
six10design,2,12966,331,2.55,9
edbanger,5,93560,3818,4.08,59
harryecarr,3,6619,326,4.93,6
travelandleisure,2,3292253,44232,1.34,551
cakobel79,2,2042081,81347,3.98,642
teamlee1,2,39754,2521,6.34,71
miranda_ibanez,2,1602306,69758,4.35,257
lukamccabe,2,2645,323,12.21,18
stavrosrazis,2,8857,466,5.26,16
shauna728,2,1603,165,10.29,5
meganjo_,2,7961,874,10.98,49
lomurph,2,146994,3817,2.60,148
riko._s2,2,192,71,36.98,0
triggtrav,2,79296,6253,7.89,45
elliegoulding,5,14120065,179173,1.27,833
zakaria_houaoura,2,554,22,3.97,0
justinjedlica,2,115800,2162,1.87,23
theelizacoupe,2,81665,1764,2.16,33
kaotic_von,2,154160,1410,0.91,107
barbara.labres,2,387328,36388,9.39,387
neil.degrasse,2,658520,30723,4.67,581
kenzas,2,1771010,54018,3.05,277
ezio7558,3,129,0,0.00,0
mamaborisa,3,131900,3926,2.98,54
hadithomar,2,35682,791,2.22,20
isetanmens,2,32573,245,0.75,1
jehmahk,3,9931,499,5.02,14
clairemenary,3,25759,1028,3.99,14
beautiquebybouba,2,33982,566,1.67,14
olliella,2,80295,554,0.69,6
zenamalak,2,6482,493,7.61,30
24_east,2,7301,236,3.23,7
elysee____,2,77599,66,0.09,1
whiskeyanddonuts,2,1053,77,7.31,2
drielycarter,2,20072,623,3.10,9
m.a.calligraphy,2,184145,2727,1.48,10
blaancapadilla,2,562447,22642,4.03,79
missjulee,4,22364,602,2.69,24
baumex93,2,540,108,20.00,6
paperchasepress,2,12456,168,1.35,4
irisnew,2,181988,5507,3.03,72
doctor_lo,2,12952,190,1.47,15
_demianaditya_,2,452441,6424,1.42,80
pumpkintheraccoon,6,1520662,62639,4.12,318
thinkdirty,2,66392,91,0.14,1
irishka_kuzmenko_,2,54365,1114,2.05,485
siilvaer,2,8290,1135,13.69,18
tinafreydesigns,2,4339,47,1.08,1
trendingdog,2,125107,9066,7.25,179
simplethingsmag,2,23825,727,3.05,27
larisalovesalon,2,82419,897,1.09,5
petertmcg,2,4814,173,3.59,9
bradeniu,2,2511,206,8.20,2
samdek7,3,211673,7433,3.51,22
anastasia_belyak,2,38158,589,1.54,11
alpineglowskincare,2,4260,22,0.52,1
karenaevans_,2,10996,2793,25.40,69
dantethepoet,2,16954,580,3.42,21
knaut_contemporary,2,8347,413,4.95,6
roye_gold,2,183917,NaN,NaN,NaN
barblicious.s,2,2330,523,22.45,19
nokiamobile,2,158822,NaN,NaN,NaN
spoke_art,2,111315,609,0.55,4
tuckerdoss,3,120045,8748,7.29,133
kimoraleesimmons,2,1432663,3927,0.27,33
ruerodier,2,119991,1575,1.31,44
sandrasp060,2,2247,962,42.81,71
elana003,2,3041,208,6.84,23
sofarsounds,2,69168,629,0.91,7
ericjallen,2,1292,33,2.55,1
goshakutsenko,2,288460,4633,1.61,25
diegocandiac,2,4122,106,2.57,5
mezzosanguemc,2,153977,25023,16.25,337
necessaryclothing,2,177445,816,0.46,4
dicesoho,2,159282,4148,2.60,51
christinamacpherson,2,85494,2267,2.65,29
logos.ai,2,136708,1339,0.98,10
stevenrojas,2,20525,509,2.48,19
jenibrittonbauer,2,62035,1566,2.52,31
micheli_fernandes,2,476897,15274,3.20,368
unit1galleryworkshop,2,1836,102,5.56,2
murrengimmelwald,2,25433,789,3.10,5
till.jagla,2,4617,545,11.80,49
hennyeqt,2,1862,255,13.69,27
rainforestalliance,2,78375,712,0.91,5
realtechniques,2,2096054,5352,0.26,19
yulisa_famina,2,52438,1028,1.96,73
dailystreetlooks,2,314352,3152,1.00,20
lilgnar,2,108412,19702,18.17,476
humorempire,3,952581,29786,3.13,166
flaviamedina__,2,834204,18065,2.17,101
othr__,2,49549,601,1.21,7
biomedica.spa.fit,2,5858,48,0.82,3
fleamadonna_official,2,26714,116,0.43,1
owntv,2,643256,6096,0.95,123
universalentertainment,2,469953,2022,0.43,17
promote_vaping,2,2723,26,0.95,0
gggbit,2,32174,4741,14.74,114
jumping.twix,2,1860,70,3.76,3
vpisska,2,999022,0,0.00,0
hanung_d,2,128329,2142,1.67,13
pimley_preferred,2,7848,296,3.77,3
leylapiedayesh,2,11912,439,3.69,7
deverany,2,7041,462,6.56,8
annafaris,2,1774008,39781,2.24,243
ilovemakonnen,2,306169,7481,2.44,156
greysabc,2,3799711,238800,6.28,676
_soulaire,2,17641,1056,5.99,22
regioshambrientos,2,37432,346,0.92,7
westleyaustinofficial,2,1066,36,3.38,0
itsallaboutmila,2,6798,828,12.18,15
bradwilk,2,89641,2334,2.60,42
kublade,2,10095,306,3.03,9
typeyeah,2,22581,527,2.33,3
thelev91,2,40962,5319,12.99,44
jongorriganphotography,2,12341,310,2.51,7
husskiepress,2,6898,304,4.41,8
dcoretion,2,500709,658,0.13,103
blackk33,2,980,28,2.86,0
twheat,2,622190,6706,1.08,55
made,2,98538,572,0.58,2
aaronhandajani,2,67115,4521,6.74,75
juuuuvv,2,1476,64,4.34,3
moisetrustfull,2,18636,1035,5.55,14
daraxxi,2,6369746,226754,3.56,1285
inthestyle,2,1315316,6399,0.49,24
carlscrush,2,36503,520,1.42,14
cole.doman,2,7798,1158,14.85,24
zid.visions,3,6444,111,1.72,1
talktometaylor,2,8583,318,3.70,24
londonshaygoheen,2,220381,21651,9.82,147
watcherica,2,8760,296,3.38,9
mikeykravitz,2,7008,982,14.01,23
barbiedollzelie,2,93715,4905,5.23,70
nalgonapositivitypride,2,60494,136,0.22,2
biancamariem_,2,55351,4500,8.13,135
leffamsterdam,2,14318,777,5.43,9
bluebillie,2,7628,123,1.61,2
enock17,2,118834,5330,4.49,38
kathleeneggleton,2,717235,15415,2.15,293
stefano_pb,2,4751,289,6.08,9
theadvntsociety,2,878,46,5.24,1
stanleykubrick,2,147284,8089,5.49,43
howbeaman,2,72725,1920,2.64,126
woc.power,3,61843,4324,6.99,35
djprincesscut,2,22648,174,0.77,7
houseoftaylor_shop,2,207,10,4.83,0
doniherdaru,2,137042,3583,2.61,113
ihatekahn,2,6080,1212,19.93,25
blakescott_,3,491664,5127,1.04,87
__jesschen__,2,99614,4567,4.58,29
philip.unrmbrd,2,18266,643,3.52,4
trending,2,4457931,0,0.00,0
vedova13,2,4680,294,6.28,21
k.dramas_,2,319785,8195,2.56,57
amorology,2,27766,342,1.23,16
_marizlife_,2,1152,181,15.71,8
actuallynicholas,2,5032,416,8.27,8
doncannon,2,150830,1859,1.23,87
larseidinger,2,33747,1090,3.23,17
maisonnue,2,29978,1049,3.50,5
outdoorvoices,3,206671,2466,1.19,21
ericschlosberg,3,10045,901,8.97,8
luciegris,2,40079,501,1.25,5
yannalavigne,2,1800770,73722,4.09,524
yanalukacherofficial,2,294836,1829,0.62,82
itsjessandrea,2,784712,0,0.00,0
rqstudio,2,3351,99,2.95,1
kanontanaka_11,2,207,0,0.00,0
realdiddykong,2,1036558,29520,2.85,285
boutiquesouk,2,29018,1195,4.12,11
photobydave_69,2,1158,180,15.54,7
gqitalia,3,108955,281,0.26,2
salthani91,2,1797,0,0.00,0
justintheroux,2,528486,18154,3.44,260
k_athi.k,2,1513,148,9.78,6
garyarmstrong,3,6605,231,3.50,6
brittneyftaylor,2,138343,3468,2.51,115
bohemique,2,80355,1436,1.79,4
rpmumby,3,2119,329,15.53,8
ms_erika_sykes,2,2886,80,2.77,4
bonez187erz,2,1110942,90396,8.14,643
cityidols,2,24972,0,0.00,0
dcthedon,2,59790,6098,10.20,57
kim_akrich,2,94077,4263,4.53,43
kingjordanlewis,2,4078,327,8.02,20
mrcraiglawson,2,42980,660,1.54,4
khunsta0624,2,512664,91055,17.76,912
heimoemmi,2,159,0,0.00,0
bowlobsessed,2,4442,271,6.10,39
makmanian,2,4572,182,3.98,3
lavishalice,2,149840,506,0.34,5
rebeccasilvera,2,211077,2560,1.21,47
marialuciahohan24,2,79037,611,0.77,4
lebonwski,2,944176,108699,11.51,488
ninoshenka,2,8035,521,6.48,5
mrobinsonchavez,2,19306,121,0.63,1
maria.pucciarelli,2,33583,4266,12.70,36
noticingceramics,2,15748,361,2.29,3
claudiepierlot_officiel,2,171594,1297,0.76,12
usmarinecorps,2,711334,23207,3.26,82
lagunitasbeer,3,217064,2789,1.28,29
drmariomontoya,2,168399,806,0.48,26
the_ones2watch,2,2849,156,5.48,2
justinickpgh,3,544835,33696,6.18,294
thebohothrifter,2,2645,157,5.94,4
sideprojectbrew,2,34175,405,1.19,4
laurajulaine,2,138805,6755,4.87,240
sourapplecider,2,24920,3299,13.24,66
matteocapicchioni,2,43817,2662,6.08,36
edmilsonoficial,2,124143,742,0.60,23
jacechw,2,10931,373,3.41,13
ladybaguette,2,19060,1065,5.59,48
stoolpresidente,2,450719,37007,8.21,219
davidsasx,2,600,33,5.50,0
mamadousakho,2,1125103,13827,1.23,68
cheyennejulien,2,5720,927,16.21,19
durov,2,428598,44674,10.42,3945
bossplacess,2,336871,1965,0.58,8
itmovieunofficial,2,102893,7681,7.47,67
imkenta,2,39578,4335,10.95,21
guindideguindilla,2,4192,417,9.95,4
liz_kamarul,2,110602,2085,1.89,47
dwcweb,2,3042,59,1.94,2
http.vvegan,2,10014,113,1.13,3
v_q_z,2,35608,987,2.77,7
melanie_griffith57,5,343647,8642,2.51,86
musclecarzone,2,805033,27971,3.47,654
kremlin_caviar,2,31230,154,0.49,0
vanlifetv.uk,2,6350,209,3.29,8
lifetorecovery,2,263,59,22.43,1
jonghyun.948,2,2849632,260612,9.15,9138
lafeministadescolonial,2,39421,987,2.50,4
blessednestblog,2,31540,413,1.31,38
maddieseller,2,1700,512,30.12,12
misslisaarmstrong,2,31044,243,0.78,7
moontomoon,2,50394,1094,2.17,14
joansmalls,6,2629213,39476,1.50,158
adisumerta,2,10287,1728,16.80,187
jessicaoutofthecloset,2,37866,5014,13.24,16
mschwartzphoto,2,27196,1286,4.73,41
ridiculous,2,1001850,0,0.00,0
mmissoni,2,113993,1246,1.09,7
foodfightsuk,2,19081,717,3.76,24
inventastic,2,644851,NaN,NaN,NaN
nastialiukin,2,956749,16646,1.74,90
publigeekaire,2,17005,516,3.03,7
museumatfit,2,25451,316,1.24,5
beaudunn,3,241066,4906,2.04,51
notjvck,3,28294,3181,11.24,160
louiedelcarmen,2,29115,541,1.86,3
laurenlondon,4,4327407,235574,5.44,1866
missjackson,2,1070134,8939,0.84,61
1upnutrition,2,954909,2371,0.25,23
hippielongstockingz,2,1926,130,6.75,5
streethandle,3,45532,2687,5.90,34
dearra,4,2585126,293835,11.37,13937
bayleafcafe,2,17152,274,1.60,12
jasmin.bli,2,3600,0,0.00,0
tonywalkerco,2,13249,188,1.42,1
kj_hey,2,46301,10156,21.93,413
isabelabarry13,2,236,0,0.00,0
wbdass,2,45,0,0.00,0
robzombieofficial,3,959517,17481,1.82,229
forceblueteam,2,2861,177,6.19,3
dailyhurting,2,677993,0,0.00,0
agnijagrigule,2,82718,2906,3.51,7
ruslankasamoylenko,2,112931,12205,10.81,219
armonandtrey,3,1373071,128673,9.37,1707
therealstrella.kat,2,1346087,29131,2.16,581
thomascocquerel,2,14401,1111,7.71,21
witchoria,2,219146,13334,6.08,104
depechegurl,2,788672,1958,0.25,35
letstwins,2,139342,22712,16.30,76
mattia_galante_,2,3721,0,0.00,0
geoffmstults,2,63072,4201,6.66,62
reallilscrappy,6,2131593,3753,0.18,73
mtnerturk,2,2251,161,7.15,2
cathyguetta,3,171953,7009,4.08,46
ttd_eye,2,343154,2059,0.60,42
paulkabesa,2,182483,6271,3.44,113
h_emu,2,562,105,18.68,4
tenderfootstudio,2,113193,4495,3.97,21
daylocker,2,114560,0,0.00,0
doonabae,2,641877,53526,8.34,304
nunyara___,2,5068,53,1.05,1
mezhdu_nami_,2,25666,453,1.76,7
anthonylewisofficial,2,117959,475,0.40,7
bestiadtla,2,58160,1627,2.80,58
voostore,2,139476,2569,1.84,28
keithhufnagel,2,94525,3578,3.79,98
aconsciouscollection,2,39258,249,0.63,5
thecommsstore,2,12163,276,2.27,4
manuelantonio_,2,10262,721,7.03,29
heidijswanson,2,87719,1501,1.71,30
pureessentialsdc,2,107,20,18.69,0
klm,2,828097,11201,1.35,52
hchuaeoan,2,5270,49,0.93,0
patricecalmettes,2,1639,577,35.20,47
susanna_ausoni,2,1448,85,5.87,0
luvalyssamiller,3,162512,3919,2.41,29
thefrenchielove,2,298878,1563,0.52,9
ourgenerationmusik,2,12183,1756,14.41,270
gonepatrol,2,198936,6806,3.42,296
katerinajebb,2,2926,198,6.77,3
the_file,3,37871,1037,2.74,7
jasonfarrer,2,4245,0,0.00,0
flynorwegian,2,141171,2768,1.96,38
theconfidentmeghantrainor,2,945,27,2.86,1
ostheimerwoodentoys,2,35799,1276,3.56,17
meesterclark,2,2137,154,7.21,9
boadiceathevictorious,2,7187,246,3.42,5
pathfindersurvival,2,53379,1215,2.28,10
jisub___,2,4274,326,7.63,23
rudy_zerbi,2,861890,16507,1.92,84
moseofficial,2,104440,20629,19.75,389
drnesterenko,2,121614,7770,6.39,29
stretchandbobbito,3,45102,1729,3.83,48
cozettemc,2,9940,98,0.99,3
karisha_d,3,66681,2696,4.04,39
troprouge,2,231109,1499,0.65,40
gabi,2,2556466,95454,3.73,459
chefcbo,2,8280,583,7.04,17
livininabackpac,2,925,158,17.08,14
jessicamoreira890,2,619,76,12.28,2
transworldskate,2,1275750,9363,0.73,1033
sierraaaskyee,3,3481759,197392,5.67,1961
oenshop,3,17528,127,0.72,0
memezar,2,967217,0,0.00,0
way2ill_,2,325812,7544,2.32,80
portaldafama,2,1462428,1056,0.07,7
1jordanbell,2,228828,43073,18.82,439
crayationstation,3,10213,92,0.90,10
pittimmagine,2,137114,457,0.33,2
iambeckyg,4,7921430,221460,2.80,583
trailrunneradventures,2,1513,134,8.86,5
planktotabledesign,2,5010,93,1.86,5
belmond,3,83106,1129,1.36,9
beautifulhomes,2,76910,1618,2.10,9
spiritual_hacks,2,11580,717,6.19,26
avagraaam,2,41,1,2.44,0
drunch,2,6925,114,1.65,2
britishfashioncouncil,3,381934,1076,0.28,11
yourgirlchuck,2,314777,14944,4.75,229
cameronrussellbird,4,5121,480,9.37,26
turnerturner,2,5607,342,6.10,9
sallymustang,2,304247,9243,3.04,42
ehtepper,2,366,0,0.00,0
consortdesign,2,99307,790,0.80,9
thevegankind,2,108812,1031,0.95,97
yaadcore,2,95663,817,0.85,12
americangarage,2,60479,681,1.13,11
jasonbolden,2,114977,2856,2.48,39
ferrerorocherca,2,196999,837,0.42,5
comingcake,2,32259,799,2.48,4
lorenstewart,2,19727,133,0.67,1
sho.candy,2,28564,2231,7.81,13
saucylongwe,2,16290,639,3.92,25
sarahsophief,2,56800,1732,3.05,29
sierradewhawaii,2,807,67,8.30,3
smrchvz,2,29814,2541,8.52,70
dugudagii,2,1651,158,9.57,1
chrismd10,2,1337790,117508,8.78,646
sambahong,3,1588837,36672,2.31,272
laura_eguizabal,2,71336,2680,3.76,84
river.magick,2,53570,1526,2.85,39
fashion_week,2,1655615,5644,0.34,40
marmarmartinelli,2,1827,259,14.18,15
daniellecarolan,2,202516,23711,11.71,246
fattyonce,2,38198,5118,13.40,105
sebrainterior,2,47427,285,0.60,4
dbzdutch,2,224389,11212,5.00,119
popartmarketing,4,662575,23059,3.48,633
hiddencrownhair,2,44822,148,0.33,6
cameronmonaghan,3,1928626,244533,12.68,2009
emmafeilphotography,2,4540,327,7.20,12
julian_wilson,2,753341,18410,2.44,68
mesogoods,2,3068,76,2.48,2
stylecusp,2,138030,1292,0.94,30
ronnie.cooke.newhouse,3,5999,364,6.07,19
zoeisabellakravitz,9,3452439,212169,6.15,1236
kouki1634,2,501,96,19.16,2
bjork,6,1023304,78384,7.66,732
getfreshly,2,43864,233,0.53,10
steviepettus,2,20767,749,3.61,14
mauriziocattelan,2,92639,NaN,NaN,NaN
naturalmojo_pl,2,60884,1048,1.72,9
materialgood,3,20111,366,1.82,7
mandinelson_,3,92607,3132,3.38,25
allwomanproject,2,50952,516,1.01,5
aliciadimichele,2,135212,1614,1.19,52
24hrs,3,126116,13854,10.99,252
fyve_camps,3,121851,NaN,NaN,NaN
stronzxa,2,542734,0,0.00,0
wilma_northpaw,2,9292,684,7.36,118
mounir_kidadi,2,453316,53930,11.90,183
mad_edyy,2,565,0,0.00,0
nuwarhol,2,4475,80,1.79,0
inmakum,2,345479,20883,6.04,547
