rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
61,△1,EST,32,957,12,Kaia Kanepi,2961,kaiakanepi,Kaia Kanepi,https://scontent-lga3-1.cdninstagram.com/vp/f51ac775a22b5d1895c4b95758040414/5B99063E/t51.2885-19/s150x150/21827627_130671994229471_4869450035474989056_n.jpg,true,false,1780592347,Kaia Kanepi
62,△1,BRA,21,948,22,Beatriz Haddad Maia,274,beatrizhaddadmaia,Beatriz Haddad Maia💕,https://scontent-lga3-1.cdninstagram.com/vp/a34fed2340eaae27a37d4569f29ae4a0/5B5CEFE9/t51.2885-19/s150x150/29095737_1634774336560363_5533527154249170944_n.jpg,false,false,7372666675,Beatriz Haddad Maia
63,△1,ROU,30,926,23,Monica Niculescu,2530,monica.niculescu.12,Monica Niculescu,https://scontent-lga3-1.cdninstagram.com/vp/5932681383361f5e9a81ebeda503a854/5B9C48CF/t51.2885-19/s150x150/21688893_131887034108613_7719019802529890304_n.jpg,true,false,6053887620,Monica Niculescu
64,▽9,CHN,26,925,20,Qiang Wang,496,qiang.wang92,Q.Wang,https://scontent-lga3-1.cdninstagram.com/vp/591aa1837fc3d41c843315fc1f105cb0/5B9C1357/t51.2885-19/s150x150/12717080_1046397025429005_467783923_a.jpg,true,false,2962104050,Qiang Wang
65,0,GER,27,904,25,Mona Barthel,2038,monabarthel7,Mona Barthel,https://scontent-lga3-1.cdninstagram.com/vp/1df70493f1552aac7d8d7ad4ac60d918/5B64AF49/t51.2885-19/s150x150/28763266_1629199967170526_4602517860978262016_n.jpg,true,false,421504395,Mona Barthel
66,0,ROU,25,902,24,Ana Bogdan,752,anabogdan.fans,Ana Bogdan,https://scontent-lga3-1.cdninstagram.com/vp/1e01fa6b0f9e745a2746bf26e99afd1a/5B766BC9/t51.2885-19/s150x150/26350639_957685541055257_1259304627598262272_n.jpg,false,false,6810079255,Ana Bogdan
67,0,PUR,24,895,21,Monica Puig,420184,monicaace93,Monica Puig,https://scontent-lga3-1.cdninstagram.com/vp/894d753d9c91fafe91646d68f2a55a4f/5B67B59F/t51.2885-19/s150x150/19437028_1930213120527963_8057773034330652672_a.jpg,true,false,234831589,Monica Puig
68,0,UKR,24,894,24,Kateryna Kozlova,2266,kateryna_kozlova,Kateryna Kozlova,https://scontent-lga3-1.cdninstagram.com/vp/bdc1848b7385c2aba927ddce57ea5f0d/5B9868A9/t51.2885-19/s150x150/21984697_171102320110654_9187494504289009664_n.jpg,false,false,3084262157,Kateryna Kozlova
69,0,POL,26,865,27,Magda Linette,11671,magdalinette,Magda Linette,https://scontent-lga3-1.cdninstagram.com/vp/efc3fe41654ac238d7a8e7a46caef7a1/5B99337C/t51.2885-19/s150x150/30078008_2120633394833131_7745630058391273472_n.jpg,true,false,226359114,Magda Linette
70,0,BEL,32,846,23,Kirsten Flipkens,16449,kirstenflipkens,Kirsten Flipkens,https://scontent-lga3-1.cdninstagram.com/vp/11b3b1692036f0df07e0df546254e381/5B6A6114/t51.2885-19/s150x150/29739508_1969087650073924_7696365207253155840_n.jpg,true,false,380160937,Kirsten Flipkens
