name,team,position,base_salary,total_comp
Kevin Ellis,KC,D,140004,148337
Chris Tierney,NE,D-M,140000,148333
Leonardo Da Silva,HOU,D,140004,147671
Chris Wingert,RSL,D,134004,145394
Harrison Shipp,SEA,M,145000,145000
Patrick Mullins,DC,F,114125,144125
Luis Gil,ORL,M,144000,144000
Agustin Iniguez,HOU,D,143000,143000
Arturo Alvarez,CHI,M,135000,142500
Joao Pedro,LA,M,120000,141000
Sebastien Le Toux,DC,F-M,125004,140004
Marcel de Jong,VAN,D-M,140000,140000
Kofi Sarkodie,SJ,D,135000,140000
Brian Carroll,PHI,M,132000,140000
Richard Marquez,PHI,D,133000,139430
Cordell Cato,SJ,M,137000,138667
Dairon Asprilla,POR,M-F,138000,138000
Warren Creavalle,PHI,M,125000,138000
Jose Guillermo Ortiz,DC,F,129996,137621
Cristian Roldan,SEA,M,115000,137000
Evan Bush,MTL,GK,136750,136750
Fabian Herbers,PHI,M-F,110000,135500
Jermaine Taylor,MNUFC,D,125004,135004
Michael Harrington,CHI,D,135000,135000
Marc Burch,MNUFC,D,135000,135000
Kevin Alston,ORL,D,135000,135000
Omar Holness,RSL,F,110000,133500
Eriq Zavaleta,TOR,D,102850,133450
Seth Sinovic,KC,D,125000,132667
Ryan Hollingshead,DAL,M-D,132500,132500
Chris Schuler,RSL,D,127500,132500
Erik Hurtado,VAN,F/M,125000,131250
Calum Mallace,MTL,M,115000,131250
Jimmy Medranda,KC,D,130008,130008
Sebastian Hines,ORL,D,129996,129996
Fabrice Picault,PHI,F,115000,128667
Shamit Shome,MTL,M,100000,128500
Conor Donovan,ORL,D,100000,128000
Sean Davis,NYRB,M,110000,127500
Bobby Burling,COL,D,120000,126000
Chance Myers,POR,D,125004,125004
Scott Caldwell,NE,M,115000,125000
Alvas Powell,POR,D,115000,123700
Yangel Herrera,NYCFC,M,123557,123557
Axel Sjoberg,COL,D,108350,123350
Shaun Francis,SJ,D,115000,123333
Ian Harkes,DC,M,90000,123238
Carlos Cermeno,DAL,M,120000,123000
Brandon Vazquez,ATL,F,100008,120008
Brian Rowe,LA,GK,120000,120000
Andres Romero,MTL,M,120000,120000
Nicolas Mezquida,VAN,M-F,120000,120000
Taylor Kemp,DC,D,120000,120000
Kofi Opare,DC,D,105000,120000
Brandon Vincent,CHI,D,96250,118125
Tommy Redding,ORL,D,110000,117500
Cameron Porter,KC,F,65000,117500
Michael Azira,COL,M,110000,116625
Jonathan Lewis,NYCFC,F,80000,115500
Jake Gleeson,POR,GK,110000,115167
Igor Juliao,KC,D,100008,115008
David Horst,RSL,D,110004,115004
Emmanuel Boateng,LA,F,115000,115000
Mekeil Williams,COL,D,110000,115000
Jared Jeffrey,DC,M,105000,115000
Servando Carrasco,ORL,M,114996,114996
Matt Polster,CHI,M,99900,114900
Charlie Davies,PHI,F,108960,114685
Fatai Alashe,SJ,M,98175,114425
Tesho Akindele,DAL,F-M,95000,112500
Daniel Steres,LA,D,105000,112063
Saad Abdul-Salaam,KC,D,96800,110550
Khiry Shelton,NYCFC,F,92950,110450
Keegan Rosenberry,PHI,D,104500,110313
Josh Williams,CLB,D,110004,110004
Marlon Hairston,COL,D-M,110004,110004
Jalil Anibaba,HOU,D,110004,110004
Sal Zizzo,NYRB,M,110000,110000
Zarek Valentin,POR,D,110000,110000
Jonathan Campbell,CHI,D,101750,109875
Nick Hagglund,TOR,D,100008,109633
Ben Zemanski,POR,M,105000,109000
Jay Chapman,TOR,M,90000,108500
Miguel Camargo,NYCFC,M,100000,108250
Andres Imperiale,SJ,D,105000,107500
Caleb Calvert,COL,F,100000,107500
Mark Bloom,ATL,D,99225,106574
Joe Willis,HOU,GK,106313,106313
Ben Swanson,CLB,M,85000,105417
Jeff Attinella,POR,GK,100000,105083
Ryan Meara,NYRB,GK,100008,105008
Jose Villarreal,LA,F,105000,105000
Zack Steffen,CLB,GK,105000,105000
Bernardo Anor,MNUFC,M,105000,105000
Chad Barrett,RSL,F,99000,105000
Eric Kronberg,MTL,GK,100000,105000
Wandrille Lefevre,MTL,D,95000,104500
Auston Trusty,PHI,D,75000,104100
Coy Craft,DAL,F-M,85000,102083
RJ Allen,NYCFC,D,100000,101667
Ashtone Morgan,TOR,D,100008,101508
Brad Knighton,NE,GK,100910,100910
Rafael Ramos,ORL,D,100800,100800
Sebastian Saucedo,RSL,M,90000,100500
Juan Edgardo Ramirez,COL,M,100000,100000
Ambroise Bitolo,MTL,D,100000,100000
Michael Barrios,DAL,M,100000,100000
Leandro Barrera,SJ,F,100000,100000
Artur De Lima Junior,CLB,M,80004,99879
Tim Parker,VAN,D,80850,99600
Joevin Jones,SEA,D,90000,96167
Matt Van Oekel,RSL,GK,96000,96000
John McCarthy,PHI,GK,86500,95750
Julian Buescher,DC,M,80000,94700
Jesse Gonzalez,DAL,GK,85000,94375
Andrew Tarbell,SJ,GK,80000,94000
Zeiko Lewis,NYRB,M,75000,93750
Julian Gressel,ATL,M,75000,93750
Brandon Aubrey,TOR,D,75000,93750
Connor Lade,NYRB,D,85000,92813
Adam Jahn,CLB,F,92500,92500
Tyler Adams,NYRB,M,75000,91042
Alex Bono,TOR,GK,70000,90200
Justin Davis,MNUFC,D,80000,89750
Kevin Venegas,MNUFC,D,85000,88333
Alhaji Kamara,DC,F,80000,88250
Andrew Dykstra,KC,GK,80004,87655
Adonijah Reid,DAL,F,70000,87500
Collin Fernandez,CHI,M,85000,87000
Eric Miller,COL,D,75554,86554
Nick Lima,SJ,D,80004,86208
Dillon Serna,COL,M,72600,85600
Victor Giro,ORL,D-M,80004,85317
Zach Loyd,ATL,D,85008,85008
Samuel Adekugbe,VAN,D,80000,85000
Collin Martin,MNUFC,M,84996,84996
Alex Crognale,CLB,D,84996,84996
Brian Wright,NE,F,65625,84375
Rafael Garcia,LA,M,82500,82500
Jordan Hamilton,TOR,F,69458,81958
Matt Lampson,CHI,GK,76000,81375
Brad Stuver,CLB,GK,80004,80004
Djordje Mihailovic,CHI,M,80000,80000
Paolo Tornaghi,VAN,GK,80000,80000
Patrick McLain,MNUFC,GK,80000,80000
Chris Durkin,DC,D-M,70000,79167
Maxime Crepeau,MTL,GK,75000,79083
Ballou Jean-Yves Tabla,MTL,M,70000,79000
Daniel Lovitz,MTL,M,78750,78750
Giliano Wijnaldum,PHI,D,65004,78337
Andrew Carleton,ATL,F,65000,77400
Alec Kann,ATL,GK,77004,77004
Daigo Kobayashi,NE,M,69996,76996
Kortne Ford,COL,D,69996,76996
Erik Palmer-Brown,KC,D,75000,75500
Marc Pelosi,SJ,M,65004,75004
Jared Watts,COL,D-M,75000,75000
Mikey Lopez,NYCFC,M,75000,75000
Paxton Pomykal,DAL,M,70000,75000
Latif Blessing,KC,F,65004,74379
Chris Goslin,ATL,M,70000,74000
Kianz Froese,VAN,M,69300,73800
Michael Murillo,NYRB,D,65004,73754
Hadji Barry,ORL,F,68750,73313
Chris Odoi-Atsem,DC,D,65000,72500
Jacori Hayes,DAL,M,65000,72500
Nikolaj Hansen,CLB,F,65000,72500
Nick Depuy,MTL,F,65000,72500
"Alhassan ""Lalas"" Abubakar",CLB,D,65000,72500
Hugo Arellano,LA,D,65000,72375
Deybi Flores,VAN,M,66000,71885
Derrick Jones,PHI,M,65000,70900
Donny Toia,ORL,D,70875,70875
Chris Duvall,MTL,D,70875,70875
Marco Bustos,VAN,M,65625,70475
Cristian Martinez,CLB,M,65633,70133
Jalen Robinson,DC,D,69996,69996
Alex Muyl,NYRB,F,65625,69625
London Woodberry,NE,D,69300,69300
Victor Mansaray,SEA,F,65625,69125
Brent Kallman,MNUFC,D,65004,68296
Ismaila Jome,MNUFC,M,65004,67837
Brett Levis,VAN,D,65000,67500
Kyle Greig,VAN,F,65004,66849
Joseph Greenspan,MNUFC,D,65000,66469
Aaron Kovar,SEA,M,66150,66350
Donnie Smith,NE,M,66150,66150
David Romney,LA,D,66150,66150
Dylan Remick,HOU,D,66150,66150
Bryan Meredith,SEA,GK,66150,66150
Bradford Jamieson,LA,F,66150,66150
Anthony Jackson-Hamel,MTL,F,66150,66150
Harrison Heath,ATL,M,66150,66150
Eduardo Fernandez,RSL,GK,66150,66150
John Berner,COL,GK,66150,66150
Rob Vincent,DC,M-F,65633,65633
Ricardo Velazco,RSL,F,65633,65633
Andre Rawls,NYCFC,GK,65633,65633
Tyler Miller,SEA,GK,65633,65633
Kevin Garcia,HOU,D,65633,65633
Travis Worra,DC,GK,65625,65625
Rodrigo Saravia,CLB,M,65625,65625
Raul Mendiola,LA,F,65625,65625
Jack McBean,LA,F,65625,65625
Eirik Johansen,NYCFC,GK,65625,65625
Zachary Herivaux,NE,M,65625,65625
Oniel Fisher,SEA,M-D,65625,65625
Clement Diop,LA,GK,65625,65625
Cody Cropper,NE,F,65625,65625
Drew Conner,CHI,M,65625,65625
Eric Ayuk,PHI,M,65625,65625
Mikey Ambrose,ATL,D,65625,65625
Brandon Allen,NYRB,F,65625,65625
Danilo Acosta,RSL,M,65625,65625
Anatole Abang,NYRB,F,65625,65625
Tony Rocha,ORL,M,65621,65621
Alexander Tambakis,ATL,GK,65004,65004
Ben Sweat,NYCFC,D,65004,65004
Vicente Sanchez,HOU,F,65004,65004
Soony Saad,KC,F,65004,65004
Mauro Rosales,VAN,M,65004,65004
Spencer Richey,VAN,GK,65004,65004
Kyle Reynish,ATL,GK,65004,65004
Mark Pais,TOR,GK,65004,65004
Oguchi Onyewu,PHI,D,65004,65004
Abuchi Obinwa,CLB,M,65004,65004
Jake Nerwinski,VAN,D,65004,65004
George Malki,HOU,D,65004,65004
Jonathan Kempin,LA,GK,65004,65004
Daniel Johnson,CHI,M,65004,65004
Jason Hernandez,TOR,D,65004,65004
Sam Hamilton,COL,M,65004,65004
Bradley Diallo,LA,D,65004,65004
Matej Dekovic,CHI,D,65004,65004
Mike Da Fonte,COL,D,65004,65004
Benoit Cheyrou,TOR,M,65004,65004
Sergio Camargo,TOR,M,65004,65004
Brandt Bronico,CHI,M,65004,65004
Matt Bersano,SJ,GK,65004,65004
Jack Barmby,POR,M-F,65004,65004
Carlos Alvarez,LAFC,M,65004,65004
Adam Najem,PHI,M,65000,65000
Victor Arboleda,POR,M-F,65000,65000
Romario Williams,ATL,F,65000,65000
Ethan White,NYCFC,D,65000,65000
Ken Tribbett,PHI,D,65000,65000
Maxim Tissot,DC,D,65000,65000
John Stertzer,NYCFC,M,65000,65000
Matheus Silva,SJ,M,65000,65000
Ben McKendry,VAN,M,65000,65000
Aaron Long,NYRB,D,65000,65000
Earl Edwards,ORL,GK,65000,65000
Patrick Doody,CHI,D,65000,65000
Alphonso Davies,VAN,M,65000,65000
Calle Brown,HOU,GK,65000,65000
Dominique Badji,COL,F,65000,65000
Rennico Clarke,POR,D,53004,58004
Derrick Etienne,NYRB,M,53000,58000
Eric Klenofsky,DC,GK,53004,56754
Jose Hernandez,RSL,M,53004,56379
Bryan Reynolds,DAL,F,53000,55000
Ricardo Perez,COL,M,53004,54254
Louis Beland Goyette,MTL,M,53000,54250
Matt Turner,NE,GK,54075,54075
Cole Seiler,VAN,D,54075,54075
Michael Salazar,MTL,F,54075,54075
Ariel Lassiter,LA,F,54075,54075
Marshall Hollingsworth,CLB,M,54075,54075
Femi Hollinger-Janzen,NE,F,54075,54075
Aaron Guillen,DAL,D,54075,54075
Shannon Gomez,NYCFC,D,54075,54075
Tsubasa Endoh,TOR,F,54075,54075
Kip Colvey,SJ,D,54075,54075
David Choiniere,MTL,M,54075,54075
Dennis Castillo,COL,D,54075,54075
Joey Calistri,CHI,M,54075,54075
Justin Bilyeu,NYRB,D,54075,54075
Mo Babouli,,F,54075,54075
Tony Alfaro,SEA,D,54075,54075
Christian Lucatero,HOU,M,53000,53250
Henry Wingo,SEA,D-M,53004,53004
Andrew Wheeler-Omiunu,ATL,M,53004,53004
Anton Walkes,ATL,D,53004,53004
Jaime Villarreal,LA,M,53004,53004
Colton Storm,KC,D,53004,53004
Nathan Smith,LA,D,53004,53004
Joshua Smith,NE,D,53004,53004
Justin Schmidt,RSL,D,53004,53004
Moussa Sane,ORL,F,53004,53004
Memo Rodriguez,HOU,M,53004,53004
Hassan N'dam,NYRB,D,53004,53004
Lindo Mfeka,SJ,M-F,53004,53004
Dan Metzger,NYRB,M,53004,53004
Jake McGuire,PHI,GK,53004,53004
Zach Mathers,SEA,M,53004,53004
Connor Maloney,CLB,D,53004,53004
Brooks Lennon,RSL,F,53004,53004
Logan Ketterer,CLB,GK,53004,53004
Aaron Jones,PHI,D,53004,53004
Cameron Iwasa,KC,F,53004,53004
Taylor Hunter,HOU,D,53004,53004
Walker Hume,DAL,D,53004,53004
Joseph Holland,HOU,M,53004,53004
Billy Heavner,MNUFC,GK,53004,53004
Devron Garcia,ORL,M-F,53004,53004
Kyle Fisher,MTL,D,53004,53004
Monday Bassey Etim,LAFC,M,53004,53004
Jose Escalante,HOU,M,53004,53004
Marcus Epps,PHI,M,53004,53004
Jack Elliott,PHI,D,53004,53004
Raheem Edwards,TOR,F,53004,53004
Reagan Dunk,RSL,D,53004,53004
Jordy Delem,SEA,M,53004,53004
Thomas De Villardi,MNUFC,D,53004,53004
Pierre Da Silva,ORL,M,53004,53004
Stefan Cleveland,CHI,GK,53004,53004
Arun Basuljevic,NYRB,M,53004,53004
Kwame Awuah,NYCFC,D-M,53004,53004
Oyvind Alseth,TOR,M-D,53004,53004
Seyi Adekoya,SEA,F,53004,53004
Reggie Cannon,DAL,D,53000,53000
Adrian Zendejas,KC,GK,53000,53000
Mason Stajduhar,ORL,GK,53000,53000
Daniel Salloi,KC,F,53000,53000
Tyler Pasher,KC,D-M,53000,53000
Jeffrey Oblitey Otoo,ATL,M-F,53000,53000
Kendall McIntosh,POR,GK,53000,53000
Jesus Ferreira,DAL,F,53000,53000
Marco Farfan,POR,D,53000,53000
Nouhou Tolo,SEA,D,53000,53000
Sean Okoli,NYCFC,F,53000,53000
