name,rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country
Jean-Paul Strydom,533,533,40,.29,11.46,-1.66,8.40,RSA
Gonzalo Fernandez-Castaño,534,534,52,.29,14.89,-2.24,10.15,ESP
Ben Leong,535,535,40,.29,11.41,-2.58,3.94,MAS
Jin-jae Byun,536,536,40,.28,11.32,-4.25,,KOR
Andres Gonzales,537,537,52,.28,14.69,-7.64,,USA
Mikael Lundberg,538,538,45,.28,12.70,-3.61,,SWE
Mark Anderson,539,539,49,.28,13.80,-4.13,6.39,USA
William Harrold,539,539,45,.28,12.68,-.90,6.20,ENG
Jake Higginbottom,541,541,41,.28,11.44,-2.86,,AUS
Rashid Khan,542,542,40,.28,11.15,-3.88,,IND
Henrik Norlander,543,543,40,.28,11.14,-4.99,,SWE
Daniel Im,544,544,52,.28,14.47,-4.87,,USA
Harrison Endycott,545,545,40,.28,11.13,,11.13,AUS
Masaru Takahashi,546,546,40,.28,11.03,-3.01,,JPN
,547,547,40,.28,11.03,-2.61,,GER
Matt Every,548,548,52,.27,14.27,-2.17,6.48,USA
Daniel Fox,549,549,41,.27,11.25,-1.12,7.00,USA
James Marchesani,549,549,40,.27,10.97,-1.97,,AUS
Todd Sinnott,551,551,40,.27,10.97,-4.28,,AUS
Greg Chalmers,552,552,52,.27,14.23,-7.68,3.66,AUS
Hennie Otto,553,553,40,.27,10.94,-1.94,3.52,RSA
Julien Quesne,554,554,49,.27,13.39,-9.44,,FRA
Fabián Gómez,555,555,50,.27,13.60,-9.70,2.55,ARG
Grant Forrest,556,556,40,.27,10.86,-2.00,1.96,SCO
Aksel Olsen,557,557,40,.27,10.86,-2.33,4.00,NOR
Keenan Davidse,558,558,44,.27,11.93,-1.81,4.90,RSA
Jean Hugo,559,559,48,.27,12.98,-3.08,3.82,RSA
Mark Brown,560,560,40,.27,10.80,-1.60,1.53,NZL
Martin Wiegele,561,561,40,.27,10.79,-2.85,,AUT
Joel Sjöholm,562,562,51,.27,13.69,-3.19,2.00,SWE
Adam Long,563,563,50,.27,13.37,-3.02,4.98,USA
Mito Pereira,564,564,45,.27,12.01,-4.14,1.76,CHI
P. Tangkamolpraser,564,564,52,.27,13.89,-6.84,2.94,THA
Riekus Nortje,566,566,40,.27,10.67,-3.25,,RSA
Christiaan Bezuidenhout,567,567,52,.27,13.87,-4.74,2.69,RSA
Ryan Brehm,568,568,52,.27,13.86,-7.35,,USA
Gi-Whan Kim,568,568,44,.27,11.73,-2.54,,KOR
Yan Wei Liu,570,570,52,.27,13.85,-3.09,,CHN
Justin Hueber,571,571,46,.27,12.23,-1.99,6.25,USA
Andrea Pavan,572,572,50,.27,13.28,-2.38,7.76,ITA
Jarryd Felton,573,573,40,.27,10.62,-3.49,,AUS
Kunihiro Kamii,574,574,40,.26,10.55,-2.38,,JPN
Kalle Samooja,575,575,40,.26,10.49,-1.97,3.76,FIN
Paul Howard,576,576,48,.26,12.57,-3.91,,ENG
Deyen Lawson,577,577,40,.26,10.36,-2.17,4.70,AUS
Josh Teater,578,578,52,.26,13.45,-4.34,4.17,USA
Billy Kennerly,579,579,40,.26,10.33,-2.22,1.20,USA
Oscar Stark,580,580,47,.26,12.10,-4.74,,SWE
Mark Haastrup,581,581,47,.26,12.06,-4.37,4.00,DEN
Cho Min-jun,582,582,52,.26,13.33,-4.55,1.22,KOR
Niklas Lemke,583,583,40,.26,10.24,-2.44,,SWE
Marco Iten,584,584,40,.26,10.23,-2.65,,SUI
Kim Koivu,585,585,40,.26,10.20,,10.20,
Paul Lawrie,586,586,40,.25,10.17,-4.29,,SCO
Christopher Mivis,587,587,52,.25,13.22,-4.26,,BEL
Nicolás Geyger,588,588,46,.25,11.68,-2.15,6.31,CHI
Jonathan Hodge,588,588,40,.25,10.16,-1.99,1.22,USA
Steven Jeffress,588,588,40,.25,10.16,-1.24,7.02,AUS
Max Orrin,591,591,49,.25,12.37,-4.31,1.62,ENG
Brett Coletta,592,592,40,.25,10.07,-3.86,,AUS
Choi Ho-sung,593,593,50,.25,12.56,-3.67,,KOR
Johnny Ruiz,594,594,40,.25,10.03,-2.25,,USA
K.J. Choi,595,595,52,.25,13.03,-7.17,6.43,KOR
,596,596,40,.25,10.02,-.40,8.40,RSA
Hendrik Du Plessis,597,597,43,.25,10.75,-3.23,1.82,RSA
Terry Pilkadaris,598,598,50,.25,12.42,-1.86,9.00,AUS
Pep Angles,599,599,52,.25,12.91,-7.04,,ESP
NattawatSuvana Suvanajanak,600,600,40,.25,9.92,-2.02,,THA
Edward Loar,601,601,40,.25,9.89,,9.89,USA
Thomas Bjørn,602,602,40,.25,9.84,-2.30,3.55,DEN
Adam Blyth,603,603,40,.25,9.83,-5.10,,AUS
Brian Richey,604,604,40,.24,9.71,-1.87,,USA
Minwoo Lee,605,605,40,.24,9.70,-.99,4.49,AUS
Doug McGuigan,606,606,50,.24,12.12,-2.74,,RSA
Mikumu Horikawa,607,607,47,.24,11.38,-2.03,3.72,JPN
Mark Foster,608,608,43,.24,10.41,-2.95,2.24,ENG
Christofer Blomstrand,609,609,49,.24,11.86,-5.37,,SWE
Robbie Van West,610,610,40,.24,9.65,-1.65,5.28,
Per Langfors,611,611,40,.24,9.63,-2.48,1.20,SWE
Jordan Niebrugge,612,612,40,.24,9.62,-2.24,,USA
Hunter Mahan,613,613,52,.24,12.49,-2.68,2.58,USA
Gunn Charoenkul,614,614,40,.24,9.59,-4.82,,THA
Won Joon Lee,615,615,40,.24,9.57,-4.23,,AUS
Ethan Tracy,616,616,50,.24,11.94,-3.62,,USA
Ji-hoon Lee,617,617,40,.24,9.50,-2.86,,KOR
Louis de Jager,618,618,49,.24,11.61,-3.75,1.96,RSA
Neil Schietekat,619,619,50,.24,11.82,-2.38,5.52,RSA
Austin Smotherman,619,619,40,.24,9.45,-.44,6.00,USA
Laurie Canter,621,621,44,.24,10.38,-2.04,2.83,ENG
James Heath,621,621,47,.24,11.09,-4.92,,ENG
Matthew Griffin,623,623,52,.24,12.22,-5.84,,AUS
Joel Girrbach,624,624,40,.23,9.31,-3.36,,SUI
Alex Kang,624,624,44,.23,10.24,-3.71,2.16,USA
Jinichiro Kozuma,626,626,45,.23,10.44,-2.54,1.48,JPN
Jyoti Randhawa,627,627,40,.23,9.24,-2.73,1.29,IND
Lu Wei-chih,627,627,40,.23,9.23,-4.67,,TPE
Cory Crawford,629,629,40,.23,9.19,-.98,5.60,AUS
Bryden MacPherson,630,630,40,.23,9.17,-1.07,,AUS
Masahiro Kawamura,631,631,52,.23,11.90,-4.87,4.30,JPN
Raphael Jacquelin,632,632,52,.23,11.86,-7.01,,FRA
Itthipat Buranatanya,633,633,40,.23,9.09,-1.58,5.44,THA
Tim Wilkinson,633,633,52,.23,11.81,-6.81,1.53,NZL
Taichi Teshima,635,635,47,.23,10.66,-3.38,,JPN
Eric Axley,636,636,52,.23,11.75,-2.84,4.77,USA
Kyle Reifers,637,637,52,.23,11.71,-11.28,,USA
Daniel Pearce,638,638,40,.23,9.00,-2.90,1.33,NZL
Rodolfo Cazaubón,639,639,40,.23,9.00,-3.08,1.35,MEX
Mark Tullo,640,640,40,.22,8.98,-2.71,,CHI
Duncan Stewart,641,641,52,.22,11.66,-6.88,,SCO
Kevin Dougherty,642,642,40,.22,8.95,-.24,7.96,USA
Ernie Els,643,643,52,.22,11.47,-5.48,2.77,RSA
Michael Sim,644,644,40,.22,8.79,-2.18,,AUS
Michio Matsumura,645,645,50,.22,10.89,-2.65,,JPN
Spencer Levin,646,646,52,.22,11.30,-7.69,,USA
Nathan Kimsey,647,647,45,.22,9.76,-2.26,,ENG
Dan McCarthy,648,648,40,.22,8.67,-5.38,2.66,USA
Matt Ford,649,649,48,.22,10.39,-2.88,1.47,ENG
Peter Malnati,650,650,52,.22,11.22,-3.25,3.21,USA
Tag Ridings,651,651,48,.22,10.34,-4.09,,USA
Andre De Decker,652,652,40,.22,8.60,-.92,6.07,RSA
Lee McCoy,653,653,40,.21,8.56,-3.69,1.29,USA
Thomas Linard,654,654,44,.21,9.41,-2.90,,FRA
Kasidit Lepkurte,655,655,40,.21,8.55,-1.40,,THA
Shunya Takeyasu,656,656,40,.21,8.52,-3.25,1.54,JPN
Thanyakorn Khrongpha,657,657,52,.21,11.06,-6.18,,THA
Ryuji Masaoka,658,658,44,.21,9.35,-2.95,,JPN
Steve Marino,659,659,40,.21,8.46,-3.73,7.07,USA
Max Rottluff,660,660,40,.21,8.44,-2.93,,GER
Alex Prugh,661,661,51,.21,10.75,-3.98,,USA
Simon Forsstrom,662,662,40,.21,8.41,-4.07,,SWE
Kelvin Day,663,663,40,.21,8.41,-2.62,,ENG
Casey Wittenberg,664,664,40,.21,8.40,-3.37,,USA
Ryan Ruffels,665,665,40,.21,8.26,-3.53,,AUS
Lionel Weber,666,666,47,.21,9.68,-3.16,1.21,FRA
Tom Murray,667,667,49,.21,10.09,-2.70,,ENG
Minkyu Kim,668,668,40,.21,8.22,-1.62,,
Yi Cao,669,669,40,.20,8.10,-1.01,6.00,CHN
Byungmin Cho,670,670,52,.20,10.49,-5.09,,KOR
Steve Wheatcroft,671,671,50,.20,10.04,-5.55,,USA
Hong-taek Kim,672,672,40,.20,8.02,-1.63,,KOR
Jon Thomson,673,673,40,.20,7.97,-2.21,,
Heung-Chol Joo,674,674,41,.20,8.15,-4.24,,KOR
Anthony Michael,675,675,43,.20,8.54,-1.96,5.02,RSA
Damien Jordan,676,676,40,.20,7.94,-2.61,,AUS
Pontus Widegren,677,677,51,.20,10.10,-2.72,,SWE
Brett Drewitt,678,678,52,.20,10.28,-2.58,5.61,AUS
Michael Hoey,679,679,47,.20,9.29,-3.02,,NIR
Jun-sub Park,680,680,40,.20,7.85,-2.98,,KOR
Mathieu Fenasse,681,681,41,.19,7.99,-3.14,,FRA
Stuart Manley,681,681,40,.19,7.79,-2.90,,WAL
Lyle Rowe,683,683,48,.19,9.31,-4.20,2.38,RSA
Kurt Barnes,684,684,42,.19,8.14,-2.98,,AUS
Willy Wilcox,684,684,40,.19,7.75,-3.23,4.16,USA
Chiragh Kumar,686,686,41,.19,7.94,-2.37,,IND
Vaughn Groenewald,687,687,49,.19,9.48,-2.52,3.18,RSA
Shohei Hasegawa,688,688,40,.19,7.73,,7.73,JPN
Luke Guthrie,689,689,46,.19,8.87,-2.56,2.56,USA
Kazuhiro Yamashita,690,690,47,.19,9.03,-3.43,,JPN
Matt Harmon,691,691,48,.19,9.12,-2.02,1.22,USA
Chris Baker,692,692,50,.19,9.43,-4.43,,USA
Brad Hopfinger,693,693,40,.19,7.54,-1.23,2.87,USA
Rico Hoey,694,694,40,.19,7.53,-1.60,,USA
Craig Lee,694,694,40,.19,7.52,-3.38,,SCO
Daisuke Maruyama,696,696,40,.19,7.52,-2.24,,JPN
Finn Fleer,697,697,40,.19,7.49,-1.63,,GER
Arnond Vongvanij,698,698,40,.19,7.49,-.91,,THA
Scott Gutschewski,699,699,40,.19,7.48,-1.93,,USA
Alessandro Tadini,699,699,46,.19,8.60,-2.94,,ITA
Tee-K Kelly,701,701,40,.19,7.48,-1.57,,USA
Fred Couples,702,702,40,.19,7.47,-1.18,3.45,USA
Christopher Feldborg-Nielsen,702,702,42,.19,7.84,-1.83,1.20,SWE
Benedict Parker,704,704,40,.19,7.45,-2.74,,ENG
Gareth Paddison,705,705,40,.19,7.42,-1.35,2.35,NZL
Kyongjun Moon,706,706,48,.19,8.90,-2.95,,KOR
Lukas Nemecz,706,706,40,.19,7.42,-1.88,,AUT
Masashi Hidaka,708,708,40,.19,7.42,-1.07,1.39,JPN
I J Jang,709,709,50,.19,9.27,-3.03,,KOR
Rak Cho,710,710,40,.18,7.39,-1.68,2.39,KOR
Jack Doherty,711,711,45,.18,8.28,-2.30,,SCO
Antoine Rozner,712,712,40,.18,7.31,-1.59,,FRA
Morten Orum Madsen,713,713,52,.18,9.50,-2.09,,DEN
Tae-woo KIM,714,714,40,.18,7.23,-2.64,,KOR
Anders Albertson,715,715,50,.18,9.01,-3.03,1.20,USA
,715,715,40,.18,7.21,-.03,7.24,RSA
Jeffrey Kang,717,717,40,.18,7.20,,7.20,USA
Francesco Laporta,718,718,50,.18,8.99,-2.42,3.02,ITA
Shun Yat Hak,719,719,40,.18,7.14,-.96,4.34,HKG
Benjamin Rusch,720,720,45,.18,8.03,-.66,5.28,SUI
Brett Stegmaier,721,721,52,.18,9.28,-4.82,1.35,USA
David McKenzie,722,722,40,.18,7.13,-2.24,,AUS
Jacobus Prinsloo,723,723,49,.18,8.73,-2.80,,RSA
Wen-Tang Lin,724,724,40,.18,7.12,-3.67,,TPE
Jeonghyeob Hyun,725,725,40,.18,7.11,-1.82,,KOR
Soomin Lee,725,725,52,.18,9.23,-9.51,2.62,KOR
Nicholas Thompson,727,727,42,.18,7.42,-2.23,,USA
Dodge Kemmer,728,728,40,.18,7.05,-2.27,,USA
José Toledo,729,729,40,.18,7.04,-1.74,,GUA
Stuart Appleby,730,730,50,.18,8.76,-4.72,,AUS
Wallie Coetsee,731,731,46,.17,8.04,-1.47,4.59,RSA
Malcolm Kokocinski,732,732,40,.17,6.99,-1.64,3.60,SWE
Philipp Mejow,732,732,40,.17,6.99,-.86,3.76,GER
Jonathan Caldwell,734,734,40,.17,6.99,-2.31,,NIR
Jon Curran,734,734,43,.17,7.51,-10.87,,USA
Samuel Del Val,736,736,52,.17,9.05,-2.77,3.11,ESP
Kristian Johannessen,737,737,42,.17,7.30,-.98,6.40,NOR
Huilin Zhang,738,738,40,.17,6.91,-2.50,1.23,CHN
Anders Hansen,739,739,40,.17,6.90,-2.55,,DEN
Ludwig Nordeklint,739,739,40,.17,6.90,-1.17,2.40,SWE
Seong-Yong Kim,741,741,40,.17,6.88,-1.87,,KOR
Magnus Carlsson,742,742,46,.17,7.91,-4.70,,SWE
Jamie Elson,742,742,40,.17,6.87,-1.48,,ENG
Tyler McCumber,742,742,40,.17,6.88,-2.37,3.16,USA
Aron Price,742,742,40,.17,6.88,-2.17,2.10,AUS
Tommy Cocha,746,746,40,.17,6.87,-1.05,1.20,ARG
Daniel Jennevret,747,747,40,.17,6.83,-1.50,,SWE
Mark Hubbard,748,748,52,.17,8.84,-3.60,3.78,USA
John Peterson,749,749,40,.17,6.77,-2.06,1.24,USA
Daijiro Izumida,750,750,40,.17,6.74,-1.44,,JPN
Yosuke Tsukada,751,751,52,.17,8.69,-4.82,,JPN
Lee Chang-woo,752,752,41,.17,6.84,-4.44,,KOR
Kristoffer Broberg,753,753,40,.17,6.66,-1.72,2.06,SWE
Ricardo Santos,754,754,44,.17,7.33,-2.30,,POR
Colin Featherstone,755,755,40,.17,6.66,-.82,2.10,USA
Jun-won Park,756,756,52,.17,8.65,-5.70,1.21,KOR
T.J. Vogel,756,756,40,.17,6.65,-1.03,3.45,USA
Nelson Ledesma,758,758,40,.17,6.64,-1.37,1.75,ARG
Wang Wei Lun,758,758,40,.17,6.64,-1.92,,
Thaworn Wiratchant,760,760,40,.17,6.63,-1.66,,THA
Shunsuke Sonoda,761,761,51,.17,8.46,-5.26,,JPN
Davis Love III,762,762,40,.17,6.62,-2.19,,USA
Sebastien Gros,763,763,52,.17,8.60,-1.70,7.07,FRA
Eduardo De La Riva,764,764,44,.17,7.27,-3.92,,ESP
Scott Harrington,765,765,49,.16,8.08,-2.67,,USA
Max Kramer,766,766,40,.16,6.58,-1.72,4.00,GER
Dominic Foos,767,767,40,.16,6.56,-2.58,,GER
Steve Webster,768,768,40,.16,6.54,-2.19,,ENG
Curtis Yonke,769,769,40,.16,6.53,-.98,2.68,USA
Bryce Molder,770,770,40,.16,6.49,-8.49,,USA
Marius Meyer,771,771,44,.16,7.10,-1.37,3.24,RSA
Yosuke Asaji,772,772,40,.16,6.42,-1.43,,JPN
Matthew Baldwin,773,773,52,.16,8.34,-1.22,3.12,ENG
Scott Henry,774,774,52,.16,8.32,-4.10,,SCO
Liam Johnston,774,774,40,.16,6.40,,6.40,SCO
Blake Snyder,776,776,40,.16,6.39,-1.38,,USA
Erik Barnes,777,777,46,.16,7.29,-1.22,5.39,USA
Michael Buttacavoli,778,778,40,.16,6.33,-1.48,,USA
Tyrone Ryan,778,778,40,.16,6.33,-.65,3.11,RSA
Connor Syme,780,780,40,.16,6.32,-.78,2.38,SCO
Julien Foret,781,781,40,.16,6.28,-1.49,1.20,FRA
Matt Ryan,781,781,40,.16,6.28,-.75,1.29,USA
Seth Reeves,783,783,43,.16,6.72,-1.57,1.62,USA
Pedro Figueiredo,784,784,40,.16,6.25,-1.84,,POR
Chapchai Nirat,785,785,52,.16,8.12,-2.72,2.24,THA
John Senden,786,786,40,.16,6.23,-7.43,,AUS
James Adams,787,787,40,.16,6.22,-1.30,,ENG
Jae-Min Hwang,788,788,40,.16,6.21,-1.82,,KOR
Jack Senior,789,789,46,.15,7.12,-2.73,,ENG
Jakraphan Premsirigorn,790,790,40,.15,6.19,-2.04,,THA
Danny Masrin,791,791,40,.15,6.14,-.36,5.68,USA
Michael Davan,792,792,40,.15,6.12,-.86,1.48,USA
Will MacKenzie,793,793,40,.15,6.12,-4.21,,USA
Jonas Kolbing,794,794,43,.15,6.57,-1.01,3.33,
Ugo Coussaud,795,795,40,.15,6.11,-1.52,,
Richard Green,796,796,42,.15,6.40,-3.10,,AUS
Lars Van Meijel,797,797,40,.15,6.09,-1.37,1.28,
Antonio Lascuna,798,798,40,.15,6.05,-2.35,,PHI
William Kropp,799,799,40,.15,6.03,-1.54,,USA
Cristobal Del Solar,800,800,40,.15,6.00,,6.00,CHI
Ben Polland,800,800,40,.15,6.00,,6.00,USA
Gerardo Ruiz,802,802,40,.15,5.98,-.76,2.16,MEX
Bill Lunde,803,803,40,.15,5.97,-2.30,,USA
Ruan de Smidt,804,804,49,.15,7.29,-3.80,,RSA
David Howell,805,805,42,.15,6.23,-3.46,1.21,ENG
Stanislav Matus,806,806,40,.15,5.93,-2.37,,CZE
Nick Marsh,807,807,40,.15,5.92,-1.67,,ENG
Anton Karlsson,808,808,40,.15,5.90,-2.49,1.62,SWE
Steve Lewton,809,809,43,.15,6.32,-1.19,,ENG
Ake Nilsson,810,810,46,.15,6.75,-1.91,,SWE
Casey O'Toole,811,811,40,.15,5.80,-2.06,1.32,USA
David Skinns,812,812,42,.14,6.07,-1.49,,ENG
Daniel Greene,813,813,40,.14,5.77,-1.46,2.52,RSA
Niklas Norgaard Moller,814,814,47,.14,6.77,-1.49,,DEN
Jake Roos,815,815,41,.14,5.90,-1.59,,RSA
,816,816,40,.14,5.75,-.26,2.56,AUS
S. Chikkarangappa,817,817,40,.14,5.75,-3.22,,IND
Brian Campbell,818,818,44,.14,6.31,-4.67,,USA
David Smail,819,819,40,.14,5.72,-.49,5.42,NZL
Victor Osterby,820,820,40,.14,5.71,-1.67,,DEN
Koichi Kitamura,821,821,40,.14,5.69,-1.21,,JPN
Doyeob Mun,822,822,40,.14,5.67,-2.21,,KOR
Woo-Hyun Kim,822,822,40,.14,5.67,-1.47,,
Reinier Saxton,824,824,45,.14,6.36,-1.68,2.70,NED
Brett Rankin,825,825,40,.14,5.64,-1.31,1.35,AUS
Matthew Cort,826,826,40,.14,5.64,-2.71,,ENG
Yoon Jung-ho,827,827,40,.14,5.62,-2.57,,KOR
Justin Lower,828,828,40,.14,5.60,,5.60,USA
Neil O'Briain,828,828,40,.14,5.60,,5.60,IRL
Max McCardle,830,830,40,.14,5.60,-2.55,2.10,AUS
Netipong Sritonginn,831,831,43,.14,5.98,-2.01,,THA
Niclas Fasth,832,832,42,.14,5.79,-2.08,,SWE
Martin Ovesen,833,833,49,.14,6.73,-2.57,,DEN
Jack Maguire,834,834,41,.14,5.62,-2.98,,USA
Ryan Yip,834,834,45,.14,6.17,-.81,4.70,CAN
Jimmy Gunn,836,836,52,.14,7.08,-3.34,,SCO
Wes Roach,837,837,48,.14,6.52,-2.69,1.39,USA
Jack Wilson,838,838,40,.13,5.38,-1.30,,AUS
Hinrich Arkenau,839,839,40,.13,5.38,-1.96,1.33,GER
Joey Garber,840,840,40,.13,5.37,-.39,5.06,USA
Braden Thornberry,841,841,40,.13,5.35,-1.34,,USA
Borja Virto Astudillo,842,842,47,.13,6.28,-2.58,,ESP
Moritz Lampert,843,843,51,.13,6.76,-2.16,3.60,GER
Poosit Supupramai,844,844,40,.13,5.28,-.72,,THA
Anton Wejshag,845,845,40,.13,5.28,-1.20,,SWE
Kodai Ichihara,846,846,50,.13,6.59,-3.59,1.22,JPN
Sejun Yoon,847,847,40,.13,5.26,-.78,3.92,USA
Chris Robb,848,848,40,.13,5.24,-.98,2.40,
Andrew Loupe,849,849,44,.13,5.74,-5.28,,USA
Alexandre Daydou,850,850,40,.13,5.21,-1.57,,FRA
,851,851,40,.13,5.20,-.18,3.00,CAN
Mukesh Kumar,852,852,40,.13,5.17,-2.28,,IND
Merrick Bremner,853,853,45,.13,5.81,-2.02,3.78,RSA
,854,854,40,.13,5.16,,5.16,NZL
Scott Strohmeyer,855,855,40,.13,5.15,-.77,,USA
Rory Hie,856,856,42,.13,5.39,-1.16,,INA
IlHwan Park,857,857,40,.13,5.13,-1.78,,KOR
Tjaart van der Walt,858,858,40,.13,5.13,-1.74,3.02,RSA
John O'Toole,859,859,46,.13,5.89,-2.76,,USA
Jin Park,859,859,50,.13,6.40,-2.16,1.20,KOR
Chinnarat Phadungsil,861,861,41,.13,5.23,-1.20,,THA
Kent Bulle,862,862,43,.13,5.48,-2.06,,USA
Zack Byrd,863,863,40,.13,5.08,-1.34,,USA
Ippei Koike,863,863,49,.13,6.22,-3.57,,JPN
Titch Moore,865,865,48,.13,6.09,-2.84,3.08,RSA
Sutijet Kooratanapis,866,866,42,.13,5.31,-3.30,,THA
,867,867,40,.13,5.05,-.62,1.47,SCO
Sebastian Cappelen,868,868,44,.13,5.54,-2.69,1.76,DEN
Daniel Chopra,869,869,41,.13,5.15,-1.12,,SWE
Mardan Mamat,869,869,41,.13,5.15,-1.39,1.41,SIN
Jimmy Beck,871,871,40,.13,5.00,-1.31,,USA
Bio Kim,871,871,40,.13,5.00,-1.53,,KOR
Colin Nel,873,873,48,.13,6.00,-.66,3.76,RSA
Christiaan Basson,874,874,49,.12,6.10,-1.96,1.96,RSA
Sepp Straka,875,875,41,.12,5.10,-1.31,,AUT
Javier Colomo,876,876,40,.12,4.97,-1.68,1.48,ESP
Harry Bateman,877,877,40,.12,4.96,-.67,1.89,NZL
Victor Riu,878,878,44,.12,5.45,-1.55,1.62,FRA
Marcus Both,879,879,40,.12,4.94,-.69,,AUS
Carlos Sainz Jr,880,880,40,.12,4.94,-.88,1.76,USA
Nitithorn Thippong,880,880,40,.12,4.94,,4.94,THA
Michele Cea,882,882,40,.12,4.89,-.21,4.00,
Guido Migliozzi,882,882,40,.12,4.89,-.98,,ITA
Matthew Guyatt,884,884,40,.12,4.87,-.79,,AUS
Ricardo Gonzalez,885,885,40,.12,4.87,-1.12,,ARG
Max Homa,886,886,44,.12,5.35,-2.87,3.58,USA
Brett Munson,887,887,47,.12,5.70,-2.31,,USA
A.J. McInerney,888,888,40,.12,4.83,-.89,,USA
Dicky Pride,889,889,40,.12,4.80,-1.00,1.22,USA
Julien Brun,890,890,40,.12,4.80,-1.07,1.28,FRA
Jonathan Agren,891,891,40,.12,4.78,-2.22,,SWE
Han Lee,892,892,44,.12,5.25,-1.72,,USA
Edgar Catherine,893,893,40,.12,4.76,-.98,,FRA
Taewoo Kim,893,893,40,.12,4.76,-2.12,1.62,KOR
Y.E. Yang,895,895,40,.12,4.74,-2.83,,KOR
James Sharp,896,896,40,.12,4.72,-1.17,,ENG
SorachutHansap Hansapiban,897,897,40,.12,4.71,-1.55,,THA
James Maw,897,897,40,.12,4.71,-1.85,,ENG
Miguel Angel Carballo,899,899,49,.12,5.76,-3.17,1.73,ARG
,900,900,40,.12,4.69,-1.24,,ISL
Dermot McElroy,901,901,40,.12,4.67,-1.14,,NIR
,902,902,40,.12,4.66,-1.00,,GER
Ross Kellett,902,902,47,.12,5.47,-2.10,,SCO
Marcel Schneider,902,902,49,.12,5.71,-1.63,,GER
Darren Beck,905,905,40,.12,4.66,-1.05,1.35,AUS
Andrew Marshall,905,905,40,.12,4.65,-1.71,,ENG
Jurrian Van der Vaart,905,905,43,.12,5.00,-2.47,1.20,NED
Wyndham Clark,908,908,40,.12,4.64,-.27,2.87,USA
Settee Prakongvech,909,909,40,.12,4.64,-.85,,THA
Honney Baisoya,910,910,40,.12,4.63,-1.14,,IND
Daniel Lokke,910,910,45,.12,5.21,-2.04,,DEN
Brandon Matthews,910,910,40,.12,4.63,-1.37,,USA
Shintaro Kobayashi,913,913,47,.12,5.41,-3.08,,JPN
David Dixon,914,914,40,.12,4.60,-1.72,,ENG
Sangmoon Bae,915,915,40,.11,4.60,,4.60,KOR
Todd Baek,915,915,40,.11,4.60,-1.40,,KOR
Junsung Kim,917,917,40,.11,4.59,-1.87,,KOR
Chieh-Po Lee,918,918,40,.11,4.57,-.77,2.10,TPE
Mark Blakefield,919,919,40,.11,4.57,-.98,,USA
Varut Chomchalam,919,919,40,.11,4.57,-.93,,THA
Dongha Lee,919,919,40,.11,4.57,-1.02,,KOR
John Oda,919,919,40,.11,4.56,-.56,,USA
Tyrone Ferreira,923,923,50,.11,5.65,-1.56,1.82,RSA
Scott Barr,924,924,40,.11,4.52,-1.76,,AUS
Stanislas Gautier,924,924,42,.11,4.75,-1.30,2.40,FRA
Oskar Arvidsson,926,926,40,.11,4.47,-1.81,,SWE
James Byrne,926,926,40,.11,4.47,-1.10,,SCO
Justin Hicks,928,928,40,.11,4.47,-2.63,,USA
Son Joon-eob,929,929,40,.11,4.46,-1.68,,KOR
Alvaro Velasco,930,930,40,.11,4.46,-2.35,,ESP
Christian Brand,931,931,40,.11,4.46,-1.06,,USA
Vince Covello,932,932,40,.11,4.45,-.99,,USA
Brad Gehl,933,933,40,.11,4.43,-.63,,USA
Sebi Garcia,934,934,40,.11,4.43,-1.02,,ESP
Tom Whitney,935,935,40,.11,4.42,-1.75,,USA
Mark Williams,936,936,47,.11,5.17,-2.20,1.76,ZIM
Cameron Champ,937,937,40,.11,4.39,-.69,1.61,USA
Tyson Alexander,938,938,40,.11,4.38,-.53,1.20,USA
Takashi Iwamoto,938,938,43,.11,4.71,-2.85,,JPN
Martin Dive,940,940,40,.11,4.34,-1.45,,
Christopher Korbler,941,941,40,.11,4.34,-.84,,AUT
Michael Wright,941,941,40,.11,4.34,-1.39,1.20,AUS
,943,943,40,.11,4.31,-.65,2.40,GER
Marcelo Rozo,944,944,40,.11,4.30,-.11,3.00,COL
Oscar Zetterwall,945,945,42,.11,4.50,-3.02,1.20,SWE
Paul Barjon,946,946,40,.11,4.28,-1.99,,FRA
R Nachimuthu,947,947,40,.11,4.27,-1.09,,MAS
Dylan Boshart,948,948,41,.11,4.36,-1.26,,
Ross McGowan,948,948,40,.11,4.26,-1.73,1.20,ENG
Michael Putnam,950,950,40,.11,4.24,-1.06,,USA
Maxime Radureau,951,951,40,.11,4.24,-1.17,,FRA
Mathinus Viljoen,952,952,43,.11,4.53,-1.12,,RSA
,953,953,40,.10,4.17,-.98,,FRA
Quincy Quek,954,954,40,.10,4.17,-1.02,2.70,SIN
Thomas Elissalde,955,955,40,.10,4.16,-1.74,,
Josh Younger,956,956,40,.10,4.10,-.57,2.35,AUS
Darius Van Driel,957,957,47,.10,4.80,-3.10,,NED
Chris Swanepoel,958,958,49,.10,5.00,-2.41,,RSA
Andreas Halvorsen,959,959,40,.10,4.08,-.64,,NOR
Jack Munro,959,959,40,.10,4.08,-.51,1.49,AUS
Sean Einhaus,961,961,40,.10,4.05,-.61,1.28,GER
Robin Roussel,961,961,40,.10,4.05,-1.00,,FRA
