name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Filip Horanský,341,300,25.2,SVK6,136,4,1,Santa Margherita 8 R32,Lost in Santa Margherita 6 QFLost in Santa Margherita 7 SF,-,-
Juan Pablo Ficovich,342,341,21.2,ARG18,136,-1,-1,Santa Margherita 8 R32,Lost in Santa Margherita 6 R16Lost in Santa Margherita 7 R32,-,-
Juan Ignacio Galarza,343,334,24,ARG19,135,1,-,Santa Margherita 8 R32,Lost in Santa Margherita 6 R32Lost in Santa Margherita 7 R32,-,-
Patricio Heras,344,269,29.2,ARG20,134,3,-,Majadahonda R32,Lost in Madrid QF,-,-
Elliot Benchetrit,345,342,19.5,FRA29,134,3,-,Qual. Francavilla R3,-,-,-
Zhizhen Zhang,346,335,21.5,CHN5,133,-4,-3,Qual. Francavilla R3,Lost in Qual. Tunis R2,-,-
Gianluigi Quinzi,347,226,22.2,ITA21,132,-12,-8,-,-,-,-
Dzmitry Zhyrmont,348,201,29.1,BLR4,131,12,6,-,Lost in Shymkent 2 SFLost in Bukhara QF,-,-
Maximilian Neuchrist,349,310,26.7,AUT6,131,2,-,Abuja 2 R32,Lost in Abuja QF,-,-
Alessandro Bega,350,259,27.2,ITA22,130,2,-,-,Lost in Sharm El Sheikh 13 R16Sharm El Sheikh 14 W,-,-
Federico Coria,351,223,26.1,ARG21,130,10,5,Tallahassee R32,Qual. Sarasota WLost in Sarasota R32Qual. Tallahassee W,-,-
Albano Olivetti,352,161,26.4,FRA30,129,-3,-5,-,-,-,-
Renta Tokuda,353,NCH   (385),20,JPN11,128,43,27,-,Matsuyama W,-,-
Mario Vilella Martínez,354,325,22.8,ESP30,128,-27,-17,Majadahonda R32,Madrid W,-,-
Konstantin Kravchuk,355,78,33.1,RUS12,127,-32,-20,-,Lost in Bukhara SF,-,-
Gian Marco Moroni,356,353,20.1,ITA23,127,-3,-,Francavilla R32,-,-,-
Rubin Statham,357,279,30.9,NZL1,127,-3,-,Qual. Leon R3,Lost in Qual. Guadalajara R1,-,-
Gonzalo Escobar,358,281,29.2,ECU2,126,13,7,Qual. Leon R3,Qual. Guadalajara WLost in Guadalajara R16,-,-
Christian Lindell,359,177,26.4,SWE3,126,-2,-,Sao Jose do Rio Preto R32,Lost in Porto R32,-,-
Mikael Ymer,360,310,19.6,SWE4,125,-2,-,-,-,-,-
Yosuke Watanuki,361,343,20,JPN12,125,-2,-,-,-,-,-
Cristian Rodríguez,362,CH,27.8,COL4,123,1,-,-,Lost in Qual. Guadalajara R1,-,-
Alexandre Muller,363,302,21.2,FRA31,123,1,-,-,Lost in Qual. Tunis R3Lost in Qual. Francavilla R2,-,-
Lucas Catarina,364,352,21.6,MON1,122,1,-,Angers R32,Lost in Monte Carlo R64,-,-
Yoshihito Nishioka,365,58,22.5,JPN13,121,1,-,Tallahassee R32,Lost in Qual. Sarasota R2Qual. Tallahassee W,-,-
Evgeny Tyurnev,366,363,21,RUS13,121,4,2,-,Lost in Shymkent 2 QFLost in Bukhara F,-,-
Jan Šátral,367,136,27.7,CZE8,121,-,-,-,-,-,-
Tommy Haas,368,2,40,GER20,120,-70,-45,-,-,-,-
Andrew Harris,369,367,24.1,AUS20,120,-1,-,-,Lost in Qual. Guadalajara R1,-,-
Daniel Dutra da Silva,370,231,29.7,BRA6,119,-30,-18,Sao Jose do Rio Preto R32,-,-,-
João Pedro Sorgi,371,251,24.5,BRA7,119,-9,-5,Tallahassee R32,Lost in Qual. Sarasota R2Lost in Qual. Tallahassee R3,-,-
Paul-Henri Mathieu,372,12,36.2,FRA32,115,-,-,-,-,-,-
Jeremy Jahn,373,197,28,GER21,115,-,-,-,Lost in Qual. Francavilla R2,-,-
Hugo Grenier,374,363,22,FRA33,115,12,9,Anning R32,Qual. Nanchang WLost in Nanchang R16Lost in Qual. Anning R1,-,-
Facundo Mena,375,313,25.5,ARG22,113,-1,-,-,-,-,-
Cheong Eui Kim,376,296,28,KOR4,113,-1,-,-,-,-,-
Axel Michon,377,177,27.3,FRA34,111,-1,-,-,-,-,-
Gianluca Mager,378,290,23.3,ITA24,111,32,15,-,Lost in Santa Margherita 6 FLost in Qual. Francavilla R2,-,-
Antoine Escoffier,379,346,26.1,FRA35,111,-10,-9,-,Qual. Nanchang WLost in Nanchang R16Lost in Qual. Anning R1,-,-
Raymond Sarmiento,380,287,25.7,USA33,110,-2,-,-,-,-,-
Johan Tatlot,381,315,22,FRA36,109,-2,-,Angers R32,-,-,-
Roman Safiullin,382,314,20.7,RUS14,109,-1,-,-,Lost in Bukhara QF,-,-
Guillermo Olaso,383,167,30,ESP31,108,-,-,Majadahonda R32,Lost in Madrid R16,-,-
Filippo Baldi,384,369,22.2,ITA25,108,-2,-1,Francavilla R32,Lost in Qual. Tunis R2,-,-
Boy Westerhof,385,201,32.4,NED5,107,-,1,Angers R32,Lost in Porto R16Lost in Cascais R32,-,-
Daniel Brands,386,51,30.7,GER22,106,42,18,-,Djerba 8 WDjerba 9 W,-,-
Eduard Esteve Lobato,387,CH,23.5,ESP32,106,-,-,Majadahonda R32,Lost in Porto R16Lost in Cascais SF,-,-
Michael Linzer,388,236,28.4,AUT7,105,-11,-6,-,-,-,-
Daniel Masur,389,203,23.4,GER23,105,15,7,-,Lost in Qual. Tunis R3Lost in Tunis R16,-,-
Sanjar Fayziev,390,253,23.7,UZB2,104,-10,-5,-,Lost in Shymkent 2 R16Lost in Bukhara QF,-,-
Yannick Vandenbulcke,391,377,27.7,BEL10,104,6,3,-,Lost in Porto QFLost in Madrid R16,-,-
Pedro Sakamoto,392,389,24.8,BRA8,104,-3,-,-,-,-,-
Igor Sijsling,393,52,30.6,NED6,104,-2,1,-,Lost in Porto R16Lost in Cascais R32,-,-
Mariano Kestelboim,394,387,22.2,ARG23,103,-2,-,-,-,-,-
Alejandro Davidovich Fokina,395,393,18.8,ESP33,102,-2,-,-,Lost in Qual. Barcelona R1,-,-
Gerard Granollers,396,217,29.2,ESP34,102,-8,-2,-,Lost in Qual. Tunis R2Lost in Qual. Barcelona R1,-,-
Fabien Reboul,397,377,22.6,FRA37,102,6,3,Majadahonda R32,Lost in Porto QFLost in Cascais R32,-,-
Arjun Kadhe,398,394,24.2,IND5,102,-4,-,Abuja 2 R32,-,-,-
Tristan Lamasine,399,181,25.1,FRA38,102,-1,1,Angers R32,Lost in Porto R16Lost in Cascais R32,-,-
Shintaro Imai,400,361,24.6,JPN14,102,-5,-,-,Lost in Matsuyama R32,-,-
Jordi Samper-Montaña,401,179,28,ESP35,101,-1,-,-,Lost in Porto R32Lost in Cascais R16,-,-
Marcelo Tomás Barrios Vera,402,387,20.3,CHI3,100,-1,-,-,Orange Park W,-,-
Oriol Roca Batalla,403,193,24.9,ESP36,100,-1,-,-,-,-,-
Sadio Doumbia,404,250,27.6,FRA39,99,-20,-8,Majadahonda R32,Lost in Cascais R16,-,-
Alexei Popyrin,405,NCH   (423),18.7,AUS21,98,18,8,-,Lost in Tunis R16,-,-
Liam Caruana,406,375,20.2,ITA26,97,-,-,-,Lost in Little Rock R32,-,-
Lenny Hampel,407,359,21.3,AUT8,97,-2,-1,Santa Margherita 8 R32,Lost in Santa Margherita 6 R16Lost in Santa Margherita 7 QF,-,-
Ivan Dodig,408,29,33.3,CRO8,96,-1,-,-,-,-,-
Kevin Krawietz,409,270,26.2,GER24,96,-1,-,-,Lost in Qual. Francavilla R2,-,-
Gonzalo Lama,410,160,24.9,CHI4,96,-1,-,-,-,-,-
Jared Hiltzik,411,339,23.7,USA34,96,-21,-8,Tallahassee R32,Lost in Little Rock R32Lost in Qual. Sarasota R2,-,-
Pavel Kotov,412,NCH   (424),19.4,RUS15,95,12,5,-,Lost in Shymkent 2 SFLost in Shymkent 3 F,-,-
Brydan Klein,413,169,28.3,GBR7,95,-14,-6,-,Lost in Qual. Guadalajara R2,-,-
Sora Fukuda,414,378,20.5,JPN15,95,1,3,-,Lost in Matsuyama QF,-,-
Marc Sieber,415,236,30.1,GER25,94,-1,2,-,Lost in Antalya 14 QFLost in Antalya 15 R32,-,-
Marko Tepavac,416,174,24,SRB12,93,-3,-,-,-,-,-
Karue Sell,417,NCH   (508),24.4,BRA9,92,91,27,-,Little Rock W,-,-
Marc Giner,418,245,26.8,ESP37,92,-2,-,Majadahonda R32,Lost in Porto R32Lost in Madrid R32,-,-
Samuel Bensoussan,419,411,26.4,FRA40,92,-2,-,-,Lost in Orange Park SF,-,-
Andreas Haider Maurer,420,47,31,AUT9,91,-2,-,Barcelona R64,-,-,-
Dragoș Dima,421,286,25.8,ROU2,91,-2,-,Santa Margherita 8 R32,-,-,-
Robin Kern,422,350,24.5,GER26,91,-2,-,Angers R32,-,-,-
Riccardo Bonadio,423,402,24.7,ITA27,91,-2,-,-,Lost in Antalya 15 QF,-,-
Evan Song,424,422,25.8,USA35,91,-2,-,-,-,-,-
Juan Pablo Paz,425,284,23.2,ARG24,90,2,1,Santa Margherita 8 R32,Lost in Antalya 14 R16Lost in Santa Margherita 7 R32,-,-
Tobias Simon,426,415,26.9,GER27,90,-1,-,Qual. Leon R3,Lost in Qual. Guadalajara R1,-,-
Edward Corrie,427,215,30.1,GBR8,89,-1,-,-,-,-,-
Baptiste Crepatte,428,421,23.5,FRA41,89,14,5,-,Lost in Djerba 8 SFLost in Djerba 9 F,-,-
Adelchi Virgili,429,394,28.1,ITA28,88,-,-,-,Lost in Cascais R16,-,-
Fabrizio Ornago,430,423,25.9,ITA29,88,-,-,-,Lost in Santa Margherita 6 R32,-,-
Riccardo Bellotti,431,199,26.7,ITA30,87,1,-,-,Lost in Antalya 15 R32,-,-
Wishaya Trongcharoenchaikul,432,427,23,THA1,87,1,-,-,-,-,-
Andres Artunedo Martinavarro,433,293,24.6,ESP38,87,62,18,-,Sharm El Sheikh 13 WLost in Sharm El Sheikh 14 R16,-,-
David Pérez Sanz,434,216,23.9,ESP39,87,1,-,-,Lost in Djerba 8 R16,-,-
Juan Pablo Varillas,435,411,22.5,PER1,87,1,-,-,-,-,-
Maxime Hamou,436,211,22.8,FRA42,86,-5,-1,Majadahonda R32,-,-,-
Paweł Ciaś,437,429,24.1,POL4,86,-,-,-,Lost in Sharm El Sheikh 13 R32,-,-
Benjamin Hassan,438,436,23.2,GER28,86,-,-,Majadahonda R32,Lost in Madrid R32,-,-
Mate Delić,439,150,24.9,CRO9,86,-28,-9,-,Lost in Santa Margherita 6 R32Lost in Santa Margherita 7 QF,-,-
Thomas Statzberger,440,439,25.5,AUT10,86,-1,-,-,Lost in Antalya 14 QF,-,-
Aleksandar Vukic,441,435,22,AUS22,85,-,-,-,-,-,-
Fred Gil,442,62,33,POR8,85,-2,-1,-,Lost in Porto R32Lost in Cascais R16,-,-
Samuel Monette,443,CH,24.2,CAN10,84,-,1,-,Lost in Little Rock R16,-,-
Yaraslav Shyla,444,306,25.1,BLR5,83,-,-,-,Lost in Bukhara SF,-,-
Pol Toledo Bague,445,392,23.3,ESP40,83,-,-,-,Lost in Qual. Tunis R3,-,-
Corentin Denolly,446,389,20.8,FRA43,83,-,-,-,-,-,-
Lukas Klein,447,443,20,SVK7,83,-,-,Santa Margherita 8 R32,Lost in Santa Margherita 7 R32,-,-
Bruno Sant’Anna,448,337,24.7,BRA10,83,5,2,-,Lost in Santa Margherita 6 QFLost in Santa Margherita 7 QF,-,-
Maxime Authom,449,143,31,BEL11,82,-1,-,Majadahonda R32,Lost in La Grande Motte SF,-,-
Niels Desein,450,154,30.8,BEL12,82,1,1,Angers R32,Lost in Santa Margherita 6 R16Lost in Cascais R16,-,-
Alessandro Petrone,451,439,27.3,ITA31,82,-2,-,Santa Margherita 8 R32,Lost in Santa Margherita 7 R32,-,-
Viktor Durasovic,452,396,21,NOR2,82,-2,-,Qual. Leon R3,Lost in Qual. Guadalajara R2,-,-
Zsombor Piros,453,NCH   (471),18.5,HUN3,81,18,5,Budapest R32,Qual. Tunis WLost in Tunis R32,-,-
Luke Saville,454,152,24.3,AUS23,81,-2,-,-,Lost in Qual. Anning R2,-,-
Harri Heliövaara,455,194,28.8,FIN1,80,-1,-,-,-,-,-
Maxime Chazal,456,234,24.9,FRA44,80,-,-,Angers R32,Lost in Qual. Tunis R1,-,-
Harry Bourchier,457,429,22.2,AUS24,80,-23,-7,-,Lost in Little Rock R16,-,-
Dennis Nevolo,458,345,28.3,USA36,79,-3,-1,-,-,-,-
Nam Hoang Ly,459,457,21.1,VIE1,79,-1,-,-,-,-,-
Roberto Marcora,460,178,28.6,ITA32,79,-1,-,-,Lost in Antalya 14 R16Lost in Qual. Francavilla R1,-,-
Pablo Vivero Gonzalez,461,283,22.9,ESP41,79,-,1,Majadahonda R32,Lost in Sharm El Sheikh 13 QFLost in Sharm El Sheikh 14 QF,-,-
Moez Echargui,462,456,25.2,TUN2,79,-2,-,Abuja 2 R32,Lost in Porto R32Lost in Tunis R32,-,-
Sebastian Fanselow,463,323,26.3,GER29,78,-6,-1,-,Lost in Little Rock R32,-,-
Leny Mitjana,464,458,23.7,FRA45,78,-2,-,-,-,-,-
Vladyslav Manafov,465,327,25,UKR4,78,-2,-,-,Lost in Bukhara R16,-,-
Vijay Sundar Prashanth,466,335,31.4,IND6,77,-1,-,-,-,-,-
Nikola Čačić,467,281,27.3,SRB13,77,-1,-,-,Lost in Bukhara R32,-,-
Alexandar Lazov,468,324,27.7,BUL3,77,-1,-,-,Lost in Santa Margherita 7 R16,-,-
Thomas Bréchemier,469,399,21.8,FRA46,77,-1,-,-,Lost in Qual. Tunis R1,-,-
Tung Lin Wu,470,469,19.9,TPE4,77,-1,-,-,-,-,-
Ti Chen,471,184,34.5,TPE5,76,-59,-18,-,Lost in Qual. Anning R1,-,-
Pietro Rondoni,472,471,24.4,ITA33,76,1,-,-,Lost in Antalya 14 R32,-,-
Tom Farquharson,473,429,26.1,GBR9,75,2,-,-,-,-,-
Laurent Lokoli,474,207,23.5,FRA47,75,2,-,Santa Margherita 8 R32,Lost in Qual. Tunis R1,-,-
Evan Furness,475,NCH   (503),19.6,FRA48,75,28,7,-,Lost in Porto SF,-,-
Lloyd Glasspool,476,282,24.4,GBR10,74,2,-,-,Lost in Qual. Guadalajara R2Lost in Qual. Leon R1,-,-
Denis Yevseyev,477,NCH   (523),24.9,KAZ5,74,73,18,Shymkent 4 R32,Shymkent 2 WShymkent 3 W,-,-
Igor Smilansky,478,451,23,ISR3,74,1,-,-,-,-,-
Benjamin Lock,479,401,25.1,ZIM1,74,1,-,-,Lost in Qual. Guadalajara R1Lost in Qual. Leon R1,-,-
Ryan Shane,480,424,24,USA37,73,-3,-1,-,-,-,-
Gianni Mina,481,219,26.1,FRA49,73,-,-,-,-,-,-
Pascal Brunner,482,362,28.8,AUT11,73,1,1,-,Lost in Antalya 14 R16Lost in Antalya 15 QF,-,-
Clément Geens,483,245,22.1,BEL13,72,-1,-1,-,Lost in Antalya 14 R32,-,-
Julian Lenz,484,473,25.1,GER30,71,-,-,-,Lost in Qual. Tunis R1,-,-
Botic Van de Zandschulp,485,308,22.5,NED7,71,-,-,-,-,-,-
Yun-seong Chung,486,NCH   (520),20,KOR5,71,34,9,Anning R32,Qual. Nanchang WLost in Nanchang R16Qual. Anning W,-,-
Altuğ Çelikbilek,487,407,21.6,TUR3,71,-17,-6,-,Lost in Djerba 9 R32,-,-
Sam Barry,488,255,26.2,IRL1,70,-1,-,-,Lost in Cascais QF,-,-
Kento Takeuchi,489,378,30.3,JPN16,70,-,-,Abuja 2 R32,Lost in Matsuyama R32Lost in Abuja R32,-,-
David Pichler,490,390,22.1,AUT12,70,-18,-6,Santa Margherita 8 R32,Lost in Qual. Tunis R2,-,-
Ronnie Schneider,491,489,23.5,USA38,70,-1,-,Abuja 2 R32,Lost in Abuja R16,-,-
Edoardo Eremin,492,292,24.5,ITA34,69,-,-,-,Lost in Santa Margherita 7 R16,-,-
Blake Ellis,493,488,19.2,AUS25,69,-,-,-,-,-,-
Jelle Sels,494,478,22.6,NED8,69,2,-,Abuja 2 R32,Lost in Abuja QF,-,-
Sekou Bangoura,495,213,26.4,USA39,69,2,-,-,Lost in Little Rock R32,-,-
Elmar Ejupovic,496,NCH   (498),25.2,GER31,69,2,-,Santa Margherita 8 R32,Lost in Santa Margherita 6 R32Lost in Santa Margherita 7 R16Qual. Santa Margherita 8 W,-,-
Jonathan Kanar,497,491,23.5,FRA50,69,-6,-1,Angers R32,Lost in Djerba 8 R16Lost in Qual. Tunis R2,-,-
Tom Jomby,498,337,27.1,FRA51,68,21,6,Abuja 2 R32,Lost in Sharm El Sheikh 13 SFLost in Abuja R32,-,-
João Menezes,499,495,21.3,BRA11,68,1,-,Abuja 2 R32,Abuja W,-,-
Gijs Brouwer,500,493,22.1,NED9,68,-1,-,-,Lost in La Grande Motte SF,-,-
Chuhan Wang,501,365,26.1,CHN6,68,-,-,-,Lost in Matsuyama R16,-,-
Grégoire Jacq,502,346,25.4,FRA52,68,-,-,Angers R32,Lost in Qual. Tunis R2,-,-
Adrian Bodmer,503,467,23.1,SUI4,68,1,-,Santa Margherita 8 R32,Lost in Santa Margherita 6 R32,-,-
James McGee,504,146,30.8,IRL2,67,-30,-8,-,-,-,-
Ulises Blanch,505,488,20,USA40,67,-17,-3,-,-,-,-
Jan Mertl,506,163,36.3,CZE9,66,-1,-,-,Lost in Djerba 8 R16Lost in Djerba 9 R32,-,-
Sidharth Rawat,507,496,25,IND7,66,-1,-,-,Lost in Bukhara R32,-,-
Christopher O'Connell,508,219,23.8,AUS26,65,1,-,-,-,-,-
Yannik Reuter,509,195,27.1,BEL14,65,1,-,-,-,-,-
Peter Torebko,510,182,30.1,GER32,65,-24,-5,-,Lost in Qual. Sarasota R3Lost in Qual. Tallahassee R3,-,-
Tomás Lipovsek Puches,511,250,25,ARG25,65,-,-,-,Lost in Antalya 14 R32Lost in Antalya 15 R16,-,-
Javier Barranco Cosano,512,NCH   (522),19.4,ESP42,65,10,3,Majadahonda R32,Qual. Porto WLost in Porto QFLost in Madrid SF,-,-
Shuichi Sekiguchi,513,259,26.7,JPN17,64,-19,-5,-,Qual. Nanchang W,-,-
Rafael Matos,514,512,22.2,BRA12,64,-2,-,Sao Jose do Rio Preto R32,-,-,-
Makoto Ochi,515,370,21.9,JPN18,64,27,7,-,Lost in Matsuyama SF,-,-
Sasi Kumar Mukund,516,396,21.2,IND8,64,-2,1,Anning R32,Lost in Qual. Nanchang R2Lost in Nanchang R16Qual. Anning W,-,-
Cristian Carli,517,481,22,ITA35,63,-2,-,-,-,-,-
Dmitry Tursunov,518,20,35.3,RUS16,62,-2,-,-,-,-,-
Emilio Gómez,519,215,26.3,ECU3,62,-1,-,-,Lost in Qual. Guadalajara R3Lost in Qual. Leon R1,-,-
Oscar Jose Gutierrez,520,NCH   (521),24.9,BRA13,62,1,-,Sao Jose do Rio Preto R32,-,-,-
Jurabek Karimov,521,NCH   (523),19.8,UZB3,61,2,-,-,Lost in Bukhara R32,-,-
Gianluca Di Nicola,522,NCH   (523),22.3,ITA36,61,2,-,-,Lost in Qual. Francavilla R1,-,-
Péter Nagy,523,409,26.1,HUN4,61,2,-,-,Lost in Qual. Budapest R1,-,-
Kuan Yi Lee,524,447,21.6,TPE6,60,-11,-3,-,-,-,-
Rudolf Molleker,525,NCH   (540),17.4,GER33,60,15,2,-,Lost in Antalya 14 QFLost in Antalya 15 F,-,-
Tomislav Jotovski,526,510,27.4,MKD1,60,2,-,-,Lost in Antalya 15 QF,-,-
Jurij Rodionov,527,493,18.9,AUT13,59,2,-,-,-,-,-
Saketh Myneni,528,137,30.5,IND9,59,2,-,-,-,-,-
Omar Jasika,529,239,20.9,AUS27,59,2,-,-,-,-,-
Aleksandr Vasilenko,530,441,23.1,RUS17,59,-3,-1,-,-,-,-
Mor Bulis,531,525,22,ISR4,59,2,-,-,-,-,-
Petr Michnev,532,229,28.7,CZE10,59,14,2,-,Lost in Sharm El Sheikh 13 QFLost in Sharm El Sheikh 14 QF,-,-
Nuno Borges,533,NCH   (534),21.1,POR9,58,1,-,-,-,-,-
Jacob Grills,534,529,22.8,AUS28,58,1,-,-,-,-,-
Jonathan Mridha,535,508,23,SWE5,58,1,-,-,-,-,-
Tomas Papik,536,447,24,CZE11,58,1,-,-,-,-,-
Juan Carlos Sáez,537,230,26.7,CHI5,58,2,-,Majadahonda R32,Lost in Djerba 8 R32Lost in Madrid QF,-,-
Genaro Alberto Olivieri,538,494,19.7,ARG26,58,6,1,-,Lost in Antalya 14 R16,-,-
Aslan Karatsev,539,153,24.6,RUS18,57,2,-,-,-,-,-
Marco Chiudinelli,540,52,36.6,SUI5,57,-76,-20,-,-,-,-
Felipe Mantilla,541,503,24.9,COL5,57,4,-,-,Lost in Qual. Guadalajara R2Lost in Qual. Leon R2,-,-
Dante Gennaro,542,NCH   (547),24.9,ITA37,57,5,-,-,Lost in Qual. Francavilla R2,-,-
Adrian Ungur,543,79,33.2,ROU3,56,5,-,-,-,-,-
Lamine Ouahab,544,114,33.3,Mar1,56,-27,-6,-,Lost in Tunis R32,-,-
Frederik Nielsen,545,190,34.6,DEN1,56,4,-,-,-,-,-
Jonas Merckx,546,481,24.5,BEL15,56,-3,-1,Angers R32,-,-,-
Andrea Vavassori,547,542,22.9,ITA38,56,5,-,-,Lost in Qual. Francavilla R1,-,-
Nicholas S. Hu,548,NCH   (553),23.9,USA41,56,5,-,-,Lost in Little Rock R16,-,-
Alexis Musialek,549,255,29.8,FRA53,56,31,5,Angers R32,Lost in Antalya 14 SF,-,-
Denys Molchanov,550,169,30.9,UKR5,55,-24,-5,-,-,-,-
Artem Smirnov,551,226,30.2,UKR6,55,3,-,-,-,-,-
Takanyi Garanganga,552,288,27.6,ZIM2,55,4,-,Abuja 2 R32,Lost in Abuja R16,-,-
Germain Gigounon,553,185,29,BEL16,55,21,3,-,Qual. Porto WLost in Porto QFLost in Cascais R16,-,-
Danylo Kalenichenko,554,488,24.2,UKR7,55,-3,-1,Abuja 2 R32,Lost in Abuja SF,-,-
Romain Barbosa,555,403,24,BEL17,55,2,-,Majadahonda R32,Lost in Madrid R32,-,-
Maciej Rajski,556,532,26.9,POL5,55,3,-,Santa Margherita 8 R32,Lost in Santa Margherita 6 R32Lost in Santa Margherita 7 R16,-,-
Miguel Semmler,557,514,20.9,ESP43,55,3,-,Majadahonda R32,Lost in Madrid R16,-,-
Benjamin Mitchell,558,204,25.3,AUS29,54,3,-,-,-,-,-
Ronald Slobodchikov,559,558,24.3,RUS19,54,3,-,-,-,-,-
Matias Franco Descotte,560,519,23.6,ARG27,54,3,-,-,Lost in Djerba 9 QF,-,-
Pascal Meis,561,511,24.8,GER34,54,3,-,-,-,-,-
Raul Brancaccio,562,546,20.9,ITA39,54,3,-,Majadahonda R32,Lost in Madrid QF,-,-
Collin Altamirano,563,NCH   (582),22.3,USA42,53,19,3,-,Lost in Little Rock QF,-,-
Yishai Oliel,564,NCH   (566),18.2,ISR5,53,2,-,-,Lost in Shymkent 2 R32,-,-
Jaroslav Pospíšil,565,103,37.1,CZE12,53,41,8,-,Lost in Antalya 14 F,-,-
Jeroen Vanneste,566,562,24.2,BEL18,53,1,-,Angers R32,Lost in Antalya 14 R32,-,-
Adrien Bossel,567,262,31.3,SUI6,53,1,-,Qual. Majadahonda R3,Lost in Madrid R32,-,-
Marc-Andrea Hüsler,568,CH,21.8,SUI7,53,1,-,-,Lost in Qual. Leon R2,-,-
David Poljak,569,NCH   (571),21.9,CZE13,53,2,-,-,Lost in Sharm El Sheikh 13 R16Lost in Sharm El Sheikh 14 F,-,-
Marvin Möller,570,566,19.2,GER35,52,3,-,-,-,-,-
Louis Weßels,571,515,19.6,GER36,52,8,1,-,Lost in Sharm El Sheikh 13 R16,-,-
Davide Galoppini,572,548,23.4,ITA40,52,-,-1,-,Lost in Antalya 15 R16,-,-
Thai Son Kwiatkowski,573,520,23.1,USA43,51,2,-,-,-,-,-
Xin Gao,574,434,23.9,CHN7,51,24,4,-,Lost in Matsuyama R16Lost in Nanchang R16,-,-
David Vega Hernández,575,403,23.8,ESP44,51,2,-,-,Lost in Qual. Tunis R1Lost in Qual. Francavilla R1,-,-
Manuel Guinard,576,575,22.4,FRA54,51,2,-,-,-,-,-
Máximo González,577,58,34.7,ARG28,50,-39,-8,-,Lost in Qual. Francavilla R2,-,-
Deiton Baughman,578,341,22,USA44,50,5,-,-,Lost in Qual. Sarasota R2,-,-
Mikhail Fufygin,579,484,27.9,RUS20,50,-3,-1,-,Lost in Bukhara R32,-,-
Luke Bambridge,580,481,23.2,GBR11,49,5,-,-,-,-,-
Emil Ruusuvuori,581,NCH   (586),19,FIN2,49,5,-,-,-,-,-
Laurent Rochette,582,202,30.2,FRA55,49,5,-,-,-,-,-
Peter Kobelt,583,332,27.4,USA45,49,14,2,-,Lost in Sharm El Sheikh 13 QF,-,-
Jules Okala,584,439,20.6,FRA56,49,-52,-10,-,Qual. Porto WLost in Porto R32,-,-
Lorenzo Frigerio,585,375,29.1,ITA41,49,-1,-1,-,Lost in Antalya 15 R32,-,-
Matthias Haim,586,NCH   (588),20.2,AUT14,49,2,-,Santa Margherita 8 R32,Lost in Santa Margherita 6 R32,-,-
Maxime Tabatruong,587,360,28.5,FRA57,49,-29,-6,Angers R32,-,-,-
Patrik Nema,588,560,20.4,SVK8,49,1,-,-,-,-,-
Blake Mott,589,220,22,AUS30,48,1,-,-,-,-,-
Alex Molčan,590,442,20.3,SVK9,48,1,-,Santa Margherita 8 R32,-,-,-
José Pereira,591,232,27.2,BRA14,48,1,-,Sao Jose do Rio Preto R32,Lost in Little Rock R32Lost in Orange Park SF,-,-
Mārtiņš Podžus,592,437,23.8,LAT2,48,1,-,-,Lost in Madrid R32,-,-
Federico Zeballos,593,457,29.8,BOL2,48,1,-,-,Lost in Qual. Guadalajara R1Lost in Qual. Leon R1,-,-
Kristian Lozan,594,NCH   (595),19.4,RUS21,48,1,-,-,Lost in Sharm El Sheikh 13 R32Lost in Bukhara R32,-,-
Agustín Velotti,595,166,25.9,ARG29,47,1,-,-,Lost in Qual. Leon R2,-,-
Michal Konecny,596,285,28.5,CZE14,47,4,-,-,Lost in Djerba 8 R32,-,-
Jonathan Gray,597,538,21,GBR12,47,-27,-6,Angers R32,-,-,-
Yan Sabanin,598,NCH   (599),28.2,RUS22,47,12,2,Shymkent 4 R32,Lost in Shymkent 2 QFLost in Shymkent 3 R32,-,-
Rubén Ramírez Hidalgo,599,50,40.2,ESP45,46,2,-,-,-,-,-
Yan Bai,600,200,28.9,CHN8,46,-45,-9,Anning R32,Lost in Qual. Nanchang R2,-,-
Robin Stanek,601,258,23.3,CZE15,46,1,-,Santa Margherita 8 R32,Lost in Qual. Santa Margherita 7 R2,-,-
Alex Rybakov,602,584,21.2,USA46,45,1,-,-,-,-,-
Nicolae Frunza,603,442,20.4,ROU4,45,1,-,-,-,-,-
Thiago Seyboth Wild,604,CH,18.1,BRA15,45,1,-,Sao Jose do Rio Preto R32,Lost in Antalya 14 R32,-,-
Manuel Sánchez,605,511,27.2,MEX1,45,35,6,Leon R32,Lost in Guadalajara R16,-,-
Franco Agamenone,606,377,25,ARG30,45,1,-,-,Lost in Qual. Guadalajara R1Lost in Qual. Leon R2,-,-
Colin Van Beem,607,537,25.9,NED10,45,1,-,-,-,-,-
George Von Massow,608,568,28,GER37,45,1,-,-,Lost in Antalya 14 R32Lost in Antalya 15 R32,-,-
William Blumberg,609,603,20.2,USA47,44,2,-,-,-,-,-
Máté Valkusz,610,NCH   (612),19.6,HUN5,44,2,-,-,Lost in Qual. Budapest R1,-,-
Borna Gojo,611,596,20.1,CRO10,44,2,-,-,-,-,-
Chien hsun Lo,612,NCH   (614),19.4,TPE7,44,2,-,-,-,-,-
