name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Michael Mmoh,144,141,20.2,USA15,388,7,8,Tallahassee R32,Lost in Sarasota R16,-,-
Go Soeda,145,47,33.6,JPN4,388,-7,-20,-,Lost in Nanchang R32,-,-
Jozef Kovalík,146,109,25.4,SVK3,387,6,8,-,Lost in Tunis R16Lost in Qual. Barcelona R2,-,-
Norbert Gombos,147,80,27.6,SVK4,385,-,-,-,-,-,-
Andrej Martin,148,98,28.5,SVK5,384,-3,-2,-,Lost in Qual. Monte Carlo R2Lost in Qual. Barcelona R1,-,-
Ernesto Escobedo,149,67,21.8,USA16,381,-,-,-,Lost in Qual. Barcelona R2,-,-
Thanasi Kokkinakis,150,69,22,AUS6,380,-,-,-,Lost in Monte Carlo R64,-,-
Adrián Menéndez-Maceiras,151,111,32.4,ESP11,380,5,6,Leon R32,Lost in Guadalajara R16,-,-
Andrey Kuznetsov,152,39,27.1,RUS7,376,-17,-35,-,-,-,-
Pablo Andújar,153,32,32.2,ESP12,376,1,-,-,Lost in Qual. Barcelona R2,-,-
Jason Jung,154,143,28.8,TPE2,376,1,-,-,-,-,-
Simone Bolelli,155,36,32.5,ITA8,373,-11,-16,-,-,-,-
Mats Moraing,156,155,25.8,GER11,364,2,9,Leon R32,Lost in Guadalajara QF,-,-
Liam Broady,157,154,24.2,GBR4,359,-,-,Francavilla R32,Lost in Tunis R32,-,-
Oscar Otte,158,129,24.7,GER12,358,-24,-60,-,-,-,-
Lorenzo Sonego,159,157,22.9,ITA9,352,-,-,Budapest R32,Lost in Qual. Monte Carlo R1Qual. Budapest W,-,-
Dustin Brown,160,64,33.3,GER13,343,2,-,-,Lost in Qual. Barcelona R2,-,-
Tommy Paul,161,149,20.9,USA17,342,2,-,-,-,-,-
Alessandro Giannessi,162,84,27.8,ITA10,341,2,-,-,Lost in Qual. Barcelona R1,-,-
Attila Balázs,163,153,29.5,HUN2,337,21,27,Budapest R32,Porto W,-,-
Matthias Bachinger,164,85,31,GER14,336,-4,-14,-,Lost in Qual. Barcelona R1,-,-
Bradley Klahn,165,63,27.6,USA18,335,-,-,-,-,-,-
Stefan Kozlov,166,115,20.2,USA19,334,4,9,-,Lost in Sarasota QF,-,-
Dennis Novikov,167,119,24.4,USA20,334,-,-,Leon R32,Lost in Guadalajara R32,-,-
Víctor Estrella Burgos,168,43,37.7,DOM1,330,3,6,Leon R32,Lost in Guadalajara R16,-,-
Stéphane Robert,169,50,37.9,FRA15,330,-,-,-,-,-,-
Blaž Rola,170,78,27.5,SLO3,330,-4,-5,Tallahassee R32,Lost in Sarasota R16,-,-
Darian King,171,106,25.9,BAR1,329,8,15,Leon R32,Lost in Guadalajara QF,-,-
Hugo Dellien,172,NCH   (229),24.8,BOL1,327,59,90,Tallahassee R32,Sarasota W,-,-
Kevin King,173,171,27.1,USA21,322,-1,-,-,Lost in Guadalajara R32,-,-
Jaume Munar,174,173,20.9,ESP13,322,-1,-,Barcelona R64,-,-,-
Alex Bolt,175,160,25.2,AUS7,322,2,6,Anning R32,Lost in Nanchang R16,-,-
Tatsuma Ito,176,60,29.9,JPN5,321,-30,-65,-,Lost in Nanchang R32,-,-
Kenny de Schepper,177,62,30.8,FRA16,321,-3,-,-,Lost in Qual. Barcelona R1,-,-
Filip Peliwo,178,169,24.2,CAN5,318,2,4,Leon R32,Lost in Guadalajara R16,-,-
Jason Kubler,179,136,24.9,AUS8,316,-3,-,-,-,-,-
Jerzy Janowicz,180,14,27.4,POL1,315,-2,-,-,-,-,-
Viktor Galović,181,179,27.5,CRO4,310,2,-,-,-,-,-
Hubert Hurkacz,182,171,21.1,POL2,309,3,-,Budapest R32,Qual. Budapest W,-,-
Stefano Napolitano,183,152,23,ITA11,308,4,-,-,Lost in Tunis R32Lost in Qual. Budapest R1,-,-
Carlos Taberner,184,175,20.7,ESP14,307,6,-,-,Lost in Tunis R32,-,-
Evan King,185,NCH   (188),26,USA22,305,7,2,Tallahassee R32,Lost in Sarasota R16,-,-
Félix Auger-Aliassime,186,153,17.7,CAN6,304,-11,-13,-,Lost in Monte Carlo R64,-,-
Gleb Sakharov,187,153,29.8,FRA17,304,1,-4,-,-,-,-
Marco Trungelliti,188,126,28.2,ARG10,303,3,-,-,Lost in Cascais QF,-,-
Ernests Gulbis,189,10,29.6,LAT1,302,4,-,-,Lost in Qual. Tunis R3,-,-
João Domingues,190,166,24.5,POR4,302,15,23,Francavilla R32,Lost in Tunis SF,-,-
Bernard Tomic,191,17,25.5,AUS9,301,-9,-10,-,-,-,-
Reilly Opelka,192,125,20.6,USA23,301,19,33,-,Lost in Sarasota SF,-,-
Akira Santillan,193,144,20.9,AUS10,299,-25,-32,Tallahassee R32,Lost in Sarasota R16,-,-
Facundo Bagnis,194,55,28.1,ARG11,296,29,49,Tallahassee R32,Lost in Sarasota F,-,-
