name,position,rank,team,salary
Jared Dudley,SF,119,Phoenix Suns,10000000
Darren Collison,PG,120,Indiana Pacers,10000000
Meyers Leonard,C,121,Portland Trail Blazers,9904495
Tony Snell,SG,122,Milwaukee Bucks,9887640
Al Jefferson,C,123,Indiana Pacers,9769821
Matthew Dellavedova,PG,124,Milwaukee Bucks,9607500
Bogdan Bogdanovic,SG,125,Sacramento Kings,9412280
Andre Roberson,SG,126,Oklahoma City Thunder,9259260
Trevor Booker,PF,127,Philadelphia 76ers,9125000
Dwight Powell,C,128,Dallas Mavericks,9003125
Gerald Henderson,SG,129,Philadelphia 76ers,9000000
Jerryd Bayless,PG,130,Philadelphia 76ers,9000000
Avery Bradley,SG,131,LA Clippers,8808989
JaMychal Green,PF,132,Memphis Grizzlies,8533333
E'Twaun Moore,SF,133,New Orleans Pelicans,8445024
Rudy Gay,SF,134,San Antonio Spurs,8406000
Kosta Koufos,C,135,Sacramento Kings,8393000
Markieff Morris,PF,136,Washington Wizards,8000000
Garrett Temple,SF,137,Sacramento Kings,8000000
Vince Carter,SG,138,Sacramento Kings,8000000
Yi Jianlian,SF,139,Los Angeles Lakers,8000000
CJ Miles,SF,140,Toronto Raptors,7936509
Cristiano Felicio,C,141,Chicago Bulls,7833500
Shaun Livingston,PG,142,Golden State Warriors,7692308
Cory Joseph,PG,143,Indiana Pacers,7630000
PJ Tucker,SF,144,Houston Rockets,7590035
Corey Brewer,SF,145,Oklahoma City Thunder,7579366
Andrew Wiggins,SF,146,Minnesota Timberwolves,7574323
Boris Diaw,C,147,Utah Jazz,7500000
Darrell Arthur,PF,148,Denver Nuggets,7464912
Channing Frye,PF,149,Los Angeles Lakers,7420912
Trevor Ariza,SF,150,Houston Rockets,7420912
Festus Ezeli,C,151,Portland Trail Blazers,7400000
Al-Farouq Aminu,PF,152,Portland Trail Blazers,7319035
Cole Aldrich,C,153,Minnesota Timberwolves,7300000
D.J. Augustin,PG,154,Orlando Magic,7250000
Markelle Fultz,PG,155,Philadelphia 76ers,7026240
Lou Williams,SG,156,LA Clippers,7000000
Jeremy Lamb,SG,157,Charlotte Hornets,7000000
Rodney Stuckey,PG,158,Indiana Pacers,7000000
Kyle Korver,SG,159,Cleveland Cavaliers,7000000
Jae Crowder,PF,160,Utah Jazz,6796117
Jabari Parker,PF,161,Milwaukee Bucks,6782392
Langston Galloway,SG,162,Detroit Pistons,6666667
Lance Thomas,SF,163,New York Knicks,6655325
Carl Landry,PF,164,Philadelphia 76ers,6500000
Tim Duncan,C,165,San Antonio Spurs,6393750
Andrew Nicholson,PF,166,Portland Trail Blazers,6362998
Ed Davis,PF,167,Portland Trail Blazers,6352531
Jonathon Simmons,SF,168,Orlando Magic,6300000
Lonzo Ball,PG,169,Los Angeles Lakers,6286560
Wayne Ellington,SG,170,Miami Heat,6270000
Isaiah Thomas,PG,171,Los Angeles Lakers,6261395
Karl-Anthony Towns,C,172,Minnesota Timberwolves,6216840
Ben Simmons,PG,173,Philadelphia 76ers,6168840
Joel Embiid,C,174,Philadelphia 76ers,6100266
Spencer Hawes,PF,175,Milwaukee Bucks,6061175
Josh McRoberts,PF,176,Dallas Mavericks,6021175
Milos Teodosic,PG,177,LA Clippers,6000000
Ersan Ilyasova,PF,178,Philadelphia 76ers,6000000
Alan Williams,PF,179,Phoenix Suns,6000000
Dewayne Dedmon,C,180,Atlanta Hawks,6000000
Wesley Johnson,SF,181,LA Clippers,5882260
Tyler Johnson,SG,182,Miami Heat,5881260
Alex Abrines,SG,183,Oklahoma City Thunder,5725000
Jayson Tatum,SF,184,Boston Celtics,5645400
Jared Sullinger,C,185,Phoenix Suns,5628000
D'Angelo Russell,PG,186,Brooklyn Nets,5562360
Brandon Ingram,SF,187,Los Angeles Lakers,5519400
Patrick Beverley,PG,188,LA Clippers,5513514
Aaron Gordon,PF,189,Orlando Magic,5504420
Thabo Sefolosha,SF,190,Utah Jazz,5500000
Luis Scola,PF,191,Brooklyn Nets,5500000
Jason Smith,PF,192,Washington Wizards,5225000
Ben McLemore,SG,193,Memphis Grizzlies,5200000
Patrick Patterson,PF,194,Oklahoma City Thunder,5192000
Nick Young,SG,195,Golden State Warriors,5192000
Josh Jackson,SG,196,Phoenix Suns,5090040
C.J. Watson,PG,197,Orlando Magic,5000000
Greg Monroe,C,198,Phoenix Suns,5000000
Dirk Nowitzki,C,199,Dallas Mavericks,5000000
Mike Muscala,PF,200,Atlanta Hawks,5000000
Jahlil Okafor,C,201,Philadelphia 76ers,4995120
Dante Exum,PG,202,Utah Jazz,4992385
Alexis Ajinca,C,203,New Orleans Pelicans,4961798
Jaylen Brown,SG,204,Boston Celtics,4956480
Mike Dunleavy,SG,205,Atlanta Hawks,4837500
Kyle Singler,SF,206,Oklahoma City Thunder,4666500
Justin Holiday,SG,207,Chicago Bulls,4615385
