name,team,salary,cap_hit
Markus Hannikainen,CBJ,650000,675000
Evan Rodrigues,BUF,650000,650000
Joakim Ryan,SJS,650000,650000
Charles Hudon,MTL,650000,650000
Miikka Salomaki,NSH,650000,612500
Pheonix Copley,WSH,650000,650000
Darren Archibald,VAN,650000,650000
Devante Smith-Pelly,WSH,650000,650000
Alan Quine,NYI,650000,612500
Barclay Goodrow,SJS,650000,650000
Alex Stalock,MIN,650000,650000
Yannick Weber,NSH,650000,650000
Logan Shaw,MTL,650000,650000
Pontus Aberg,EDM,650000,650000
Colton Sissons,NSH,650000,625000
Martin Frk,DET,650000,650000
Jack Campbell,LAK,650000,612500
Scott Harrington,CBJ,650000,675000
Chris Wagner,NYI,650000,637500
Derek Grant,ANA,650000,650000
Brad Hunt,VEG,650000,650000
Anders Lindback,NSH,650000,650000
Jujhar Khaira,EDM,650000,675000
Darcy Kuemper,ARI,650000,650000
Tyler Bertuzzi,DET,650000,661667
Ryan Sproul,NYR,650000,625000
Ivan Barbashev,STL,650000,741667
Cory Conacher,TBL,650000,650000
Brian Gibbons,NJD,650000,650000
Christian Djoos,WSH,650000,650000
Mark Alt,COL,650000,650000
Steven Kampfer,NYR,650000,650000
Jordan Oesterle,CHI,650000,650000
Kevin Gravel,LAK,650000,650000
Nate Prosser,MIN,650000,650000
Justin Falk,BUF,650000,650000
Jeff Zatkoff,CBJ,450000,450000
