name,rank,position,team,salary_2017
Tramon Williams,636,DB,ARI,1000000
Tyvon Branch,643,DB,ARI,1000000
Andy Lee,650,P,ARI,1000000
Kelvin Benjamin,603,WR,2TM,1000000
Adrian Peterson,640,RB,2TM,1000000
Kasim Edebali,641,OLB,2TM,1000000
Jeremiah Attaochu,658,OLB,LAC,993150
Landon Collins,659,SS,NYG,991415
Kyle Van Noy,660,OLB,NWE,990741
Karl Joseph,661,SS,OAK,990196
Darqueze Dennard,662,CB,CIN,988032
Donovan Smith,663,OT,TAM,986715
Mario Edwards,664,DE,OAK,982015
Corey Coleman,665,WR,CLE,979773
Kyle Nelson,669,TE,SFO,975000
Rhett Ellison,666,FB,NYG,975000
Ted Larsen,667,C,MIA,975000
Don Carey,668,DB,DET,975000
T.J. Yeldon,670,RB,JAX,972617
Troy Niklas,671,TE,ARI,968632
Preston Smith,672,DE,WAS,960395
Dee Ford,673,DE,KAN,957704
Davante Adams,674,WR,GNB,956373
Eddie Goldman,675,DT,CHI,951938
Case Keenum,676,QB,MIN,950000
Reshad Jones,678,DB,MIA,950000
Derek Carrier,677,WR,LAR,950000
Jayrone Elliott,679,LB,DAL,950000
Taylor Decker,680,OT,DET,948499
T.J. McDonald,681,FS,MIA,944445
Keanu Neal,682,FS,ATL,938075
Austin Seferian-Jenkins,683,TE,NYJ,936690
Alex Okafor,684,DE,NOR,935000
Cody Latimer,685,WR,DEN,925725
Ryan Kelly,686,C,IND,925045
John Jerry,687,G,NYG,925000
Benardrick McKinney,688,ILB,HOU,920921
Shaq Lawson,689,DE,BUF,917226
Darron Lee,690,OLB,NYJ,914620
Hau'oli Kikaha,691,OLB,NOR,913755
Will Fuller,692,WR,HOU,912014
Antonio Brown,693,WR,PIT,910000
Jack Mewhort,694,OT,IND,907337
Josh Doctson,695,WR,WAS,906802
Eric Kendricks,696,ILB,MIN,903720
Laquon Treadwell,697,WR,MIN,901590
Nick Sundberg,719,C,WAS,900000
Evander Hood,732,DT,WAS,900000
Phillip Supernaw,712,TE,TEN,900000
Garrison Sanborn,717,C,TAM,900000
LeGarrette Blount,710,RB,PHI,900000
Caleb Sturgis,738,K,PHI,900000
Demario Davis,711,OLB,NYJ,900000
Chandler Catanzaro,723,K,NYJ,900000
Lawrence Guy,729,DT,NWE,900000
Matt Slater,731,WR,NWE,900000
Chase Daniel,740,QB,NOR,900000
Tramaine Brock,713,DB,MIN,900000
Latavius Murray,718,RB,MIN,900000
Rey Maualuga,701,LB,MIA,900000
Sam Young,716,T,MIA,900000
Alterraun Verner,721,DB,MIA,900000
John Denney,739,DE-C,MIA,900000
John Sullivan,730,C,LAR,900000
Mike Windt,737,C,LAC,900000
Eric Berry,700,DB,KAN,900000
Frank Zombo,720,LB,KAN,900000
Roy Miller,728,DT,KAN,900000
Kendall Langford,705,DE,HOU,900000
Jon Weeks,715,C,HOU,900000
Brett Goode,722,LB,GNB,900000
Tavon Wilson,706,FS,DET,900000
Glover Quin,736,DB,DET,900000
Jamaal Charles,726,RB,DEN,900000
Darren McFadden,698,RB,DAL,900000
Connor Barth,714,K,CHI,900000
Captain Munnerlyn,703,DB,CAR,900000
J.J. Jansen,725,C,CAR,900000
Mike Tolbert,702,RB,BUF,900000
Ramon Humber,704,LB,BUF,900000
Joe Webb,707,WR,BUF,900000
Brandon Tate,733,WR,BUF,900000
Colt Anderson,734,DB,BUF,900000
Lardarius Webb,699,DB,BAL,900000
Anthony Levine,708,S,BAL,900000
Morgan Cox,709,C,BAL,900000
Blaine Gabbert,735,QB,ARI,900000
Martellus Bennett,724,TE,2TM,900000
Lamarr Houston,727,DT,2TM,900000
Allen Robinson,741,WR,JAX,898755
Jarvis Landry,742,WR,MIA,893852
Justin Britt,743,OT,SEA,891400
William Jackson,744,CB,CIN,891166
Michael Floyd,745,WR,MIN,887058
Artie Burns,746,CB,PIT,885954
Darryl Tapp,747,DE,TAM,882353
Jeremy Hill,748,RB,CIN,881855
Paxton Lynch,749,QB,DEN,880741
Eric Rowe,750,CB,NWE,878623
Kenny Clark,751,DT,GNB,875529
Ryan Griffin,752,TE,HOU,875000
Jason Verrett,753,CB,LAC,860000
Nate Palmer,759,LB,TEN,850000
Matt Tobin,761,T,SEA,850000
Manti Te'o,755,ILB,NOR,850000
Chris Banjo,758,S,NOR,850000
Fozzy Whittaker,754,RB,CAR,850000
Colton Schmidt,756,P,BUF,850000
Vlad Ducasse,760,G,BUF,850000
LaRoy Reynolds,757,LB,ATL,850000
Chris Johnson,762,RB,ARI,847059
Nate Orchard,763,OLB,CLE,841028
Robert Nkemdiche,764,DT,ARI,840936
Keith Tandy,765,S,TAM,840000
Devin Funchess,766,WR,CAR,836900
Mitch Morse,767,OT,KAN,834826
Denzel Perryman,768,ILB,LAC,831724
Vernon Butler,769,DT,CAR,831660
Jordan Phillips,770,DT,MIA,831628
Germain Ifedi,771,OT,SEA,825687
Nate Ebner,772,DB,NWE,825000
Carlos Hyde,773,RB,SFO,822047
Jimmy Garoppolo,774,QB,SFO,820077
Kony Ealy,775,DE,NYJ,803660
Maxx Williams,776,TE,BAL,803431
Ronald Darby,777,CB,PHI,800426
Sealver Siliga,781,DT,TAM,800000
Blair Walsh,778,K,SEA,800000
Michael Wilhoite,780,LB,SEA,800000
Neiko Thorpe,782,DB,SEA,800000
Bradley McDougald,783,FS,SEA,800000
LaAdrian Waddle,786,T,NWE,800000
James Develin,788,RB,NWE,800000
Robert Turbin,791,RB,IND,800000
Lance Kendricks,784,TE,GNB,800000
Brice Butler,779,WR,DAL,800000
Joe Looney,787,G,DAL,800000
Chris Jones,790,P,DAL,800000
Kevin Minter,789,ILB,CIN,800000
Shareece Wright,785,DB,BUF,800000
Andre Holmes,792,WR,BUF,800000
Trai Turner,793,OG,CAR,797000
Rob Havenstein,794,OT,LAR,795911
Ricky Jean-Francois,795,DT,2TM,794118
Billy Turner,796,OT,DEN,794000
Jaquiski Tartt,797,SS,SFO,792910
Markus Golden,798,OLB,ARI,791212
Ty Sambrailo,799,OT,ATL,784633
Brandin Cooks,800,WR,NWE,781599
Josh Harris,801,LS,ATL,780000
Ha Ha Clinton-Dix,802,FS,GNB,778534
Quinten Rollins,803,CB,GNB,775233
Quinton Dial,804,DE,GNB,775001
Chris Carter,807,DL,WAS,775000
Brian Quick,817,WR,WAS,775000
Junior Galette,866,DE,WAS,775000
Dennis Kelly,831,OT,TEN,775000
Brian Schwenke,848,C,TEN,775000
Robert McClain,854,DB,TAM,775000
Logan Paulsen,805,TE,SFO,775000
Austin Davis,810,QB,SEA,775000
Terence Garvin,816,LB,SEA,775000
Oday Aboushi,839,OT,SEA,775000
Doug Baldwin,868,WR,SEA,775000
Coty Sensabaugh,818,CB,PIT,775000
Cameron Heyward,830,DE,PIT,775000
Justin Hunter,870,WR,PIT,775000
Zach Ertz,820,TE,PHI,775000
Stefen Wisniewski,850,OL,PHI,775000
Rodney McLeod,857,S,PHI,775000
Najee Goode,862,ILB,PHI,775000
Patrick Robinson,872,DB,PHI,775000
EJ Manuel,849,QB,OAK,775000
Julian Stanford,819,LB,NYJ,775000
Bruce Carter,829,LB,NYJ,775000
Jeremy Kerley,860,WR,NYJ,775000
Geno Smith,813,QB,NYG,775000
J.T. Thomas,840,LB,NYG,775000
Darryl Morris,846,CB,NYG,775000
Brandon Bolden,875,RB,NWE,775000
Josh LeRibeus,837,G,NOR,775000
Rafael Bush,838,S,NOR,775000
Sterling Moore,859,CB,NOR,775000
Kevin McDermott,847,LS,MIN,775000
Kai Forbath,856,K,MIN,775000
Ryan Quigley,877,P,MIN,775000
MarQueis Gray,865,TE,MIA,775000
Tyrunn Walker,836,DL,LAR,775000
Jake McQuaide,841,LS,LAR,775000
Nickell Robey-Coleman,852,CB,LAR,775000
Damion Square,874,DE,LAC,775000
Jarvis Jenkins,871,DL,KAN,775000
Arrelious Benn,858,WR,JAX,775000
Patrick Omameh,867,G,JAX,775000
Matt Overton,876,LS,JAX,775000
Brandon Williams,812,TE,IND,775000
Rashaan Melvin,815,CB,IND,775000
Jordan Todman,832,RB,HOU,775000
David Bakhtiari,806,OT,GNB,775000
Brock Osweiler,835,QB,DEN,775000
Randy Bullock,826,K,CIN,775000
Josh Bellamy,809,WR,CHI,775000
John Jenkins,825,DT,CHI,775000
Sam Acho,828,OLB,CHI,775000
Benny Cunningham,842,RB,CHI,775000
Bradley Sowell,863,T,CHI,775000
Colin Jones,808,DB,CAR,775000
Wes Horton,827,DE,CAR,775000
Amini Silatolu,833,T,CAR,775000
Ben Jacobs,851,LB,CAR,775000
Kyle Love,873,DT,CAR,775000
Taiwan Jones,824,RB,BUF,775000
Ryan Davis,845,DE,BUF,775000
Leonard Johnson,861,CB,BUF,775000
Cedric Thornton,864,DT,BUF,775000
Brandon Williams,822,DT,BAL,775000
Jimmy Smith,823,CB,BAL,775000
Blidi Wreh-Wilson,834,CB,ATL,775000
Courtney Upshaw,853,OLB,ATL,775000
Austin Pasztor,855,OL,ATL,775000
Josh Bynes,811,LB,ARI,775000
Jaron Brown,814,WR,ARI,775000
A.Q. Shipley,821,C,ARI,775000
Aaron Brewer,869,LS,ARI,775000
Tony Bergstrom,843,OT,2TM,775000
Andre Ellington,844,RB,2TM,775000
Frank Clark,878,DE,SEA,774294
Jordan Richards,879,SS,NWE,772413
Jake Fisher,880,OT,CIN,772229
Charles Sims,881,RB,TAM,764000
Chance Warmack,882,OG,PHI,760000
Emmanuel Ogbah,883,DE,CLE,750438
Branden Oliver,884,RB,LAC,750000
Josh Mauro,885,DE,ARI,750000
Kevin Dodd,886,DE,TEN,747832
Jaylon Smith,887,OLB,DAL,745226
Hunter Henry,888,TE,LAC,740014
Myles Jack,889,OLB,JAX,737929
Sean Mannion,890,QB,LAR,730037
Asa Jackson,892,CB,SFO,729412
Jeff Locke,893,P,DET,729412
Nick Bellore,894,LB,DET,729412
Steven Johnson,891,LB,2TM,729412
Sean Spence,895,LB,2TM,729412
Jelani Jenkins,896,OLB,HOU,729411
Xavien Howard,897,CB,MIA,728547
Jay Bromley,898,DT,NYG,725000
Noah Spence,899,DE,TAM,724377
A.J. Cann,900,OG,JAX,721000
Sterling Shepard,901,WR,NYG,720208
Reggie Ragland,902,ILB,KAN,715517
Kamalei Correa,903,OLB,BAL,711347
Clive Walford,904,TE,OAK,710646
Kareem Martin,905,DE,ARI,710000
Chris Jones,906,DT,KAN,708238
Austin Johnson,907,DT,TEN,707374
Leon Hall,908,DB,SFO,705882
Terrence Brooks,909,FS,NYJ,705000
Ali Marpet,910,C,TAM,703054
Jihad Ward,911,DE,OAK,701809
Jonotthan Harrison,912,C,NYJ,700000
Jerick McKinnon,915,RB,MIN,700000
Tre Boston,916,FS,LAC,700000
Phillip Gaines,913,CB,KAN,700000
Charcandrick West,918,RB,KAN,700000
Darren Fells,919,TE,DET,700000
Logan Thomas,917,TE,BUF,700000
Michael Campanaro,914,WR,BAL,700000
James Hurst,920,OT,BAL,700000
Derrick Henry,921,RB,TEN,695815
Tyler Lockett,922,WR,SEA,695000
Ty Nsekhe,934,T,WAS,690000
Ryan Grant,940,WR,WAS,690000
Dustin Hopkins,982,K,WAS,690000
David King,961,DE,TEN,690000
Adarius Glanton,962,LB,TAM,690000
Cameron Brate,963,TE,TAM,690000
Will Clarke,967,DE,TAM,690000
Mike Evans,976,WR,TAM,690000
Antone Exum,936,CB,SFO,690000
Jimmie Ward,951,SS,SFO,690000
Dontae Johnson,960,FS,SFO,690000
Marcus Smith,949,DE,SEA,690000
Dewey McDonald,992,S,SEA,690000
Daniel McCullers,945,DT,PIT,690000
Beau Allen,948,DT,PHI,690000
Jaylen Watkins,983,CB,PHI,690000
Steven Means,990,DE,PHI,690000
Keith McGill,964,CB,OAK,690000
Khalil Mack,970,OLB,OAK,690000
Mike Pennel,933,DT,NYJ,690000
Dakota Dozier,965,OT,NYJ,690000
Nat Berhe,953,SS,NYG,690000
Orleans Darkwa,954,RB,NYG,690000
Marquis Flowers,946,OLB,NWE,690000
James White,974,RB,NWE,690000
Jeremiah Sirles,926,OT,MIN,690000
Walt Aikens,950,CB,MIA,690000
Terrence Fede,987,DE,MIA,690000
Cody Parkey,988,K,MIA,690000
Sammy Watkins,966,WR,LAR,690000
Kenny Wiggins,980,T,LAC,690000
Adrian Phillips,984,DB,LAC,690000
Steven Terrell,927,DB,KAN,690000
De'Anthony Thomas,937,RB,KAN,690000
Daniel Sorensen,939,S,KAN,690000
Laurent Duvernay-Tardif,941,OT,KAN,690000
Terrance Mitchell,942,CB,KAN,690000
Kenneth Acker,944,CB,KAN,690000
Kevin Pierre-Louis,971,OLB,KAN,690000
Tyler Shatley,928,OG,JAX,690000
Tommy Bohanon,935,FB,JAX,690000
Peyton Thompson,993,CB,JAX,690000
Pierre Desir,931,CB,IND,690000
Jonathan Bostic,975,LB,IND,690000
Alfred Blue,929,RB,HOU,690000
Tom Savage,938,QB,HOU,690000
Marcus Burley,947,CB,HOU,690000
Bruce Ellington,955,WR,HOU,690000
Brandon Dunn,978,DT,HOU,690000
Jadeveon Clowney,979,DE,HOU,690000
Jay Prosch,985,FB,HOU,690000
Jeff Janis,994,WR,GNB,690000
T.J. Jones,957,WR,DET,690000
Corey Nelson,952,OLB,DEN,690000
Bene Benwikere,924,CB,DAL,690000
Keith Smith,977,LB,DAL,690000
Chris Smith,943,DE,CIN,690000
A.J. McCarron,986,QB,CIN,690000
Andrew DePaola,956,LS,CHI,690000
Pat O'Donnell,968,P,CHI,690000
Jerel Worthy,972,DT,BUF,690000
Joe Banyard,991,RB,BUF,690000
Brent Urban,959,DE,BAL,690000
Luke Bowanko,981,C,BAL,690000
Derrick Coleman,930,RB,ATL,690000
Nick Williams,932,WR,ATL,690000
Jordan Tripp,958,OLB,ATL,690000
Jake Matthews,969,OT,ATL,690000
Ben Garland,973,DL,ATL,690000
Kerwynn Williams,923,RB,ARI,690000
Brittan Golden,989,WR,ARI,690000
Cassius Marsh,925,DE,2TM,690000
John Greco,997,T,NYG,688235
John Hughes,996,DT,NOR,688235
Nick Novak,995,K,LAC,688235
A'Shawn Robinson,998,DT,DET,687892
Ameer Abdullah,999,RB,DET,687830
Hroniss Grasu,1000,C,CHI,687500
Jamon Brown,1001,OT,LAR,686686
Johnthan Banks,1003,CB,HOU,683824
Robert Blanton,1004,CB,BUF,683824
George Johnson,1002,DE,2TM,683824
David Bass,1005,DE,2TM,683824
Damontre Moore,1006,DE,DAL,683823
Michael Thomas,1007,WR,NOR,682681
Tevin Coleman,1008,RB,ATL,680000
Jason Spriggs,1009,OT,GNB,677468
Jarran Reed,1010,DT,SEA,672256
Nick Martin,1011,C,HOU,667044
Deion Jones,1012,OLB,ATL,656620
David Amerson,1013,CB,OAK,650000
Cornelius Lucas,1014,T,LAR,649412
Jordan Devey,1015,T,KAN,649408
Mackensie Alexander,1016,CB,MIN,646196
Jaelen Strong,1017,WR,2TM,644705
Tyler Boyd,1018,WR,CIN,643589
Duke Johnson,1019,RB,CLE,642500
Cody Whitehair,1020,OG,CHI,642026
P.J. Williams,1021,CB,NOR,640000
T.J. Green,1022,FS,IND,639420
Tim Lelito,1023,G,DET,638235
Danielle Hunter,1024,DE,MIN,636000
Sean Davis,1025,FS,PIT,635771
Justin Drescher,1026,C,ARI,635292
Chris Conley,1027,WR,KAN,635000
Eli Harold,1028,OLB,SFO,634000
Jordan Hicks,1029,OLB,PHI,633000
Carl Davis,1030,DT,BAL,630750
Vonn Bell,1031,SS,NOR,630559
Chaz Green,1032,OT,DAL,630375
James Bradberry,1033,CB,CAR,630038
Henry Anderson,1034,DE,IND,629500
Adam Gotsis,1035,DT,DEN,628996
Tyler Kroft,1036,TE,CIN,628000
Ty Montgomery,1037,WR/RB,GNB,625000
Kevin Byard,1038,S,TEN,618566
Steven Nelson,1039,CB,KAN,618500
Carl Nassib,1040,DE,CLE,618110
Quinton Dunbar,1068,WR,WAS,615000
T.J. Clemmings,1073,OT,WAS,615000
Jamison Crowder,1080,WR,WAS,615000
Deshazor Everett,1131,CB,WAS,615000
Brandon Scherff,1141,G,WAS,615000
Martrell Spaight,1143,OLB,WAS,615000
Marcus Mariota,1069,QB,TEN,615000
Jalston Fowler,1070,FB,TEN,615000
Quinton Spain,1119,OG,TEN,615000
Ryan Russell,1041,DE,TAM,615000
Adam Humphries,1042,WR,TAM,615000
Jameis Winston,1088,QB,TAM,615000
Kwon Alexander,1116,OLB,TAM,615000
Trenton Brown,1059,OT,SFO,615000
Bradley Pinion,1071,P,SFO,615000
Raheem Mostert,1104,RB,SFO,615000
K'Waun Williams,1162,DB,SFO,615000
Thomas Rawls,1054,RB,SEA,615000
Justin Coleman,1130,CB,SEA,615000
Mark Glowinski,1138,OG,SEA,615000
Dion Jordan,1157,DE,SEA,615000
D.J. Alexander,1165,OLB,SEA,615000
Jesse James,1072,TE,PIT,615000
Chris Boswell,1103,K,PIT,615000
Martavis Bryant,1128,WR,PIT,615000
Roosevelt Nix,1145,LB,PIT,615000
Leterrius Walton,1166,DT,PIT,615000
Anthony Chickillo,1171,DE,PIT,615000
Jordan Berry,1173,P,PIT,615000
Jon Feliciano,1053,OG,OAK,615000
Amari Cooper,1055,WR,OAK,615000
Seth Roberts,1074,WR,OAK,615000
Dexter McDonald,1152,CB,OAK,615000
Bryce Petty,1045,QB,NYJ,615000
Rontez Miles,1046,FS,NYJ,615000
Neal Sterling,1089,WR,NYJ,615000
Darryl Roberts,1090,CB,NYJ,615000
Will Tye,1093,TE,NYJ,615000
Brent Qvale,1111,T,NYJ,615000
Leonard Williams,1113,DT,NYJ,615000
Brett Jones,1078,C,NYG,615000
Bobby Hart,1086,OG,NYG,615000
Trey Flowers,1056,DE,NWE,615000
David Andrews,1091,C,NWE,615000
Brandon King,1151,DB,NWE,615000
Joe Cardona,1168,LS,NWE,615000
Shaq Mason,1181,C,NWE,615000
Brandon Coleman,1123,WR,NOR,615000
Tyeler Davison,1150,DT,NOR,615000
Willie Snead,1155,WR,NOR,615000
Anthony Harris,1096,DB,MIN,615000
Nick Easton,1121,C,MIN,615000
Stefon Diggs,1140,WR,MIN,615000
Blake Bell,1142,TE,MIN,615000
Mike Hull,1105,LB,MIA,615000
Bobby McCain,1146,CB,MIA,615000
Anthony Steen,1167,OG,MIA,615000
Darrell Williams,1064,T,LAR,615000
Matt Longacre,1085,DE,LAR,615000
Bryce Hager,1159,ILB,LAR,615000
Sean McGrath,1057,TE,LAC,615000
Geremy Davis,1075,WR,LAC,615000
Chris McCain,1094,LB,LAC,615000
Tyrell Williams,1118,WR,LAC,615000
Darius Philon,1122,DT,LAC,615000
Kyle Emanuel,1160,OLB,LAC,615000
Hayes Pullard,1176,ILB,LAC,615000
Craig Mager,1180,CB,LAC,615000
James Winchester,1044,LS,KAN,615000
Ramik Wilson,1134,ILB,KAN,615000
Rakeem Nunez-Roches,1158,DT,KAN,615000
Josh Wells,1062,T,JAX,615000
Jason Myers,1065,K,JAX,615000
James O'Shaughnessy,1107,TE,JAX,615000
Tyler Patmon,1132,CB,JAX,615000
Corey Grant,1156,RB,JAX,615000
Josh Walker,1179,G,JAX,615000
Jeremiah George,1050,ILB,IND,615000
Quan Bray,1076,WR,IND,615000
Denzelle Good,1079,OT,IND,615000
Clayton Geathers,1137,SS,IND,615000
Kendall Lamm,1099,T,HOU,615000
Christian Covington,1106,DT,HOU,615000
Greg Mancz,1120,C,HOU,615000
Brian Peters,1125,LB,HOU,615000
Kurtis Drummond,1170,S,HOU,615000
Aaron Ripkowski,1081,FB,GNB,615000
Brett Hundley,1114,QB,GNB,615000
Joe Thomas,1115,LB,GNB,615000
Jake Ryan,1161,OLB,GNB,615000
Corey Robinson,1048,OT,DET,615000
Quandre Diggs,1163,CB,DET,615000
Zach Zenner,1175,RB,DET,615000
Zac Kerin,1184,C,DET,615000
Jared Abbrederis,1186,WR,DET,615000
Jeff Heuerman,1043,TE,DEN,615000
Matt Paradis,1052,C,DEN,615000
Max Garcia,1063,C,DEN,615000
Shelby Harris,1112,DE,DEN,615000
Bennie Fowler,1126,WR,DEN,615000
Shaquil Barrett,1139,OLB,DEN,615000
Trevor Siemian,1149,QB,DEN,615000
Lorenzo Doss,1154,CB,DEN,615000
Damien Wilson,1124,ILB,DAL,615000
Rod Smith,1164,RB,DAL,615000
Geoff Swaim,1183,TE,DAL,615000
T.Y. McGill,1117,DT,CLE,615000
Jamie Meder,1127,DT,CLE,615000
Sammie Coates,1135,WR,CLE,615000
Charley Hughlett,1178,LS,CLE,615000
C.J. Uzomah,1101,TE,CIN,615000
Josh Shaw,1172,CB,CIN,615000
Tre McBride,1049,WR,CHI,615000
Jonathan Anderson,1082,LB,CHI,615000
Adrian Amos,1100,FS,CHI,615000
Kevin White,1102,WR,CHI,615000
Michael Burton,1129,FB,CHI,615000
Daniel Brown,1148,WR,CHI,615000
Bryce Callahan,1185,CB,CHI,615000
Cameron Artis-Payne,1083,RB,CAR,615000
Greg Van Roten,1095,G,CAR,615000
Daryl Williams,1097,OT,CAR,615000
David Mayo,1136,ILB,CAR,615000
John Miller,1060,OG,BUF,615000
Nick O'Leary,1109,TE,BUF,615000
Khari Lee,1174,TE,BUF,615000
Chris Matthews,1047,WR,BAL,615000
Andrew Donnal,1066,OT,BAL,615000
Za'Darius Smith,1067,DE,BAL,615000
Javorius Allen,1133,RB,BAL,615000
Nick Boyle,1147,TE,BAL,615000
Grady Jarrett,1108,DT,ATL,615000
Justin Hardy,1110,WR,ATL,615000
Ricardo Allen,1144,CB,ATL,615000
Vic Beasley,1153,OLB,ATL,615000
Terron Ward,1169,RB,ATL,615000
Xavier Williams,1058,DT,ARI,615000
Rodney Gunter,1061,DT,ARI,615000
JJ Nelson,1087,WR,ARI,615000
David Johnson,1177,RB,ARI,615000
Derron Smith,1051,FS,2TM,615000
Jay Ajayi,1077,RB,2TM,615000
Ibraheim Campbell,1084,SS,2TM,615000
Ladarius Gunter,1092,CB,2TM,615000
A.J. Derby,1098,TE,2TM,615000
Ayodeji Olatoye,1182,DB,2TM,615000
Maliek Collins,1187,DT,DAL,612500
Deandre Coleman,1188,DT,BUF,608820
Yannick Ngakoue,1189,OLB,JAX,605041
Cody Kessler,1190,QB,CLE,604049
Bronson Kaufusi,1191,DE,BAL,603500
Jonathan Bullard,1192,DE,CHI,599000
Kenyan Drake,1193,RB,MIA,595000
Michael Person,1197,OL,IND,592647
Marcus Cromartie,1194,CB,HOU,592647
Shamarko Thomas,1196,SS,BUF,592647
Earl Watford,1195,OG,ARI,592647
Stevan Ridley,1198,RB,PIT,592644
Zach Line,1199,FB,NOR,592644
Dwight Freeney,1200,DE,2TM,588235
Darian Thompson,1201,FS,NYG,585000
Leger Douzable,1202,DT,SFO,582353
Ahtyba Rubin,1203,NT,2TM,582353
C.J. Spiller,1204,RB,KAN,582253
Jacoby Brissett,1205,QB,IND,580038
Akeem Hunt,1206,RB,KAN,578824
Isaac Seumalo,1207,OG,PHI,574000
KeiVarae Russell,1208,CB,CIN,570000
Kenjon Barner,1209,RB,PHI,568235
Shon Coleman,1210,OT,CLE,568000
C.J. Prosise,1211,RB,SEA,565000
Brandon Williams,1212,CB,ARI,563500
Le'Raven Clark,1213,OT,IND,563000
Nick Vannett,1214,TE,SEA,562000
Javon Hargrave,1215,DT,PIT,560000
Jordan Jenkins,1216,OLB,NYJ,560000
Leonte Carroo,1217,WR,MIA,560000
Kyler Fackrell,1219,OLB,GNB,560000
Daryl Worley,1218,CB,CAR,560000
Graham Glasgow,1220,OG,DET,558500
Kendall Fuller,1221,CB,WAS,557500
Braxton Miller,1222,WR,HOU,557500
Rees Odhiambo,1223,OG,SEA,553000
Gerald Hodges,1224,OLB,NOR,547059
Bobby Rainey,1225,RB,BAL,547056
L.J. Fort,1230,LB,PIT,542647
Geneo Grissom,1227,OLB,NWE,542647
David Parry,1232,NT,NOR,542647
Troy Hill,1228,CB,LAR,542647
Nick Dzubnar,1226,LB,LAC,542647
Matt Jones,1229,RB,IND,542647
John Timu,1231,ILB,CHI,542647
Joe Vellano,1233,DT,ATL,542640
Matthew Ioannidis,1245,DT,WAS,540000
Robert Kelley,1285,RB,WAS,540000
Anthony Lanier,1389,DE,WAS,540000
Tye Smith,1290,CB,TEN,540000
LeShaun Sims,1311,CB,TEN,540000
Kalan Reed,1318,CB,TEN,540000
David Fluellen,1330,RB,TEN,540000
Curtis Riley,1411,CB,TEN,540000
Javien Elliott,1250,CB,TAM,540000
Caleb Benenoch,1295,OT,TAM,540000
Peyton Barber,1337,RB,TAM,540000
Ryan Smith,1350,CB,TAM,540000
Alan Cross,1409,TE,TAM,540000
Leonard Wester,1413,T,TAM,540000
Tanner McEvoy,1270,WR,SEA,540000
J.D. McKissic,1293,WR,SEA,540000
Tyler Ott,1301,LS,SEA,540000
Eli Rogers,1242,WR,PIT,540000
Xavier Grimble,1271,TE,PIT,540000
Tyler Matakevich,1344,ILB,PIT,540000
Kameron Canaday,1385,LS,PIT,540000
B.J. Finney,1408,C,PIT,540000
Rick Lovato,1254,LS,PHI,540000
Wendell Smallwood,1267,RB,PHI,540000
Jalen Mills,1324,CB,PHI,540000
Kamu Grugier-Hill,1325,OLB,PHI,540000
Halapoulivaati Vaitai,1383,OT,PHI,540000
Destiny Vaeao,1418,DT,PHI,540000
James Cowser,1236,LB,OAK,540000
Darius Latham,1246,DT,OAK,540000
Johnny Holton,1252,WR,OAK,540000
Jalen Richard,1321,RB,OAK,540000
Cory James,1334,OLB,OAK,540000
Erik Harris,1338,DB,OAK,540000
DeAndre Washington,1340,RB,OAK,540000
Xavier Woodson-Luster,1357,LB,OAK,540000
Tyrell Adams,1360,LB,OAK,540000
Vadal Alexander,1363,OG,OAK,540000
Antonio Hamilton,1370,CB,OAK,540000
Robby Anderson,1241,WR,NYJ,540000
Brandon Shell,1260,OT,NYJ,540000
Lac Edwards,1262,P,NYJ,540000
Charone Peake,1278,WR,NYJ,540000
Eric Tomlinson,1341,TE,NYJ,540000
Juston Burris,1367,CB,NYJ,540000
Andrew Adams,1234,S,NYG,540000
Paul Perkins,1238,RB,NYG,540000
Romeo Okwara,1266,DE,NYG,540000
Jerell Adams,1317,TE,NYG,540000
B.J. Goodson,1375,OLB,NYG,540000
Robert Thomas,1379,NT,NYG,540000
Roger Lewis,1402,WR,NYG,540000
Elandon Roberts,1248,ILB,NWE,540000
Joe Thuney,1284,OG,NWE,540000
Ted Karras,1299,OG,NWE,540000
Jonathan Jones,1339,DB,NWE,540000
Wil Lutz,1235,K,NOR,540000
David Onyemata,1286,DT,NOR,540000
Ken Crawley,1331,DB,NOR,540000
Tommylee Lewis,1371,WR,NOR,540000
De'Vante Harris,1406,DB,NOR,540000
Stephen Weatherly,1309,OLB,MIN,540000
David Morgan,1313,TE,MIN,540000
Kentrell Brothers,1320,ILB,MIN,540000
Jayron Kearse,1345,SS,MIN,540000
Rashod Hill,1356,T,MIN,540000
Senorise Perry,1244,RB,MIA,540000
Rashawn Scott,1258,WR,MIA,540000
Jake Brendel,1277,C,MIA,540000
Jakeem Grant,1303,WR,MIA,540000
Pharoh Cooper,1329,WR,LAR,540000
Marqui Christian,1364,SS,LAR,540000
Tyler Higbee,1365,TE,LAR,540000
Blake Countess,1376,CB,LAR,540000
Cory Littleton,1384,LB,LAR,540000
Malcolm Brown,1390,RB,LAR,540000
Austin Blythe,1399,C,LAR,540000
Morgan Fox,1410,DL,LAR,540000
Trevor Williams,1237,CB,LAC,540000
Joey Bosa,1251,DE,LAC,540000
Drew Kaser,1264,P,LAC,540000
Derek Watt,1332,FB,LAC,540000
Spencer Pulley,1373,C,LAC,540000
Jatavis Brown,1380,OLB,LAC,540000
Tyreek Hill,1249,WR,KAN,540000
Bryan Witzmann,1261,T,KAN,540000
Eric Murray,1361,CB,KAN,540000
