name,rank,move,country,age,points,tournaments
Melanie Klaffner,556,▽14,AUT,27,51,11
Virginie Razzano,557,▽4,FRA,34,50,10
Nicha Lertpitaksinchai,558,△27,THA,26,50,13
Elizabeth Halbauer,559,▽9,USA,20,50,10
Lucia Bronzetti,560,▽5,ITA,19,50,20
Tori Kinard,561,▽7,USA,30,49,14
Katarzyna Kawa,562,▽5,POL,25,49,9
Marianna Zakarlyuk,563,▽5,UKR,21,49,12
Caroline Werner,564,△6,GER,22,49,13
Ludmilla Samsonova,565,△28,ITA,19,49,13
Camila Giangreco Campiz,566,▽7,PAR,21,49,14
Thaisa Grana Pedretti,567,▽7,BRA,18,49,15
Anna Tatishvili,568,▽7,USA,28,48,8
Mirjam Bjorklund,569,▽6,SWE,19,48,17
Michaela Haet,570,▽5,AUS,19,48,8
Iryna Shymanovich,571,△5,BLR,20,48,9
Jelena Simic,572,▽5,BIH,26,48,16
Mia Eklund,573,▽7,FIN,23,48,17
Wushuang Zheng,574,▽6,CHN,19,47,16
Anastasia Pivovarova,575,▽6,RUS,27,47,12
Caitlin Whoriskey,576,▽14,USA,30,47,15
Stephanie Petit,577,▽6,ARG,21,47,13
Anastasia Nefedova,578,△21,USA,19,47,17
Giorgia Marchetti,579,▽7,ITA,23,47,22
Makoto Ninomiya,580,△32,JPN,23,46,13
Anna Remondina,581,▽4,ITA,28,46,16
Meiling Wang,582,▽4,CHN,18,45,6
Ching-Wen Hsu,583,▽10,TPE,21,45,12
Luisa Stefani,584,▽5,BRA,20,45,8
Julie Gervais,585,▽5,FRA,26,45,8
Varvara Gracheva,586,▽5,RUS,17,45,9
Valeriya Zeleva,587,▽5,RUS,19,45,15
Bojana Marinkovic,588,▽4,SRB,21,45,21
Ingrid Neel,589,▽3,USA,19,44,13
Valeriya Solovyeva,590,▽3,RUS,25,44,12
Ji-Hee Choi,591,▽3,KOR,23,44,12
Dabin Kim,592,▽3,KOR,21,44,14
Angelica Moratelli,593,△32,ITA,23,44,13
Alexa Glatch,594,▽4,USA,28,43,9
Karen Barritza,595,▽4,DEN,25,43,17
Olga Puchkova,596,▽4,RUS,30,43,9
Amanda Rodgers,597,▽1,USA,25,43,12
Maja Chwalinska,598,▽4,POL,16,42,5
Diana Sumova,599,▽4,CZE,23,42,10
Victoria Bosio,600,▽3,ARG,23,42,11
Marie Temin,601,▽3,FRA,25,42,14
Emily Webley-Smith,602,▽2,GBR,33,42,20
Nudnida Luangnam,603,▽1,THA,31,41,14
Melis Sezer,604,▽1,TUR,24,41,20
Anna Danilina,605,▽1,KAZ,22,41,4
Michika Ozeki,606,0,JPN,26,41,16
Ines Murta,607,0,POR,20,41,16
Aiko Yoshitomi,608,△1,JPN,24,41,17
Dia Evtimova,609,▽26,BUL,30,41,18
Pia Konig,610,0,AUT,24,41,20
Michaela Gordon,611,0,USA,18,40,8
Ipek Oz,612,△1,TUR,18,40,19
Sarah Beth Grey,613,△1,GBR,22,40,11
Clemence Fayol,614,△1,FRA,23,40,13
Susan Bandecchi,615,△1,SUI,19,40,14
Britt Geukens,616,△1,BEL,22,40,15
Ani Mijacika,617,△1,CRO,30,39,7
Riya Bhatia,618,△1,IND,20,39,18
Emily Appleton,619,△1,GBR,18,39,20
Ksenia Palkina,620,△1,KGZ,28,39,24
Polina Golubovskaya,621,△1,RUS,19,39,10
Oana Gavrila,622,△1,ROU,20,39,11
Yuliya Hatouka,623,△1,BLR,17,39,12
Federica Bilardo,624,△2,ITA,18,39,15
Charlotte Robillard-Millette,625,△2,CAN,19,38,7
Ellen Allgurin,626,△2,SWE,23,38,9
So-Ra Lee,627,△3,KOR,23,37,12
Ines Ibbou,628,△3,ALG,19,37,10
Eva Guerrero Alvarez,629,△3,ESP,18,37,10
Ekaterina Vishnevskaya,630,△14,RUS,18,37,12
Ye-Xin Ma,631,△26,CHN,18,37,13
Margaux Bovy,632,△1,BEL,20,37,16
Olesya Pervushina,633,△1,RUS,17,36,8
Elizaveta Ianchuk,634,▽59,UKR,25,36,6
Lisa Ponomar,635,△1,GER,20,36,15
Claudia Giovine,636,△1,ITA,27,36,15
Jade Suvrijn,637,△1,FRA,22,35,18
Shanshan Guo,638,▽37,CHN,21,35,11
Sofya Lansere,639,0,RUS,17,35,7
Michaela Bayerlova,640,△2,CZE,19,35,8
Abbie Myers,641,△2,AUS,23,35,10
Kristina Schmiedlova,642,△3,SVK,20,35,14
Magdalena Pantuckova,643,△3,CZE,19,35,14
Paula Ormaechea,644,△3,ARG,25,34,10
Aymet Uzcategui,645,△3,VEN,22,34,10
Albina Khabibulina,646,▽41,UZB,25,34,13
Julia Stamatova,647,△3,BUL,24,34,17
Eliessa Vanlangendonck,648,△3,BEL,21,34,18
Erin Routliffe,649,△3,NZL,23,33,10
Rocio De La Torre-Sanchez,650,△3,ESP,27,33,3
Zhanlan Wei,651,△4,CHN,20,33,10
Cristina Adamescu,652,△4,ROU,22,33,10
Sofiya Kovalets,653,▽4,UKR,23,33,10
Alicia Barnett,654,△4,GBR,24,33,14
Caroline Romeo,655,△4,FRA,23,33,15
Ronit Yurovsky,656,▽48,USA,24,33,16
Moyuka Uchijima,657,△3,JPN,16,32,8
Maria Carle,658,△3,ARG,18,32,4
Anna Gabric,659,△3,GER,19,32,5
Beatrice Torelli,660,▽6,ITA,20,32,6
Francesca Jones,661,△3,GBR,17,32,9
Lea Boskovic,661,△3,CRO,18,32,9
Nina Kruijer,663,△3,NED,20,32,10
Emilie Francati,664,△3,DEN,20,32,10
Nina Stadler,665,△3,SUI,22,32,10
Elena Bogdan,666,△3,ROU,26,32,11
Chanelle Van Nguyen,667,△3,USA,24,32,11
Kanika Vaidya,668,△3,IND,23,32,13
Naomi Totka,669,△3,HUN,22,32,15
Satsuki Takamura,670,△3,JPN,18,32,15
Dasha Ivanova,671,△3,USA,21,32,17
Dalila Spiteri,672,△4,ITA,20,32,19
Victoria Muntean,673,△2,FRA,21,32,20
Alexandra Mueller,674,▽11,USA,30,31,5
Anastasia Kulikova,675,△253,RUS,18,31,6
Chayenne Ewijk,676,△2,NED,29,31,6
Dana Kremer,677,△2,GER,20,31,8
Lorraine Guillermo,678,△7,USA,24,31,9
Anna Pribylova,679,△1,RUS,20,31,13
Vanda Lukacs,680,△8,HUN,25,31,14
Noelia Zeballos,681,0,BOL,23,31,15
Claudia Hoste Ferrer,682,0,ESP,19,31,16
Catherine Mcnally,683,0,USA,16,30,7
Ayaka Okuno,684,▽44,JPN,22,30,14
Stefanie Tan,685,▽8,SIN,25,30,9
Paula Cristina Goncalves,686,0,BRA,27,30,9
Shuo Feng,687,0,CHN,20,30,10
Dhruthi Tatachar Venugopal,688,△1,IND,21,30,14
Zeel Desai,689,△1,IND,19,29,10
Chiara Grimm,690,▽6,SUI,21,29,12
Vlada Koval,691,△1,RUS,16,29,11
Anastasiya Shoshyna,692,△2,UKR,20,29,11
Federica Arcidiacono,693,△2,ITA,25,29,12
Josephine Boualem,694,△2,FRA,24,29,15
Andrea Ka,695,△8,CAM,25,29,16
Katharina Hering,696,△1,GER,23,29,16
Arlinda Rushiti,697,▽4,SUI,19,28,10
Deborah Kerfs,698,0,BEL,23,28,13
Tamara Curovic,699,0,SRB,23,28,14
Cristina Ene,700,0,ROU,22,28,15
Katerina Vankova,701,0,CZE,28,28,15
Guillermina Naya,702,△2,ARG,21,28,16
Gabriela Pantuckova,703,△2,CZE,23,28,18
Daiana Negreanu,704,△3,ROU,29,27,11
Yana Morderger,705,△3,GER,21,27,13
Yuliya Lysa,706,△10,UKR,22,27,14
Emily Arbuthnott,707,△2,GBR,20,26,6
Greet Minnen,708,△2,BEL,20,26,8
Johana Markova,709,△2,CZE,18,26,8
Brynn Boren,710,▽4,USA,26,26,8
Kennedy Shaffer,711,△1,USA,20,26,9
Natalia Siedliska,712,△1,POL,22,26,11
Vendula Zovincova,713,△1,CZE,21,26,11
Angelina Gabueva,714,△11,RUS,29,26,11
Gabriela Horackova,715,0,CZE,26,26,12
Xinyu Jiang,716,△1,CHN,19,25,6
Lea Tholey,717,△2,FRA,22,25,10
Rosa Vicens Mas,718,△2,ESP,17,25,12
Mei Yamaguchi,719,△2,JPN,18,25,4
Sandra Jamrichova,720,△2,SVK,20,25,5
Megumi Nishimoto,721,△2,JPN,24,25,6
Ainhoa Atucha Gomez,722,△2,ESP,24,25,7
Daria Nazarkina,723,△8,RUS,18,25,8
Jada Robinson,724,△12,USA,19,25,11
Gabriela Duca,725,△1,ROU,23,25,12
Chiraz Bechri,726,▽24,TUN,19,25,15
Maria Joao Koehler,727,0,POR,25,25,15
Michaella Krajicek,728,0,NED,29,24,3
Clara Tauson,729,0,DEN,15,24,4
Nicole Coopersmith,730,0,USA,18,24,6
Ksenia Laskutova,731,△1,RUS,21,24,7
Veronika Kapshay,732,△1,UKR,31,24,9
Malene Helgo,732,△1,NOR,18,24,9
Maria Jose Luque Moreno,734,△1,ESP,21,24,10
Iva Primorac,735,△2,CRO,22,24,11
Eduarda Piai,736,△2,BRA,26,24,13
Margarita Lazareva,737,△2,RUS,27,24,13
Carla Lucero,738,△2,ARG,27,24,13
Chia-Jung Chuang,739,△2,TPE,33,23,3
Xenia Knoll,740,△2,SUI,25,23,5
Alona Fomina,741,△2,RUS,28,23,10
Gabriela Talaba,742,△2,ROU,22,23,6
Salma Ewing,743,△2,USA,17,23,7
Maria Gutierrez Carrasco,744,△2,ESP,20,23,7
Nika Shytkouskaya,745,△2,BLR,19,23,8
Genevieve Lorbergs,746,△3,AUS,28,23,10
Shalimar Talbi,747,△4,BLR,17,23,11
Andreea Ghitescu,748,△4,ROU,21,23,11
Shelby Talcott,749,△18,USA,25,23,13
Zuzana Zlochova,750,△3,SVK,28,23,14
Haruna Arakawa,751,△3,JPN,18,23,14
Verena Hofer,752,△3,ITA,20,23,14
Melany Krywoj,753,△3,ARG,20,23,15
Ana Biskic,754,△3,CRO,18,22,10
Nicole Melichar,755,▽37,USA,24,22,5
Kajsa Rinaldo Persson,756,△3,SWE,20,22,10
Ran Meng,757,△3,CHN,25,22,11
Eudice Chong,758,△3,HKG,21,22,5
Raveena Kingsley,759,△3,USA,19,22,5
Draginja Vukovic,760,△3,SRB,17,22,6
Aneta Kladivova,761,△3,CZE,17,22,8
Jessica Wacnik,762,▽12,USA,24,22,9
Barbara Bonic,763,△9,SRB,25,22,10
Francisca Jorge,764,△1,POR,18,22,10
Julyette Steur,765,△1,GER,22,22,12
Petia Arshinkova,766,△2,BUL,19,22,13
Olga Govortsova,767,△10,BLR,29,21,5
Jiaxi Lu,768,▽10,CHN,21,21,9
Sinead Lohan,769,0,IRL,23,21,3
Polina Bakhmutkina,770,0,RUS,18,21,6
Kumi So,771,0,JPN,19,21,6
Valeriya Urzhumova,772,△11,RUS,20,21,7
Lou Adler,773,▽1,FRA,22,21,9
Kana Daniel,774,0,USA,22,21,9
Yukina Saigo,775,0,JPN,21,21,9
Meritxell Perera Ros,776,0,ESP,19,21,11
Yanni Liu,777,△1,CHN,18,20,10
Ashley Weinhold,778,△1,USA,28,20,5
Mayar Sherif,779,△1,EGY,21,20,4
Manca Pislak,780,△1,SLO,20,20,5
Amanda Carreras,781,▽152,GBR,27,20,6
Bianca Turati,782,△2,ITA,20,20,6
Tereza Prochazkova,783,△2,CZE,18,20,7
Komola Umarova,784,△23,UZB,18,20,7
Daniela Vismane,785,△1,LAT,17,20,7
Brenda Njuki,786,△1,SWE,24,20,8
Dominique Schaefer,787,△22,USA,19,20,9
Zhuoma Ni Ma,788,△1,CHN,17,20,9
Nadiya Kolb,789,△1,UKR,25,20,10
Marina Yudanov,790,△3,SWE,28,20,11
Vasilisa Aponasenko,791,△3,RUS,21,20,12
Lauren Marker,792,△6,USA,22,19,12
Suzy Larkin,793,△6,GBR,25,19,13
Gabrielle Smith,794,△6,USA,22,19,1
Elisabetta Cocciaretto,795,△6,ITA,17,19,3
Leylah Fernandez,796,△6,CAN,15,19,5
Ena Shibahara,797,△6,USA,20,19,5
Monique Adamczak,797,△6,AUS,35,19,5
Alexandra Morozova,799,△6,USA,23,19,5
Theo Gravouil,800,△6,FRA,19,19,6
Sung-Hee Han,801,△7,KOR,27,19,7
Stephanie Wagner,802,△7,GER,23,19,8
Qianhui Tang,803,▽112,CHN,17,19,8
Andrea Weedon,804,▽13,GUA,29,19,9
Jessica Ho,805,△107,USA,21,19,9
Linnea Malmqvist,806,▽14,SWE,19,19,9
Ana Bianca Mihaila,807,△5,ROU,21,19,9
Mathilde Armitano,808,△5,FRA,20,19,10
Sadafmoh Tolibova,809,△6,BLR,21,19,11
Alba Carrillo Marin,810,△6,ESP,22,19,11
Martina Spigarelli,810,△6,ITA,25,19,11
Mallaurie Noel,812,△6,FRA,23,19,11
Ioana Gaspar,813,△6,ROU,35,19,12
Ivania Martinich,814,△6,CHI,22,19,12
Jelena Stojanovic,815,△6,AUS,21,19,13
Lou Brouleau,816,△6,FRA,22,19,13
Chang Liu,817,▽22,CHN,27,18,4
Megan Mccray,817,△6,USA,22,18,4
Alexandra Stevenson,819,▽22,USA,37,18,6
Storm Sanders,820,△4,AUS,23,18,8
Anna Ureke,821,△4,RUS,18,18,5
Salma Djoubri,822,△4,FRA,15,18,5
Lara Michel,823,△4,SUI,26,18,6
Seung-Yeon Hong,824,△4,KOR,26,18,6
Nefisa Berberovic,825,△4,BIH,18,18,8
Ilona Kremen,825,▽14,BLR,24,18,8
Rasheeda Mcadoo,827,△21,USA,22,18,9
Veronika Erjavec,828,△3,SLO,18,18,9
Aldila Sutjiadi,829,△4,INA,22,18,10
Mariana Drazic,830,△4,CRO,23,18,11
Lisa-Marie Maetschke,831,△4,GER,23,18,12
Catherine Chantraine,832,△4,BEL,25,18,14
Yasmine Mansouri,833,△21,FRA,16,17,8
Alberta Brianti,834,△3,ITA,38,17,6
Karolina Berankova,835,△3,CZE,17,17,4
Zoe Kruger,836,△3,RSA,15,17,7
Ayumi Miyamoto,837,△3,JPN,17,17,5
Merel Hoedt,838,△3,NED,18,17,7
Lulu Radovcic,839,△6,SUI,17,17,7
Nadja Gilchrist,840,△2,USA,27,17,4
Mahak Jain,841,△2,IND,16,17,4
Aleksandra Kulik,842,△2,RUS,18,17,6
Prerna Bhambri,843,△3,IND,25,17,7
Alexa Ryngler,844,▽96,USA,16,17,7
Alexandra Riley,845,▽15,USA,27,17,8
Anette Munozova,846,△3,SWE,26,17,8
Xiaoxi Zhao,847,△3,CHN,17,17,8
Mai Hontama,847,△3,JPN,18,17,8
Giada Clerici,849,△3,ITA,23,17,9
Akilah James,850,▽18,USA,25,17,9
Emma Lene,851,▽37,FRA,18,17,9
Elena-Teodora Cadar,852,△1,ROU,24,17,11
Vitalia Stamat,853,△12,MDA,17,17,14
Cemre Anil,854,△1,TUR,24,16,4
Chin-Wei Chan,855,△1,TPE,33,16,5
Chengyiyi Yuan,856,▽9,CHN,17,16,6
Gebriela Mihaylova,857,0,BUL,21,16,7
Tatiana Pieri,858,0,ITA,19,16,7
Valeriya Yushchenko,859,0,RUS,18,16,7
Sari Baba,860,0,JPN,23,16,8
Francesca Bullani,861,0,ITA,21,16,9
Angelique Svinos,862,0,AUS,22,16,10
Nastassja Burnett,863,0,ITA,26,16,10
Aleksandra Pospelova,863,0,RUS,20,16,10
Dinah Pfizenmaier,865,△1,GER,26,15,2
Olga Savchuk,866,△1,UKR,30,15,3
Mira Antonitsch,867,△1,AUT,19,15,3
Andreea Mitu,868,△1,ROU,26,15,3
Alexa Graham,869,△2,USA,19,15,4
Anna Turati,870,△2,ITA,20,15,4
Monica Robinson,871,△2,USA,23,15,5
Helene Pellicano,872,△2,MLT,16,15,6
Valeria Bhunu,873,△2,ZIM,23,15,6
Margarita Skryabina,874,△15,RUS,18,15,7
Paula Arias Manjon,875,△1,ESP,18,15,7
Jana Jablonovska,876,△1,SVK,22,15,7
Mana Ayukawa,877,▽89,JPN,23,15,8
Tijana Spasojevic,878,0,SRB,19,15,9
Viktoria Morvayova,879,△33,SVK,17,15,9
Oleksandra Piskun,880,▽1,UKR,26,15,12
Catherine Leduc,881,▽11,CAN,24,14,9
Gergana Topalova,882,0,BUL,18,14,3
Mitsumi Kawasaki,883,0,JPN,34,14,3
Desirae Krawczyk,884,▽102,USA,24,14,4
Gabriella Da Silva Fick,885,▽1,AUS,17,14,5
Ivana Popovic,886,▽1,AUS,17,14,5
Alice Tubello,886,▽1,FRA,17,14,5
Paulina Czarnik,888,0,POL,24,14,6
Ziyue Sun,889,0,CHN,21,14,6
Laura Heinrichs,890,△1,GER,27,14,7
Guadalupe Perez Rojas,891,△1,ARG,23,14,7
Karola Bejenaru,892,△17,ROU,20,14,7
Alena Tarasova,893,0,RUS,23,14,8
Luna Meers,894,0,BEL,18,14,8
Angela Fita Boluda,894,0,ESP,18,14,8
Angelina Zhuravleva,896,△60,RUS,21,14,8
Barbora Miklova,897,▽1,CZE,20,14,9
Anastasiya Fedoryshyn,898,▽1,UKR,20,14,9
Amelie Intert,899,▽1,GER,21,14,10
Suzan Lamens,900,0,NED,18,14,10
Lamis Alhussein Abdel Aziz,901,△13,EGY,19,14,12
Michaela Boev,902,0,BEL,26,14,13
Barbora Stefkova,903,0,CZE,23,13,5
Lyudmyla Kichenok,904,0,UKR,25,13,2
Andrea Renee Villarreal,905,▽24,MEX,24,13,8
En-Shuo Liang,906,△9093,TPE,17,13,3
Julia Oczachowska,907,▽1,POL,17,13,4
Sofia Sewing,908,▽1,USA,18,13,5
Julia Vulpio,909,▽1,FRA,17,13,6
Ellie Douglas,910,▽25,USA,17,13,6
Bianka Bekefi,911,▽1,HUN,21,13,7
Amandine Cazeaux,911,▽1,FRA,29,13,7
Anna Kubareva,913,△41,BLR,17,13,7
Marlies Szupper,914,▽16,AUT,22,13,9
Kariann Pierre-Louis,914,△23,USA,19,13,9
Alexandra Walters,916,▽15,AUS,25,13,10
Verena Meliss,917,▽3,ITA,20,13,11
Brienne Minor,918,▽2,USA,20,12,3
Ida Jarlskog,919,▽1,SWE,19,12,4
Maria Camila Osorio Serrano,920,▽1,COL,16,12,4
Sang Hee Park,921,▽1,KOR,22,12,5
Kotomi Takahata,922,▽1,JPN,28,12,8
Petra Januskova,923,▽18,CAN,27,12,10
Kanako Morisaki,924,▽2,JPN,21,12,3
Yukun Zhang,925,▽2,CHN,22,12,4
Daria Mironova,925,▽2,RUS,25,12,4
Jessica Failla,927,▽2,USA,20,12,4
Samantha Harris,928,▽2,AUS,22,12,5
Sai Chamarthi,929,0,IND,23,12,6
Safiya Carrington,930,0,USA,16,12,6
Natalia Vajdova,931,0,SVK,22,12,6
Paula Baranano,932,△1,ARG,18,12,7
Kristina Ostojic,933,△1,SRB,23,12,7
Nonna Kurginyan,933,△1,RUS,20,12,7
Katyarina Paulenka,933,△1,BLR,18,12,7
Dominique Karregat,936,△1,NED,22,12,8
Arina Vasilescu,937,△2,ROU,21,12,8
Adriana Sosnovschi,937,△2,MDA,20,12,8
Amy Zhu,939,△2,USA,23,12,9
Francesca Sella,939,△2,ITA,24,12,9
Lara Escauriza,941,△2,PAR,19,12,10
Beatrice Gumulya,942,▽25,INA,27,11,6
Paula Kania,943,▽147,POL,25,11,3
Natasha Palha,944,0,IND,24,11,7
Ying Zhang,944,0,CHN,22,11,7
Mccartney Kessler,946,0,USA,18,11,2
Tadeja Majeric,947,0,SLO,27,11,3
Mylene Halemai,948,0,FRA,16,11,3
Mi You,949,0,CHN,18,11,4
Zhibek Kulambayeva,950,0,KAZ,18,11,4
Kristina Milenkovic,951,0,SUI,16,11,5
Renee Mcbryde,952,0,AUS,18,11,5
Kerrie Cartwright,953,0,BAH,26,11,5
Arina Folts,954,▽22,UZB,21,11,6
Luca Nagymihaly,955,0,HUN,20,11,7
Nora Niedmers,956,△1,GER,23,11,8
Gabriela Tatarus,956,△1,ROU,18,11,8
Julieta Estable,958,△1,ARG,20,11,8
Stephanie Nemtsova,959,△1,USA,20,11,9
Vinciane Remy,959,△1,FRA,20,11,9
Carson Branstine,961,△1,CAN,17,10,6
Nidhi Chilumula,962,△1,IND,23,10,6
Lara Salden,963,△1,BEL,19,10,9
Kisa Yoshioka,964,△1,JPN,17,10,2
Joana Eidukonyte,965,△1,LTU,23,10,2
Jule Niemeier,966,△1,GER,18,10,2
Romina Oprandi,967,△1,SUI,32,10,2
Naho Sato,968,△1,JPN,17,10,3
Ulyana Ayzatulina,968,△1,RUS,22,10,3
Milana Spremo,970,△1,SRB,26,10,4
Marta Gonzalez Encinas,970,△1,ESP,19,10,4
Olga Parres Azcoitia,972,△1,ESP,25,10,4
Nandini Sharma,972,△1,IND,19,10,4
Sara Daavettila,974,△1,USA,20,10,4
Pernilla Mendesova,975,△1,CZE,23,10,4
Ayumi Koshiishi,976,△1,JPN,17,10,5
Emmanuelle Salas,977,△2,FRA,20,10,6
Anhzelika Isaeva,978,△2,RUS,17,10,6
Chisa Hosonuma,978,△2,JPN,22,10,6
Pei Hsuan Chen,978,△2,TPE,18,10,6
Rishika Sunkara,981,△2,IND,24,10,7
Weronika Forys,982,△2,POL,19,10,7
Dan Ni Wang,983,△2,CHN,24,10,8
Lucia Marzal Martinez,984,△2,ESP,18,10,8
Anna Ukolova,984,△2,RUS,19,10,8
Alexa Pirok,986,△2,HUN,21,10,9
Molly Helgesson,987,△2,SWE,18,10,10
Isabelle Boulais,988,△2,CAN,18,9,8
Chompoothip Jundakate,989,△2,THA,22,9,5
Fiona Codino,990,▽110,FRA,22,9,8
Himari Sato,990,△30,JPN,16,9,8
Valeriya Pogrebnyak,992,0,RUS,19,9,9
Ioana Loredana Rosca,993,0,ROU,21,9,3
Lena Ruppert,994,0,GER,19,9,3
Snehadevi Reddy,994,0,IND,21,9,3
Emeline Dartron,994,0,FRA,18,9,3
Suzuho Oshino,997,0,JPN,21,9,4
Olivia Nicholls,997,0,GBR,23,9,4
Varvara Kuznetsova,997,0,RUS,25,9,4
Andie K Daniell,997,0,USA,21,9,4
Andreea Prisacariu,1001,0,ROU,18,9,4
Yixuan Li,1001,0,CHN,21,9,4
Yidi Yang,1001,0,CHN,18,9,4
Alice Balducci,1004,0,ITA,31,9,5
Miriana Tona,1005,△1,ITA,23,9,7
Jessica Crivelletto,1005,△1,SUI,19,9,7
Shou Mu,1005,△1,CHN,17,9,7
Varunya Wongteanchai,1005,△1,THA,25,9,7
Ani Vangelova,1005,△1,BUL,24,9,7
Daniela Vukovic,1005,△1,SUI,19,9,7
Daniela Lopez,1011,△1,CHI,21,9,8
Yulia Kulikova,1011,△1,RUS,28,9,8
Piia Suomalainen,1011,△1,FIN,33,9,8
Alicia Smith,1011,△1,AUS,21,9,8
Mirabelle Njoze,1015,△2,GBR,21,9,9
Se-Hyun Kim,1016,△2,KOR,22,8,5
Joanna Garland,1017,△2,TPE,16,8,5
Jade Lewis,1018,△3,NZL,19,8,8
Giorgia Testa,1019,△3,ITA,19,8,3
Sara Ottomano,1019,△3,SUI,22,8,3
Katerina Filip,1019,△3,SWE,18,8,3
Sakura Hondo,1019,△3,JPN,19,8,3
Elysia Bolton,1019,△3,USA,18,8,3
Min-Hwa Yu,1019,△3,KOR,30,8,3
Daria Kuczer,1019,△3,POL,19,8,3
Warona Mdlulwa,1026,△4,RSA,18,8,4
Fiona Ganz,1026,△4,SUI,17,8,4
Charlotte Roemer,1028,△4,ECU,24,8,4
Karine Sarkisova,1028,▽50,RUS,19,8,4
Alise Cernecka,1028,△4,LAT,17,8,4
Nuria Brancaccio,1028,△4,ITA,17,8,4
Oleksandra Korashvili,1032,△3,UKR,22,8,5
Mizuno Kijima,1032,▽27,JPN,22,8,5
Constance Sibille,1032,△3,FRA,27,8,5
Tiffany William,1035,△3,GBR,23,8,5
Martina Capurro Taborda,1035,△3,ARG,20,8,5
Alana Smith,1037,△3,USA,18,8,6
Sowjanya Bavisetti,1038,△3,IND,24,8,6
Rebeca Pereira,1038,△3,BRA,25,8,6
Federica Prati,1038,△3,ITA,22,8,6
Rio Kitagawa,1041,△32,JPN,24,8,7
Yuqi Sheng,1041,△4,CHN,22,8,7
Lucia Cortez Llorca,1041,△4,ESP,17,8,7
Maria Masini,1041,△4,ITA,24,8,7
Ola Abou Zekry,1041,▽29,EGY,30,8,7
Eva Siska,1041,△4,USA,21,8,7
Kwan Yau Ng,1047,△3,HKG,21,7,6
Meiqi Guo,1048,△3,CHN,18,7,4
Jasmin Jebawy,1049,△3,GER,21,7,6
Rushri Wijesundera,1049,△3,USA,26,7,6
Magdalena Stoilkovska,1051,△3,MKD,22,7,3
Tingting Pei,1051,△3,CHN,18,7,3
Lucia De La Puerta Uribe,1051,△3,ESP,18,7,3
Sara Lanca,1051,△8948,POR,21,7,3
Kyra Shroff,1051,△3,IND,25,7,3
You-Na Sul,1051,△3,KOR,25,7,3
Axana Mareen,1057,△2,BEL,18,7,3
Madison Bourguignon,1058,△2,USA,20,7,4
Jia Ren,1058,△2,CHN,17,7,4
Karoline Kurz,1058,△2,AUT,21,7,4
Siqi Cao,1058,▽131,CHN,19,7,4
Madeleine Kobelt,1062,▽25,USA,26,7,4
Sophia Intert,1063,0,GER,19,7,4
Aleksandra Vostrikova,1063,0,RUS,20,7,4
Alana Parnaby,1065,0,AUS,23,7,5
Lina Glushko,1066,△1,ISR,18,7,5
Sofya Golubovskaya,1066,△1,RUS,17,7,5
Camila Romero,1066,△1,ECU,19,7,5
Eugenia Ganga,1066,△1,ARG,19,7,5
Irina Lapustina,1066,△1,LAT,18,7,5
Louise Lampla,1066,△1,FRA,23,7,5
Maria Patrascu,1072,△1,CAN,21,7,6
Elina Vikhrianova,1072,△1,RUS,21,7,6
Giorgia Pinto,1072,△1,ITA,26,7,6
Julia Rosenqvist,1072,△1,SWE,20,7,6
Sabastiani Leon,1072,▽27,MEX,26,7,6
Irys Ekani,1072,△1,FRA,20,7,6
Maria Portillo Ramirez,1072,△1,MEX,18,7,6
Irina Cantos Siemers,1072,△1,GER,18,7,6
Eunhye Lee,1072,△1,KOR,17,7,6
Denise-Antonela Stoica,1072,△1,ROU,18,7,6
Emily Seibold,1072,△1,GER,18,7,6
Eleni Daniilidou,1083,△1,GRE,35,7,7
Tamachan Momkoonthod,1083,△1,THA,21,7,7
Ilay Yoruk,1083,△1,TUR,16,7,7
Nadia Echeverria Alam,1083,△1,VEN,23,7,7
Anastasia Rodionova,1087,△1,AUS,35,6,6
Jazmin Ortenzi,1088,△1,ARG,16,6,3
Clara Burel,1088,△1,FRA,17,6,3
Alice Gillan,1088,△1,GBR,19,6,3
Eva Voracek,1088,△1,GER,19,6,3
Ramya Natarajan,1088,△1,IND,19,6,3
Anastasia Vdovenco,1088,△1,MDA,24,6,3
I-Hsuan Cho,1088,△1,TPE,18,6,3
Salome Devidze,1095,△1,GEO,32,6,3
Frances Altick,1096,▽31,USA,24,6,4
Anca Craciun,1096,△1,CAN,18,6,4
Watsachol Sawasdee,1098,0,THA,18,6,4
Elina Nepliy,1098,0,RUS,20,6,4
Chelsea Vanhoutte,1098,0,BEL,18,6,4
Oleksandra Oliynykova,1098,0,CRO,17,6,4
Jennifer Luikham,1098,0,IND,18,6,4
Chihiro Takayama,1103,0,JPN,27,6,5
Natalie Proese,1103,0,GER,27,6,5
Teodora Stinga,1103,0,ROU,23,6,5
Camille Sireix,1103,0,FRA,21,6,5
Kateryna Sliusar,1103,▽62,UKR,20,6,5
Alicia Herrero Linana,1103,0,ESP,19,6,5
Yarden Akler,1103,0,ISR,19,6,5
Dariya Detkovskaya,1103,△74,KAZ,18,6,5
Paulina Jastrzebska,1103,0,POL,20,6,5
Joelle Kissell,1112,▽1,USA,26,6,6
Sofia Dmitrieva,1112,▽1,RUS,23,6,6
Maria Paulina Perez Garcia,1112,▽1,COL,22,6,6
